title,username,location,rating,review_date,review_text,experience
Go only if you love garden,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_40,22-Jan-19,So reaching at this place is a big task in itself. Cause of hilly roads and narrow path this place is a bit risky . You will have to climb so those who can’t walk enough should avoid going. After reaching here you will have great view though.,Jan-19
An exceptiona garden to see,Expedition18005,"Howrah District, India",ui_bubble_rating bubble_50,17-Jan-19,"It is a must see whenever any one is in Darjeeling. Very well maintained. But you need time and control your speed to see this garden, After all worth to spend time here.",Dec-18
A terrible one in my entire trip,Atandra P,Kolkata,ui_bubble_rating bubble_10,14-Jan-19,The Roads are pathetic and not even maintained with bare minimum level as you enter from Dalli. Very accident Prone Road. The park is also not in a good shape as I have visited for more than 10times in last 20 years. The park is not maintained at all and very dirty place. it can easily be avoided while visiting darjeeling to save time and energy. A pathetic one travellers need to avoid this as roads are very very poor and accident prone.,Jan-19
A Super Natural Green Garden,skhanppsd,"Dhaka City, Bangladesh",ui_bubble_rating bubble_50,13-Jan-19,"The Rock Garden also known as Barbotey Rock Garden is located some 10 km (or 6.2 miles) away from Darjeeling town in a valley down below. However the view of Darjeeling’s landscape and the mountain range from the road is unparalleled. At Rock Garden there is a wonderful waterfall that comes all the way from the top and over the rocks to down below. You will need to keep climbing stairs, go up the ramp and cross small bridges across the rocks to reach up to the top. However, there are beautiful flower gardens, trees and shrubbery at all levels along with nice seating arrangements. So you can take rest and relax, enjoy the views around as you go up. 
These lovely places are known for their cascading waterfalls, lush green scenery and innumerable species of beautiful flowers and ornamental plants– that are bound to take your breath away. 
Visitors should make arrangement for transportation to this place. You can take photographs of surrounding beautiful areas as many as you can. More",Nov-18
Visit at Barbotey Rock Garden,malay1944,"Kolkata, India",ui_bubble_rating bubble_40,8-Jan-19,"The Rock garden at Chunnu Summer Falls and Ganga Maya Park or Barbotey Garden are recently added as a tourist attraction in the hilly town of Darjeeling, West Bengal, India. It is located at a distance of 10 km from Darjeeling town in a valley down below. the gradient of the road is very steep with nos of hairpin bends. The photography is popular at this scenic hangout of waterfalls with flowers and rocks. It may be difficult for the elderly people to move around the flower garden due to height.",Dec-18
Rock Garden,AMITAVAB67,,ui_bubble_rating bubble_50,23-Dec-18,A paradise for Nature lovers. A lot of steps to climb though not at all exhausting. Found a lot of wild orchids and indulged in bird watching.,Dec-18
"Very eco-friendly, no plastics allowed inside, even water bottles.",davissmg2,"Port Elizabeth, South Africa",ui_bubble_rating bubble_50,20-Dec-18,"The plants are well kept, there are no plastic rubbish around, which is very commendable. The waterfall makes a soothing and beautiful noise to make you realize the presence of nature. 
The Gorkhas provided an opportunity to be clothed in traditional Gorkha clothes to be photographed, for children aas well as for adults. The ladies were adorned with the beaded headdress, wrap-around apron and snug-fitting top, with a brightly painted water urn to carry, and the men were fierce-looking in their Gorkha pants and top with a large dangerous-looking Gorkha sable! An experience not to miss!",Nov-18
NIce place to visit....need more maintenance,Tarek K,"Dhaka City, Bangladesh",ui_bubble_rating bubble_40,9-Dec-18,"A bit distance from main city & roads are too bad. But the place is beautiful with a long going waterfall. A long walking trail where you can enjoy big rocks, waterfall, lots of flowers and nature. Try not to litter as place is already bit dirty.",Nov-18
Places of interest near Darjeeling,bindapersad,,ui_bubble_rating bubble_40,25-Nov-18,An amazing display of natural rock art. Well laid gardens. Roads to garden is very very bumpy. Drivers are amazing with their skills and knowledge of various routes to and from garden. Dept of Tourism need to do a study of roads to all places of interest .,Oct-18
Just to pass the time,Anshumanafsa,"Kurseong, India, Asia",ui_bubble_rating bubble_30,1-Nov-18,Ok. You are a tourist. Made plans to stay in Darjeeling town for a week. After 2 days you find you have nothing to occupy your mind. So you get on the tourist trail and visit this place. About 3to 4000feet below Darjeeling. It would have been nice if this place was left without any man made structures. But the blatant monstrosity of the artificial walkways and the giant concrete lotus is nauseating.,Sep-18
Good Garden,,,ui_bubble_rating bubble_50,18-Oct-18,This is a very good place to visit in Darjeeling.There are many types of flowers tree.In this garden water fall is also very good.,Oct-18
Very fascinating waterfall,,,ui_bubble_rating bubble_40,17-Oct-18,This garden is made with big rocks. Also it depicits a very great view of waterfall. Its amazing garden with very beautiful scenic views of other mountain peaks.,Sep-18
excellent,,,ui_bubble_rating bubble_50,15-Oct-18,Rock Garden is a wonderful place. This place is for people who love waterfalls and nature around it superb place to spend time with family and nice for photograph,Mar-18
Refreshing Destination,,,ui_bubble_rating bubble_50,3-Oct-18,"Rock Garden is a wonderful place to take your family to. It's refreshing and a fun place to be. the variety of flowers and tress are very beautiful. The open spaces provide a nice play area. 

Kids enjoyed a lot and the natural beauty was very pleasing to matured visitors.",Oct-18
Garden,,,ui_bubble_rating bubble_40,30-Sep-18,This place is for people who love waterfalls and would like to walk upto the mountain for the pictures,Sep-18
family Tour,,,ui_bubble_rating bubble_50,1-Sep-18,Oh my God..its really worth going to this place and the main attraction is the road which leads to this place. fantastic,Aug-18
A beautiful park with beautiful arts,,,ui_bubble_rating bubble_50,28-Aug-18,This is far away from the city and this park was very crowded. But we spent some beautiful memories and time in this park. Here park was clean.,Jun-18
Disgusting,,,ui_bubble_rating bubble_20,26-Jul-18,There is nothing great in the garden. The garden is not at all maintained. The approach road is really bad. Darjeeling has many better places this is definitely not one of them and can be given a miss. I wouldn't suggest anyone to visit this place as the place is not worth the bumpy ride that takes you to rock garden.,Jan-18
Awesome view,,,ui_bubble_rating bubble_50,19-Jul-18,It's nice to visit the Barbotey Rock Garden in Darjeeling. Awesome view and relaxing place. I would love to visit again.,Jul-18
An average place,,,ui_bubble_rating bubble_30,4-Jul-18,I like that place . But it is not so appealing to me as other place's in Darjeeling .But you should not miss this place if you are in Darjeeling .,Apr-18
Beautiful waterfall,,,ui_bubble_rating bubble_40,29-Jun-18,The place offers calm with its location alongwith waterfall.The sound of falling water alongwith natural silence makes this place worth the visit.,May-18
A bottom on a Hill,,,ui_bubble_rating bubble_50,24-Jun-18,Good place to see the Rock garden. You can see water falls there. good views from there to capture. Sit 10 minutes there to experience the nature.,May-18
Nice Place for time spend,,,ui_bubble_rating bubble_50,20-Jun-18,"Rock garden is really Rock!!!! Big Rock and water fall are main attraction of this place. Any one can enjoy Hill, Water fall, Garden and nature all together.",May-18
