title,username,location,rating,review_date,review_text,experience
One time but a must visit place,Parkhad_Amit,Kansas,ui_bubble_rating bubble_50,27-Feb-19,"Another local sightseeing destination of Darjeeling. 
Loop has a flavor of patriotism with a flag hoisted and a symbol in center. 

Overall place is lively and nice spots for photography. The toy train going around the place give a lot good view. 

Should go!!!",Feb-19
A must visit place in Darjeeling,RayBarun,"Kolkata, India",ui_bubble_rating bubble_50,20-Feb-19,"Batasia loop is a must visit destination when one is visiting Darjeeling. It's a place from where one can have full panaromic view of Darjeeling town. A fantastic place to spend a sunny day. 
Darjeeling toy train also halts here for 15 minutes and our visit coinsided with this. 
From Darjeeling taxi stand one can hire taxi or can go in share as well.",Dec-18
Toy train stoppage,debashreen2018,,ui_bubble_rating bubble_30,17-Feb-19,It's a nice garden with a war memorial inside it where the toy train gives you a stoppage for around 10-15 minutes. Nice place to click photos and get a bird's eye view of the town from the loop. The local cab will also take you there if you go for morning trip to tiger hill and covers ghum monastery for the 3 point sight seeing package cab trip. But we had already booked toy train tickets so we enjoyed it via train only,Feb-19
Beauty of Darjeeling,TamalikaM2,,ui_bubble_rating bubble_40,14-Feb-19,"The Himalayan Toy train taking the turns in the Batasia Loop, is a sight to behold. You can also click pictures in traditional clothes at Rs 50/-. Rent a telescope to watch the Kanchanjunga more clearly. A beautiful place in Darjeeling, not to be missed",Sep-18
Beautiful!,stmichel25,"Bengaluru, India",ui_bubble_rating bubble_50,12-Feb-19,"One of the better spots to see in Darjeeling. Beautiful and well maintained. Beautiful view of the Kanchenjunga. Don’t bother using the binoculars. Tried it and didn’t think it was worth it. Looks beautiful to the naked eye from this spot. 
You can also dress up in the local attire for a reasonable price and take photographs.",Oct-18
Visit this by train,zigsterGoldCoast,gold coast,ui_bubble_rating bubble_40,11-Feb-19,Batasia Loop is part of a railway track used by the Darjeeling toy train. The train stops at Batasia Loop for 10 minutes before returning to Darjeeling. It has a monument to those Gurkhas killed in action. During Winter the garden in the surrounding park area suffer from the cold. From Spring onward there would be more green vegetation to see.,Feb-19
Loop,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_40,6-Feb-19,Here is located a loop where the train goes around but it is also a war memorial and some gardens. Most come here as part of the sunrise tours to Tiger Hill. If you come by yourself try to avoid at that time and it will be much more serene.,Oct-18
A nice place to visit while in Darjeeling,Milind P,"Pune, India",ui_bubble_rating bubble_50,4-Feb-19,Nice location to watch the Kanchenjunga mountain range and see the Himalayan train from close vicinity,Jan-19
A view of concrete Darjeeling.,Mperor,"Bengaluru, India",ui_bubble_rating bubble_40,2-Feb-19,"You will see only the concrete or habitat structures of Darjeeling. It's densed with buildings. However if you opt to avail the services of a binoculars view with a guide, it's mind boggling. Nature in its true sense.",Dec-18
A beautiful point,Swatiib,"Dehradun, India",ui_bubble_rating bubble_50,31-Jan-19,This is a beautiful place in Darjeeling and offers a spectacular view and the Best thing is the train stops here for sometime.,Jan-19
Historical..,,,ui_bubble_rating bubble_50,29-Jan-19,"Evergreen song from film Aradhana .. Mere Sapnon ki rani..shot here and many more.. 
Enjoy the view and roam at leisure for a brief stop of the toy train.",Jan-19
Not so great,,,ui_bubble_rating bubble_30,22-Jan-19,Had different expectations before visiting this place. Not sure why they take entrance fees for this place. There is no information provided about the significance of the place. One can just play around on the rail tracks. It also has a war memorial but again not much information about it is provided,Jan-19
Best in train,,,ui_bubble_rating bubble_40,22-Jan-19,"The usual itinerary of Darjeeling sight seeing takes you to batasia loop at morning 7 , however the place is best if u take the dhr toy train to explore, the view is majestic with train backdrop. The batasia loop is a war memorial garden.",Jan-19
Batasia Loop,,,ui_bubble_rating bubble_40,18-Jan-19,Beautiful concept of the heritage train doing a ramp walk for her admirers. Basic safety measures are required in the park.,Jan-19
Amazing Batasia loop,,,ui_bubble_rating bubble_50,18-Jan-19,"On the way to Darjeeling from Siliguri by the famous Toy Train journey passes through the Batasia Loop and the War Memorial. This place is 5 kms. ahead of Darjeeling city and located in between Ghoom ( The highest point in the world where Locomotive Engines operate) and Darjeeling cities. 

Batasia Loop attracts people for spectacular view of Mt. Kanchenjunga & other snow capped Himalayan Peaks and watches the remarkable engineering marvel of Darjeeling Himalayan Railways where almost imperceptibly the railway line negotiates a circle and descends 1000 ft. in altitude. 

At the centre of Batasia Loop a War Memorial stands. This memorial was constructed by the District Sainik Board. Darjeeling in commemoration of the brave Gorkha Soldiers, who sacrificed their life to protect the sovereignty of the Nation since independence. This memorial was sanctified on 22nd March, 1995. Local people throng here to seel handicrafts and woolen items tea packets etc for tourists You can take photos of natural sceneries of the surrounding areas. More",Nov-18
Batasia loop,,,ui_bubble_rating bubble_40,18-Jan-19,Nice view . Binacular view of Kanchenjunga was very nice .you can see the ToyTrain haulted for a while .nice esperience . We visit late morning after 9 am so we found the ToyTrain. Early morning it's not possible as no trains comes then,Jan-19
Toy train,,,ui_bubble_rating bubble_40,16-Jan-19,"Have a ride on Toy train running alon road and showing a few places of interest. 
Railway museum on other end of halt.",Sep-18
Sit there and see the view,,,ui_bubble_rating bubble_50,14-Jan-19,"Good place to see , toy train passed through this place in a loop manner . You can spend an evening there watching great view of mountains and also can enjoy the toy train ride.",Jan-19
A must visit site,,,ui_bubble_rating bubble_40,14-Jan-19,It is a must visit site if the weather is clear then the beuty of Mt kanchajonga will take away all tiredness of the road trip. You can also enjoy it in the morning after watching the tiger hill sunrise.,Jan-19
Batasia Loop,,,ui_bubble_rating bubble_50,14-Jan-19,Very nice place.. there is loop style railway track... There u can enjoy view of nature.. or u can also buy some clothes.. if u are visiting in winter u can get snow falls too..,Jan-19
"Visit at the Batasia Loop, Darjeeling",,,ui_bubble_rating bubble_40,8-Jan-19,"The Batasia loop is a spiral railway line created to lower the gradient of ascent of the Darjeeling Himalayan Railway in the darjeeling District of west Bengal, India. In this point the railway track makes a 360 degree turn. Here the track spirals around to ascend the hill top. It was commissioned in 1919. from this point the world's 3rd highest pick Kanchenjunga of Himalaya range is visible clearly on a clear day. It is situated almost 5 km away from Darjeeling town.",Dec-18
Good visit,,,ui_bubble_rating bubble_30,5-Jan-19,almost everything in these 2 states lean on the mountain Range Kanchanjunga to make an otherwise average trip excellent ... everywhere you go this is thrust on you like there is nothing else to showcase ...Even in this famous loop where you have now a garden and a gorka memorial ...the main highlight is the view from powerful binoculars on rent of the famous Kanchanjunga.. Salute to the majestic range …!!!,Dec-18
Engineering marvel-Batasia loop,,,ui_bubble_rating bubble_50,5-Jan-19,Batasia loop is famous not only for for engineering marvel of British engineers but it also offers 360 degree view of Darjeeling landscape with hill town and snow covered peaks of East Himalayan range with majestic Kanchanjunga. The toy train has to manage a sudden slope of 140 ft after Ghoom station so this beautiful loop is created where the toy train crosses its own tacks which one would never realise having gone through such a steep slop. Apart from this there are planned fliwers on both sides and its an enjoyable journey,Dec-18
Batasia Loop at December,,,ui_bubble_rating bubble_50,3-Jan-19,It was awesome experience. Weather was clear due to snowfall on previous day's. Kanchenjunga range is clearly visible from this point if weather is clear.,Dec-18
Beautiful Garden,,,ui_bubble_rating bubble_50,31-Dec-18,"Very beautiful garden. Amazing view of sikkim, china & darjeeling mountains. Full of greenery. Very well sitting arrangements. Binoculars available @40 per head which gives you magnificient, though for a small span of time,view.",Dec-18
A PART OF TOY TRAIN RIDE,,,ui_bubble_rating bubble_40,26-Dec-18,It is just for fun people take the toy train in Darjiling. Both steam engine and diesel driven train are available for the same route. The train stops for about 10 mins at Batasia loop. Nice view can be enjoyed from there if the sky is clear.,Dec-18
Must visit place between Ghoom and Darjeeling stations,,,ui_bubble_rating bubble_50,26-Dec-18,"The Batasia Loop is a particular place near Batasia Cantonment area in which a spiral has been created to lower the gradient of ascent of the Darjeeling Himalayan Railway. At this point, the track spirals around over itself through a tunnel and over a hilltop and you will realize the same. The experience is great and must have one when in Ghoom or Darjeeling.",Nov-18
An overwhelming experience,,,ui_bubble_rating bubble_50,24-Dec-18,"The memorial against the backdrop of the mountain ranges, is a view one does not come across often. Very well kept, the place does justice to its name. It is peaceful to just sit and watch the train pass by, admire the beauty of the landscape and also spare a moment of gratitude for the soldiers who bravely gave up their lives for the country.",Nov-18
Batasia Loop,,,ui_bubble_rating bubble_50,23-Dec-18,"An engineering marvel with nature abounding. A tribute to the Gorkha Regiment soldiers, who died fighting for the country, evoke a sense of nationality.",Dec-18
On the way for Darjeeling,,,ui_bubble_rating bubble_40,19-Dec-18,"You may stay here to avoid Darjeeling crowd and rush 
Beautiful place, avail toy train, or just sit in a bench and enjoy natural beauty",Dec-18
