title,username,location,rating,review_date,review_text,experience
Iconic!,JharnaS10,"Mumbai, India",ui_bubble_rating bubble_50,28-Feb-19,The nine planets and the solar system was introduced to us here as children and as young adults.With the advent of internet probably the uniqueness of Birla Planetarium has gone to a certain extent but still it draws people like us who want their children to see what it was like 30 or 40 years ago!!,Oct-18
Birla Planetarium,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_30,28-Feb-19,"Birla Planetarium is located in Maidan area of Kolkata. This is a family place where all can enjoy the astonomical shows that presented here in 3 languages namely, Bengali, Hindi and English. There is a charge for watching shows here. One can get down at Maidan metro station or can use public transport to reach this place.",Sep-18
Must see for both children and adult,Christy_Steeve,"Bengaluru, India",ui_bubble_rating bubble_50,17-Feb-19,"Can be combined with trip to Victoria memorial as it is alongside. Continuous shows throughout the day last one being at 6:30 pm. Beautiful and modern planetarium,",Feb-19
Nice views and informative stuff,adityainc,bhagalpur,ui_bubble_rating bubble_50,17-Feb-19,It has a wide collection of scientific instruments and showpiece for use to children and interested people. Worth visiting.,Dec-18
Awe-Inspiring Experience,Tharpo,"Noida, India",ui_bubble_rating bubble_50,13-Feb-19,"It's fact that I took long years to visit this place. But better late than never, indeed it is an overwhelming experience. They have Carl Zeiss AG optical projection system, that's simply fantastic. We saw a program on ""Cosmic Collisions"". The half an hour passed like few seconds. Minuteness of our existence was well understood. Narration was by the Sundance Kid. They have different show timing for Hindi, Bengali and English narration. If you are visiting Kolkata it should be your No-1 pick.",Feb-19
Perfect on a rainy day in Kolkata,ohiowanderer,Columbus OH,ui_bubble_rating bubble_50,8-Feb-19,"We attended the 6:30 PM show in English and it was very good. My friend had visited the Planetarium in 1982 and remembered it fondly. It was just as good in 2018. The show was narrated by Robert Redford, and you can't go wrong with Robert Redford. The show was about cosmic collisions. The planetarium was clean and had comfortable seats. After the show, take a look at the displays. And there are clean toilets, a luxury in that area. You cannot take big bags inside and have to leave them at a booth outside. I was a bit concerned about that but my backpack was safe.",Jul-18
Must visit place,TamaliR6,"Kolkata, India",ui_bubble_rating bubble_40,18-Jan-19,,
Outstanding,AniruddhaDeb,"Kolkata, India",ui_bubble_rating bubble_50,16-Jan-19,,
Good for Kids,Ikramft,,ui_bubble_rating bubble_40,8-Jan-19,"Kids who are interested in galaxy, they should visit this place. Definitely the content of the show is rich in science. 
You have be in queue for long time in the weekend.",Jan-19
Amazing,NahidaAndaman,"Port Blair, India",ui_bubble_rating bubble_50,7-Jan-19,I visited the planetarium as a child in 1982 and was amazed. Its still amazed me to see the starts and the universe. The children will love it. There is a gallery just next to the planetarium room which hosts a great collection for the star gazers. Loved the trip. Would love to visit it again,Sep-18
Crowded but informative,PriyaM857,"Bengaluru, India",ui_bubble_rating bubble_30,23-Dec-18,Its very crowded place but very informative place. the day we visited there were so many families with kids.,Nov-18
VISIT TO THE BIRLA PLANATARIUM,Firdosh M,,ui_bubble_rating bubble_30,19-Dec-18,Went for the 1st 12.00 noon Show in Hindi language. Auditorium is well maintained. The show was a disappointment. Have seen better shows in Planatariums in various cities.,Dec-18
