title,username,location,rating,review_date,review_text,experience
All about bookishness,ProsenjitD19,,ui_bubble_rating bubble_50,2-Mar-19,"This small area of just about a quarter-mile square is jam-packed with stall offering new books and second-hand books of all sorts and all subjects. It is the place for a bibliophile. Add to that some interesting eating places, such as the Indian Coffee House where one can indulge in the typical Bengali ""adda"" for hours on end, and one gets a place one can enjoy.",Feb-19
Loved the book stalls everywhere,EnakshiC,"Navi Mumbai, India",ui_bubble_rating bubble_50,28-Feb-19,"Yes, this place is like a huge library on the street. Everywhere you look you find books lined up. It looks great if you are a bibliophile. 
All kinds of books in different genres and languages. Easily a good day can be spent looking, surfing and then buying some book.",Nov-18
A street full of book shops and where everything is heritage,call_me_rajib,"Kolkata, India",ui_bubble_rating bubble_40,28-Feb-19,You can walk on the streets and visit different book stalls to check the varieties of books. Take rest in the college square park. Visit the coffee house and different colleges having historical importance.,Nov-18
Very old place for books.,reubenranjanfern2017,"Noida, India",ui_bubble_rating bubble_40,27-Feb-19,This is a place for book lovers. Any book can be found here a cheap price. But this place is very crowded.,Feb-19
You get any books here,abutaiyab,"Dhaka City, Bangladesh",ui_bubble_rating bubble_40,16-Feb-19,"Now by the look of it you will not be able to tell collection they have but once you ask for it you will be surprised.The stores have people who have deeper ideas and know where to find the book u need. 
You can get both University curriculum books as well as fictions and everything.",Nov-18
a trip down memory lane,Koyel M,"Dombivli, India",ui_bubble_rating bubble_50,15-Feb-19,"this is the place to visit if you are a book lover and want to know how bengalis are crazy about books. old book stores, some of the best in the city, are located here. you get second hand books here at cheap rates. a must visit if you want to expereince bengali culture.",Apr-18
Love it!,Poulomi S,,ui_bubble_rating bubble_50,13-Feb-19,"If you are a book lover, this is a place you must go to! ANY BOOK- you will get it here at the LOWEST PRICE possible!",Jun-18
Book attic,RadhikaRoehampton,Roehampton,ui_bubble_rating bubble_50,13-Feb-19,You can find any book you want if you do not mind how long you need to search around the stalls and do not mind if you get an very old copy,Mar-18
COLLEGE STREET,raj b,"Bharuch, India",ui_bubble_rating bubble_50,8-Feb-19,"Really a place where you can find what u want, specially in terms of Book of course, from A to Z in category of books. Feel free to visit any time, get what you want at a nominal rate from other places.",Nov-18
The iconic street of books !,kamakshi2015,"Bengaluru, India",ui_bubble_rating bubble_50,23-Jan-19,"In Kolkata this street is a long stretch of book lined street which is a delight to any book lover . The busy hub of the city is poupular due the chance it offers to find some of the books which are treasure . There are old books New books and out of print book which are a dream of aanyone who loves books . The access is easy .The nearby , eateries add to its charm . Enchanting !",Dec-18
Treasure street,,,ui_bubble_rating bubble_40,21-Jan-19,"This is a heaven for those who love books...books belong to different ages & tastes is available here..so many shops, so many book that time just flies away.. books for academic & non academic field r available at discounted prices & second third hand books are available... copies pens & similar stationary items are cheap here.. easily accessible place , so many shops & options .. happy visit..",Jan-19
Purchased old books of Chittaranjan DasGupta Physics for XI and XII + Geometry book by Hall & Stevens,,,ui_bubble_rating bubble_50,14-Jan-19,Great location to scout for any book. Mecca for book lovers. Hope these people would get connected through Amazon to widen horizon of sales.,Dec-18
"If you're a book lover, this is your HEAVEN",,,ui_bubble_rating bubble_50,14-Jan-19,"This is the place where you will feel home as a book lover. Surrounded by prestigious institutions around, this street boasts of being the hub of the widest variety of books. Be it educational or other books, this street will never return you empty handed. 
The stores here have both new and old book stores. You can stand in any stores, surf through them, turn the pages to have a glimpse, negotiate the price and get yourself drowned in the pleasure of being a bookworm. 
If you feel tired anytime, you have a coffee house for a quick bite and a smoke. 
And, if you're first time in the city, don't forget a ride in the famous English tram as you see them pass through this land of books. More",Jan-19
