title,username,location,rating,review_date,review_text,experience
Nice Bridge,DebabrataP52,"Gangtok, India",ui_bubble_rating bubble_30,20-Feb-19,"This is a very nice Bridge known as coronation bridge. Also known as Tiger bridge locally. Gateway to Assam,Bhutan and Jalpaiguri.very old bridge and beautiful designed technically. Halt here for some time to enjoy the natural beauty and landscape with a cup of tea.",Feb-19
Massive Structure,drkakkar,"Chandigarh, India",ui_bubble_rating bubble_50,29-Jan-19,"We saw the bridge on way back to Siliguri from Gangtok. Nice piece of engineering, a good view of river Teesta. 
Can stop for few snaps..",Jan-19
On the way tea break,530sandipm,,ui_bubble_rating bubble_20,19-Dec-18,"Not a tourist point at all. Just stop here for some tea or a few clicks, then set for your destination. Monkeys may disturb, beware",Jun-18
engineering marvel,soodajay,"Shimla, India",ui_bubble_rating bubble_40,9-Dec-18,At a distance of around 24 km from Siliguri is this engineering marvelbuilt on beautiful Teesta. Not many tourist visit it but should be on must visit sites if one has some spare time in Siliguri. It is also the gateway to Kalimpong . Nearby is the Kali temple which adds to the visit. The road is also good and shady.,Dec-18
Main connection in between Dooars and Darjeeling,Ditun_P,,ui_bubble_rating bubble_40,12-Nov-18,"This bridge is across Teesta river on National High way. It connects in between Dooars and Darjeeling. If your car driver allows you to take pictures from that bridge, then you can really enjoy the view of the bridge. 
PS: Don't waste to much time on this bridge.",Sep-18
A straight bit of road!,KrispyPlymouth,Plymouth,ui_bubble_rating bubble_40,5-Nov-18,After zig zagging through the hills the Coronation bridge makes a refreshing change! One of the few straight stretches on the road. Great views of the river as you drive across and the chance to see monkeys waiting for passing motorists to offer them a treat.,Oct-18
From Bhutan to Siliguri,Anshumanafsa,"Kurseong, India, Asia",ui_bubble_rating bubble_40,1-Nov-18,A bridge spanning across the Teesta River. Also called Bag Pool ....because of the tiger statues on one end. It's on revoke road.,Oct-18
Beauty,MelissaDsouza,"Mumbai, India",ui_bubble_rating bubble_40,30-Sep-18,This bridge is what you get to see on your way to Darjeeling or Gangtok from /new Jalpaiguri railway station one of the oldest bridge,Sep-18
Beautiful bridge with view,Deborahhanna,"Bengaluru, India",ui_bubble_rating bubble_30,25-Sep-18,"Nice bridge. I thought at first sight it was a new bridge. It must have been freshly painted. IT had flower garland also hanging on it. Amazing that it has survived so long, and in such good shape.",Sep-18
Beautiful bridge but be aware of monkeys,neha763,,ui_bubble_rating bubble_50,28-Aug-18,Bridge is very nice and very old. Bridge is covered with with green lush mountains. But there are many monkeys.,May-18
Colonial wonder over the beautiful Teesta river,,,ui_bubble_rating bubble_50,28-Aug-18,"A colonial bridge enroute Siliguri to Badgora, set amidst the Teesta Valley... Beautiful.. In awe as this bridge is in use now also",Mar-18
its on the highway,,,ui_bubble_rating bubble_30,14-Jun-18,Its on gangtok to siliguri highway.The river appears more beautiful than the bridge..nature is always the best. As it is just on the way we can tick it off the checklist! Nothing much to do,May-18
Picturisque vew of mountain and river from this brigde.,,,ui_bubble_rating bubble_40,8-Jun-18,"Really a picturisque place , the bridge is on the mountain river Tista, high hill on the both sides. This on the way to Gangtak from Siliguri - a district on the north Bengal of India.",Jun-18
Historical Bridge,,,ui_bubble_rating bubble_50,28-May-18,This is a historical bridge which is around 75+ years old.It was build during British era. It is on the busy National Highway No.17. It looks magnificent on Teesta River. The route leads to the east part of Bengal ending near Bhutan.,Jun-17
