title,username,location,rating,review_date,review_text,experience
To sea Maa Kali,ItsDream,"Kolkata, India",ui_bubble_rating bubble_40,6-Mar-19,"It is a beautiful place, cum & quite place..also very specias.peoples are enttairing very systematic to reach in front of the God.over all here people can find the peace of mind.sarrounding of the temple is also beautiful.It is just in the bank of river Ganga.This is another place to take a fresh breath.",Mar-19
Religious place,Viren2610,,ui_bubble_rating bubble_50,4-Mar-19,Whenever I went to that place I sat on a corner for couple of hours to set my mind for future opportunities and asked blessed from MAA Kali.,Aug-18
Overwhelming Experience,rajshaily,"Noida, India",ui_bubble_rating bubble_50,4-Mar-19,"When I visited the place on a Saturday, the queue was almost half a kilometer long. But the management was so good that I could have the darshan within 40 minutes. Visiting the sprawling complex, having Kali ma's darshan and then taking parikarama in the temple complex was an overwhelming experience.",Feb-19
Famous temple of kolkata!,shovanosneha,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,27-Feb-19,Dakshineswar temple is famous temple of kolkata. Its very well managed given the no of devotees visit per day. In this temple compound no panda raaj exists.,Jun-18
Visit to Dakshineswar Temple,SUMAN0901,"Kolkata, India",ui_bubble_rating bubble_50,25-Feb-19,"Being a so popular temple, first thing remarkable that you will not get the pressure from Panda like other temples. Here is no Panda raaj. You can offer the puja to MaaKali with any sweet you like, even you can take sweet made by yourself also which should be strictly veg ( which few people know). You can sit and take Prasad lunch by paying a very little amount at temple committee. Whole premises is neat ,clean and calm.you can enjoy Sandhya aarati with bhajans.you can enjoy the beauty of River Ganges which is just adjacent to the Mandir.",Jan-19
It is a temple but very organized. provides a nice expereicene.,call_me_rajib,"Kolkata, India",ui_bubble_rating bubble_40,25-Feb-19,"On the bank of the holy river Ganges, this temple is significant in the history and culture of Kolkata. The place is nicely managed and the campus is clean. Recently opened skywalk makes the approach easier to the temple campus.",Apr-18
a serenely powerful temple,smitagupta,"New Delhi, Delhi, India",ui_bubble_rating bubble_50,22-Feb-19,"anticipating big crowds as found in Kali temple in Kolkata, I reached Dakshineshwar around 8am, to my surprise there weren't too many crowd-we had a nice dip in the Ganges and went for darshan , got a good moment in front of Kali Ma and offered our prayers to all the 12 Shivalingas.......if you are not hard pressed for time, do sit on the steps and soak in the vibrations of the Temple",Jan-19
Hm....it is interesting,lendvain,"Little Clacton, United Kingdom",ui_bubble_rating bubble_40,20-Feb-19,"To be honest I was rushed around by a guide, but even if I'd wonder alone wouldn't make a difference. 
I went to see the temple at sunset...still don't know why coz you can't see the difference between sun up or sun down (maybe I missed something...?) 
The 'church' is very small, only one door let you see in, not going in as monks and holy man sitting at the door. Plus sooo many people want a glimpse of the holy Kali, it is a big elbow fight to get a bit closer. 
My guide took me around the small yards and constantly told me what to do with the bunch of flowers he put in my hands. 
I had a blessing, cost as much as you want to give him, but when I got out a RS100 he made a face. No comment 
When gonished the tour he wanted my to buy more flowers for RS200. Told him no since it was my last day. Wanted to give him a little pocket money but he run away, chasing other tourists. 
All in all it was an experience... I had a blessing so it worth a visit. More",Feb-19
Divine,Avidtraveller1710ch,"Bangkok, Thailand",ui_bubble_rating bubble_50,19-Feb-19,"Organised, clean and most importantly helpful people around you. Blessed to have visited this place.",Feb-19
Peace,472lakshits,"Mumbai, India",ui_bubble_rating bubble_50,18-Feb-19,"Pilgrimage effect. 
It cleans your soul. Just try the evening bhajan sandhya and though small be captivated. 
Must visit.",Feb-19
