title,username,location,rating,review_date,review_text,experience
The only Indian Railway so high,MelissaDsouza,"Mumbai, India",ui_bubble_rating bubble_40,23-Feb-19,"These trains work on engine and they have particular timings you shouldn't be expecting some great views since the place is not so clean, definitely a 1 time visit to the world's heritage.",Sep-18
Bollywood toy train,prrateek,"Hyderabad, India",ui_bubble_rating bubble_50,22-Jan-19,"The legendary , UNESCO world heritage toy train of dhr famed for steam engine is definitely a must visit. The station is located conveniently in the city, priced at 1430 rs per person for steam version is reminiscent of big Bollywood movie songs, taking now thru cramped streets of otherwise scenic Darjeeling. A tea service and peppy Bollywood songs would add a little more charm. 
The train journey starts at prefixed intervals and takes almost 2 hours to return covering batasia loop, ghoom, ghoom railway museum ( 20 minutes). 
Despite congested seating, coal flying...dhr is definitely a fairy tale experience",Jan-19
A glory lost to urbanization,parveen_ahlu,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_30,19-Jan-19,"While earlier the joy of sitting in the toy train would have been unforgettable, today this has lost its charm...primarily because Darjeeling as a town is dirty and there really is no joy in sitting in the train. The station as well as in Ghoom are historical landmarks, though.",Jan-19
Heritage Ride - Must do activity,sreenisarma,"Hyderabad, India",ui_bubble_rating bubble_50,16-Jan-19,Took the steam engine train ride from Darjeeling-Ghoom-Darjeeling. The ride is exceptional with stop at Batsia Loop as well. Coaches are well maintained and timings are honored. Booked it in advance thru IRCTC. The stations at Darjeeling and Ghoom have lot of heritage and UNESCO certified as well.,Dec-18
Must go for it,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,14-Jan-19,I had a great great ride in this heritage toy train. I took a drive from Darjeeling to Ghoom. You will see beauty of Darjeeling going in this train. It moves really slow which increases the sight seeing value. A must for all the tourists.,Jan-19
Good train ride through Batasia Loop,490amlanr,"London, United Kingdom",ui_bubble_rating bubble_40,5-Jan-19,"It was a cold morning and we had a ride on a train which was v slow but powered by steam engine. Great views, v few seats. We booked 4 seats and could only get a waitlist for 5th and do one of us had to stand. The waiting spots were scenic and nice. The train museum was good too.",Dec-18
Queen of hills- darjeeling toy train,JayantSathe,"Mumbai, India",ui_bubble_rating bubble_50,5-Jan-19,"Toy train of Darjeeling has been accorded the UNESCO World Heritage status operating on narrow gauge since 1880 is still in full operation offering scenic beauty on both sides during its run.Steam engine pulling mini coaches managing various curves at snail pace. It has first halt for water for 5 minutes and again starts at its own snail speed till Ghoom station where railway has museum offering historical pictures, monuments and various historical details.Its about 2 hours ride covering 14 km distance.it has a halt at museum and war memorial.When in Darjeeling one must find time to enjoy this experience.",Dec-18
Long and boring,hjkort,"Vienna, Austria",ui_bubble_rating bubble_20,2-Jan-19,"The 7 hours ride took almost 10. The first 2.5 hours are interesting then it gets boring. Better to get off the train then and take a taxi down. Seats, even in first class, are uncomfortable for such a long ride.",Jan-19
Best experience.,Sharadtarde,"Pune District, India",ui_bubble_rating bubble_40,23-Dec-18,One of the great experience in Darjiling. The view from the window of nature is unforgatable. Only you have to book online before atleast 2 week .,Dec-18
Good reminiscences,mittapallisr,"Hong Kong, China",ui_bubble_rating bubble_40,14-Dec-18,"It is reliving of old time coal engine with clatter and coal experience 
Definitely a ride to take to enjoy nature",Jun-18
Not Worth the Money,,,ui_bubble_rating bubble_20,30-Nov-18,"No need to pre-book tickets....not many people visits this now a days.... 

Joy train ride Very expensive..not worth the money and time.. 

If you really wants to enjoy toy train...take train from NJP to Darjeeling... 

When traveling by Diesel engine, you can see that most of the tourist covers their nose due to smoke... 

Invest the time at some other place...train travels on busy road most of the path",Oct-18
Journey of a lifetime,,,ui_bubble_rating bubble_40,14-Nov-18,"Darjeeling Himalayan Railway was a journey of a lifetime with such incredible sceneries that cannot be described unless you have first hand experience of it. The views were simply out of this world and breathtaking. Darjeeling Himalayan Railway is a must for anyone visiting Darjeeling, with the sceneries itself being the number one reason to travel and meet some unique people as well. The only negative being that it really needs maintenance, but other than that a fantastic experience.",Nov-18
Good Railway,,,ui_bubble_rating bubble_40,14-Nov-18,Darjeeling Himalayan Railway is a very popular in Darjeeling. It is a heritage thing in West Bengal.,Oct-18
Just horrible!,,,ui_bubble_rating bubble_10,12-Nov-18,"Darjeeling hasn't got a lot to offer and what it does have - in this case the Unesco recognised 'toy' train - is to be avoided as a passenger and probably avoided altogether. 
We took the ironically named 'joy ride' which cost a lot, is mercifully brief and, in my opinion, should be shut down. 
This train simply follows the already congested road, spews smoke everywhere and is deafening. The two stops are a joke. 
If you need to see these trains, do it at the Darjeeling station. They're much better observed from outside of the carriages. 
Very disappointing and a bit of a ripoff.",Nov-18
An amazing thing but not maintained,,,ui_bubble_rating bubble_30,5-Nov-18,"I loved the steam and small gauge diesel railway of Darjeeling. 

The station and yard are in the main road but it’s definitely seen better days. 

If this was anywhere else in the world it would have been cherished and lovingly restored - but sadly this is never been maintained to the levels it should be and it’s therefore quite saddening to see the general disrepair of what could be one of the worlds great narrow gauge railways. 

If you are planning to ride the railway, remember - from Siliguri to Darjeeling the train leaves at 08:30 and it takes around 7 hours to get to Darjeeling.",Nov-18
Toy Train in West Bengal,,,ui_bubble_rating bubble_30,18-Oct-18,"The Darjeeling Himalayan Railway, also referred to as the DHR, and lovingly called the 'Toy Train', is a 2 feet narrow gauge train that runs between New Jalpaiguri and Darjeeling, in West Bengal, India. The Darjeeling Himalayan Railway provides significant transport links between various parts of the Darjeeling hills and lower plains and is a piece of sheer engineering inventiveness and vision.",Aug-18
Too pricey & Overly Hyped,,,ui_bubble_rating bubble_20,17-Oct-18,Overly hyped... Could definitely improve the service in return to the amount charged... atleast a cup of Darjeeling Tea can be served to go along with Heritage ride concept,Oct-18
Darjeeling visit,,,ui_bubble_rating bubble_30,13-Oct-18,"Old Victorian styled steam engine is the speciality with the ticket price being Rs 1300 and for Diesel engine being Rs 800. For novelty factor, it is a must visit.",Oct-18
Toy Train,,,ui_bubble_rating bubble_40,10-Oct-18,Its an amazing experience travelling in the heritage - Darjeeling Himalayan Toy Train. Its a must visit railway station.,Sep-18
"Joy ride, not worth the price",,,ui_bubble_rating bubble_30,4-Oct-18,"The hill train is an unique one running in the world and is known for the innovative engineering feats. The Darjeeling station is a cute one. However, as far as the joy ride goes, the price of Rs. 805 per person for diesel engine and Rs. 1300 per person for steam engine is quite steep. The journey is a short one to Ghum station (half hour stop) and a ten minutes stop in the famous Batasia loop. Since the journey is through the crowded city do not expect any good views. The Ghum musuem is interesting to people interested in history, but may be uninteresting to kids. The ride provides a unique experience of traveling alongside shops, houses and cars. But if you are expecting great views you will be disappointed. More",Oct-18
Heritage Railway,,,ui_bubble_rating bubble_40,3-Oct-18,"Darjeeling Railway Station is the highest in India, situated at an altitude of over 2200 meters. The Darjeeling-Himalayan Railway runs trains, both Diesel and Steam every 2 hours alternatively. The charges are pretty steep at Rs.800 for Diesel train and Rs.1300 for Steam train. The journey itself is very unique as we travel along-side cars and two wheelers and into some very picturesque places. At times the train pass through the market place! There is a memorial on the way and the train stops for a 10 mins there for you to take pics and stops at Ghum for 30 mins- where you can a railway museum..., which is not interesting. And being a round trip, the train takes the same route back to Darjeeling. Interesting trip, but the charges seem a wee bit high. More",Aug-18
Amazing,,,ui_bubble_rating bubble_50,23-Sep-18,"I went to Darjeeling Himalayan Railway. A visit to the city of Darjeeling is incomplete without a joyride at the Darjeeling Himalayan Railway toy train. Moving at a snail pace over the hilly terrain, it is an experience no one wants to miss. It is great place to go.",Sep-18
Amazing experience,,,ui_bubble_rating bubble_50,16-Sep-18,Amazing experience to cherish the heritage of railways. A visit to tiger hill in a clear weather and Himalayan railways should be the only items to be added in the itenerary of darjeeling. My kid enjoyed a lot.,Sep-18
"A train journey on road, in woods, touching the lives and vanishes inside clouds...",,,ui_bubble_rating bubble_50,14-Sep-18,"DHR is a fascinating word. It takes you to some places, where you have never reached before. It takes you through some frames that you have never seen before. 
Board the train from Kurseong. The city ends when the train goes between the church and Kurseong Tourist Lodge. Then the magic starts. The magic of whistle and steam takes you into an antient times. The forest of deodar makes the path for you. The train goes through the Nepali basti, passes the waterfall, crosses the wet road now and then. Sometimes you depart from the train and run pass by pass the train. Then only you disappears in the sudden cloud. The train also gets vanished. Only the dim headlamp declares the toy train is running. 
Tung-Sonada-Ghum. These are the stations you stop before reaching Darjeeling, the city of cloud. The train reaches at Batasia loop in between Ghum and Darjeeling. If you can’t manage the tickets, go to Batasia loop at train time. Sit over a bench and watch the train come climbing a loop. 
Darjeeling Himalayan Railway can be the only thing for which one can come to Darjeeling. If you come, don’t miss it. More",Aug-18
The living legend,,,ui_bubble_rating bubble_50,21-Jul-18,"The World Heritage Railway is for ever new to me and fortunately at least one train is operational between New Jalpaiguri and Darjeeling stations. It takes very lng time to reach the destination, but experience is lifetime. Z reversing points are thrilling and Museum in the upstairs of Ghum station is worth visiting. Art gallery at the waiting room of Sukna station is also fascinating. For both up and down trains lunch is available in Tindharia station.",Jul-18
The Joyride,,,ui_bubble_rating bubble_50,14-Jul-18,"It was amazing to see a steam engine pulling two small bogies for an exciting joy ride. Got tickets booked thru IRCTC however tickets are available at window in off season in July/August. It was from Darjeeling to Ghum station and back with a 10 min break at Batasia. We wish that break be increased to 25 mts as one hour break at Ghum has no need. You can see railway museum in 15 mts. 
Otherwise just enjoy sight seeing on way.",Jul-18
The joyride,,,ui_bubble_rating bubble_50,5-Jul-18,We booked a joyride in the old steam engine through IRCTC. It was from Darjeeling to Ghum station and back with a 10 min break at Batasia loop and half an hour at Ghum station. The feeling of course is unforgetable and takes you back to a different era. Its an engineering marvel that has withstood the test of time. You can avoid the slight hindrance of fine coal particles if you book the joyride in a disel engine( it ischeaper too) but then you willmiss the real thril.,Jun-18
Hill passenger railway,,,ui_bubble_rating bubble_40,3-Jul-18,Darjeeling Himalayan Railway is declared as world heritage site by UNESCO.The narrow gauge railway is between New Jalpaiguri and Darjeeling. It is the most outstanding example of 'hill passenger railway'.The toy train passes in a loop like pattern at Batasia loop to counter sharp descent(140 feet).It is an engineering marvel.For most of the tourists it is a nostalgic ride when they visit Darjeeling.,May-18
Not an amazing Experience,,,ui_bubble_rating bubble_30,3-Jul-18,"When people go for Toy Train ride, they expect that when they'll be inside the train, they'll be able to see some nice views and some exciting experience but in actual the train just goes on the road from which you have entered the darjeeling city, no beauty to see from train. So if somebody is going to darjeeling and just see its engine, take pictures already parked on station as it is historical.",Jun-18
