title,username,location,rating,review_date,review_text,experience
Enjoyed the ride,debashreen2018,,ui_bubble_rating bubble_40,17-Feb-19,We booked our tickets through irtctc online portal earlier to our Darjeeling visit but we're a bit disappointed by the overall ride. The train moves through the town mainly with very little view of the hills. Takes you to batasia loop and halts for only 10 minutes. But they have a 30 min halt at ghum station but there's nothing much to see except the museum. It's a heritage joy ride and must be experienced when in Darjeeling.,Feb-19
For train enthusiasts,zigsterGoldCoast,gold coast,ui_bubble_rating bubble_50,11-Feb-19,"A ride on the toy train is a fun activity for the whole family. An added bonus is that many of the trips use an original steam engine complete with coal burning fire. The trip takes 2 hours and there are several short stops along the way. The seats in the carriages are very comfortable and all seats provide good views. One of the highlights of the trip is the close proximity the train travels to cars, pedestrians and roadside shops and markets.",Feb-19
Not worth it,Swatiib,"Dehradun, India",ui_bubble_rating bubble_30,31-Jan-19,The train which was once the identity of Darjeeling has now lost its charm all because of its route which passes through all concrete jungles. It is not the money it charges at all,Jan-19
Bollywood engine,prrateek,"Hyderabad, India",ui_bubble_rating bubble_50,28-Jan-19,"A playful jolly ride in dhr from Darjeeling to ghoom and back with stops for batasia loop and museum. The steam engine which is a UNESCO site is the best memoir of Darjeeling and Bollywood . The charges are 1400 per person, seats lil cramped , would be great if full 2 hours Bollywood number can be played. Definitely grt",Jan-19
"A Joy Ride, Indeed",akash1209,"Mumbai, India",ui_bubble_rating bubble_50,28-Jan-19,"We opted for the 2 hours long Darjeeling-Ghum-Darjeeling joy ride in the Steam Engine Train and it was a pleasant and satisfying experience. 

It’s commendable how they have maintained the really old Steam Engines. 

Loved the small Museum at Ghum Station.",Dec-18
The 'Joy' Train,vish_2_travel,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,19-Jan-19,"'Unmatched experience', to start with I would say about the Toy train . 
In a country like India , even though trains are the lifeline for us to commute/travel , hardly ever one gets such a surreal experience of travelling in the train . 

Where else one can see the engine from so close , railways tracks suddenly have a friendly appearance to them and the heritage experience is paralleled. 

Must for anybody travelling to this part of the world, it is certainly any kid's delight . 

Yes the ticket is tad too expensive, but then both steam/diesel engines have 2 wagons only i.e. max 55 seats . And preserving a century old heritage will cost something, add to it the fact that all of those who board the Toy Train do so to get the experience and not for any local commute . 

Do Darjeeling and the Toy train More",Jan-19
MEMORABLE JOURNEY BY DARJEELING TOY TRAIN,babunroychowdhury123,"Kolkata, India",ui_bubble_rating bubble_50,19-Jan-19,Kuu-jhik-jhik....a sound which paints a picture of serenity and divinity in the minds of people...th enchanting beauty of the hill queen coupled with the beauty of the steam engine led toy train etches a never-fading memory in the mind....though the diesel engine borne train is never any less..the heritage ride which strangles the mind in awe is an experience to savour..indeed a brilliant journey...,Mar-18
Not upto the expectation.,PrabaharPM,"Chennai, Tamil Nadu, India",ui_bubble_rating bubble_30,19-Jan-19,"Very costly. For the money we spends, not giving satisfaction. Its moving in congested road. No scenery other than batasia loop.",Jan-19
Heritage!,delta8488,,ui_bubble_rating bubble_50,16-Jan-19,It is a heritage experience especially for train enthusiasts. Booking to be done through IRCTC website rather than through agents,Dec-18
Beautiful view of the place through toy train,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,11-Jan-19,You couldn’t see the beauty of Darjeeling if you have missed the heritage toy train. I took a round trip ride from Darjeeling till Ghoom. It was such an amazing experience I had it on the toy train. It runs very slow through the narrow lanes. A bit crowded sometimes but you can always adjust if want to have this memorable experience .,Jan-19
Heritage joy ride,,,ui_bubble_rating bubble_50,31-Dec-18,"Well it was so good to have a pleasant joy ride 2042 feet above sea level 
Well maintained trains and good joy ride around 8 KM with a pitstop at Batasia loop kanchenjunga view point",Dec-18
Toy Train Got Cancelled,,,ui_bubble_rating bubble_10,26-Dec-18,It was the worst thing as my toy train got cancelled in the morning and we could not enjoy it. It was really upsetting.,Dec-18
