title,username,location,rating,review_date,review_text,experience
Awesome place to spend your day,Bobby0512,"Kolkata, India",ui_bubble_rating bubble_40,28-Feb-19,"Ecopark is located in Rajarhat very close to City Centre 2. Entry is reasonably priced at Rs 30 each. Parking is Rs 20 for bikes and 100 for cars. It is best to enter from gate no 2 if you want to take the electric car or the toy train as the only booking counter is located there. 

The park is huge with an awesome water body adding to the beauty. Replicas of Eiffel tower, Taj Mahal and Leaning Tower of Pisa give the shutterbugs lots of time to spend. The rose garden is beautiful. Bumping cars in the pond is another new thing to see. 

Food options are very limited and disappointing although you are allowed to carry your own food inside. 

The park is closed on Mondays. More",Jan-19
Great place,sandipan99,,ui_bubble_rating bubble_40,28-Feb-19,"It is located in the Newtown area, which is well connected with public transport. It is a nice place for friends or family outing. A huge area of land covered with greenery makes it the best picnic spot. You can hire a cycle and take a tour of the whole park. It is affordable and worth a visit. The parking condition is very good and prices are reasonable.",Nov-18
Peaceful and Calm.,reubenranjanfern2017,"Noida, India",ui_bubble_rating bubble_40,27-Feb-19,This place is a tourist destination place. It is away from city. It is recommended by others that evening is the best time.,Feb-19
Goodtime.,akh_musafir,"Kashmir, India",ui_bubble_rating bubble_30,25-Feb-19,"away from city chaos, eco park is one of the main tourists attraction in kolkata. evening is the best time to visit.",Dec-18
That’s a really good park,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,25-Feb-19,Kolkata has many big parks and Eco park is the best of them I suppose. It is so big that one day falls short to see it all thoroughly. There’s a cafe in between the water inside the park. It’s look beautiful in the evening. Mother wax museum is in front of this park and that’s another great spot. Go with kids they will enjoy their time.,Feb-19
It is a new entry in Kolkata's must visit places,call_me_rajib,"Kolkata, India",ui_bubble_rating bubble_50,25-Feb-19,"This is a nice big park where you can spend a day with family or friends. If you have little children, they are going to love this place. There is a big water-body around which the park is built on. There are many parts of the park which are built on different themes. You can visit the 7 wonders of the world in miniature forms.",Dec-18
Eco Park of Kolkata,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_40,25-Feb-19,"Eco Park is located in the Rajarhat area of Kolkata. It is of the largest parks of Kolkata. Here couples and familys come the enjoy the beauty of the park. Here you will get to see 7 wonders of the world, Mother's Wax Museum etc.",Dec-18
Nature’s delight in the hustle of city,NileshKJha,"Kolkata, India",ui_bubble_rating bubble_40,23-Feb-19,"Eco park can be truly a nature’s delight in the growing city expansion in the Rajarhat area. Cheap entry ticket and you can enjoy strolling near a water body. Food at Yule Lounge is also nice. Different theme based gardens are also something to experience. The replica of wonders of the world are also worth visiting. Boating etc are not that cost effective. 
Preferable for Morning walk/runs",Jan-19
A must visit for Kolkatans as well as tourists.,tapasreegupta,"Kolkata, India",ui_bubble_rating bubble_50,21-Feb-19,"It matches the international standard.A good outing with kids, family & friends.So spaceous & full of interesting activities at affordable price.",Aug-18
Great place for outing,sadiaakthersony,"Dhaka City, Bangladesh",ui_bubble_rating bubble_50,16-Feb-19,"This is a great place for outing for couples, families or even friends.So many activities like cycling, boating etc are available. very beautiful restaurant called ekante is here. Its even more beautiful after sunset. Lighting is awesome.",Feb-19
Its time to take some rest,,,ui_bubble_rating bubble_50,15-Feb-19,"Insider... some clicks of eco parks objects. Its very beautiful and mind blowing... 
Good place for every one specially for children 

Thanks",Jan-19
In love with the place,,,ui_bubble_rating bubble_50,13-Feb-19,Literally it's a great place .... A comfortable family place and I'm in love with all the greenery and colors!,Jan-19
