title,username,location,rating,review_date,review_text,experience
CRICKET TIMES,mehtarakeshkumar56,"New Delhi, India",ui_bubble_rating bubble_50,8-Mar-19,"if you in kolkata , and if you miss eden garden then kolkata visit is incomplete . the stadium is very famous among the cricket lovers and the stadium has exhibit gallery which show case history of indian cricket.",Mar-19
Most amazing Stadium,Ankita_Dalvi,"Mumbai, India",ui_bubble_rating bubble_50,7-Mar-19,"visited here recently with family for a match. and it was such a great experience. 
must see at least one match in this historic stadium",Jan-19
Historic,akh_musafir,"Kashmir, India",ui_bubble_rating bubble_40,5-Mar-19,,
Mecca of Cricket,duchanchal,New Delhi,ui_bubble_rating bubble_50,5-Mar-19,,
Tourist spot,frektraveller,,ui_bubble_rating bubble_50,4-Mar-19,,
Nice quite place,ProsenjitD19,,ui_bubble_rating bubble_40,2-Mar-19,,
Fabulous ground,Penwyllt,Shrewsbury,ui_bubble_rating bubble_40,1-Mar-19,,
Cricket standium,niya27,,ui_bubble_rating bubble_30,27-Feb-19,,
The Mecca Of Cricket in India,chaudhuris1,"Kolkata, India",ui_bubble_rating bubble_50,25-Feb-19,,
The Mecca of Cricket!!,Padmini S,"Mumbai, India",ui_bubble_rating bubble_50,24-Feb-19,,
EDEN GARDENS - THE COLOSSIUM OF CRICKET,babunroychowdhury123,"Kolkata, India",ui_bubble_rating bubble_50,19-Feb-19,"Eden Gardens- one of the most grandest arenas in this part of the world,is one of a kind.So much prestige,so much passion,so much pride whenever the game of cricket is played here. One glance , and you know what is the significance of this stadium. this is one of the few stadiums to have witnessed the unfolding of history by hosting 3 ICC Cricket World Cups,1 WT20,2 women World Cup and a Women World T20. Being established in 1864 , it is one of the most historic and iconic stadiums not only in India but also in Asia. The final icing in the cake is provided by the beautiful park and garden just adjacent to the stadium.In all, the Gardens is a spectacle when it comes to fans and supporters of home as well as rival teams and is perhaps the only stadium of the world which engenders a feeling of compassion among the players inspiring them to achieve great success...a must visit for all... More",May-18
Cradle of Cricket,seeker_here,Delhi,ui_bubble_rating bubble_40,19-Feb-19,"The Eden Gardens is probably the most famous cricket stadium in India, maybe one of the most famous stadiums in the world. Watching a match here is a once in a lifetime experience.",Dec-18
Very famous Stadium,Jishnudeb,"Kolkata, India",ui_bubble_rating bubble_50,18-Feb-19,"Its state of the art and highly updated stadium organising international cricket tournaments, IPL and even hosted World Cup.",Aug-18
One and only international Cricket play ground in WB,tufanghosh,,ui_bubble_rating bubble_50,18-Feb-19,"Last year me with my friends went to Eden Garden to see the IPL match. It is a very beautiful playground. Eden Gardens is a cricket ground in Kolkata, established in 1864. It is the oldest cricket stadium in India. It is the home venue of the Bengal cricket team and the IPL franchise cricket team Kolkata Knight Riders, and is also a venue for Test, ODI and T20I matches of the India national cricket team.The stadium currently has a capacity of 68,000. It is currently the largest cricket stadium in India and Asia, as well as being second largest cricket stadium in the world after the Melbourne Cricket Ground by capacity. More",May-18
Great Experience,narennhalder,,ui_bubble_rating bubble_40,14-Feb-19,"IPL match Bangalore vs Kolkata, great match and everything else were ok. I was also there for West Indies vs Englan T20 final (WC)",Jul-18
Pride of Bengal,Poulomi S,,ui_bubble_rating bubble_40,13-Feb-19,"One of the iconic stadiums of Kolkata. Great place and if you can watch the match here, the crowd is crazy!",Apr-18
'Eden Gardens' the heaven of Cricket,KB1130,,ui_bubble_rating bubble_50,13-Feb-19,"Eden Gardens a cricket ground in Kolkata, West Bengal and the oldest cricket stadium in India was established in 1864. The Stadium is the headquarters of the Cricket Association of Bengal. It is the home venue of the Bengal cricket team and the IPL franchise cricket team Kolkata Knight Riders, and is also a venue for Test, ODI and T20I matches of the Indian national cricket team.The stadium currently has a capacity of 68,000 reducing from 94,000 for comfort and safety. It is currently the largest cricket stadium in India and Asia, as well as being second largest cricket stadium in the world after the Melbourne Cricket Ground by capacity. The stadium gets its name from the Eden Gardens, one of the oldest parks in Kolkata, adjacent to the stadium, designed in 1841 and named after the Eden sisters of Lord Auckland, the then Governor-General of India. Babu Rajchandra Das, the then zamindar(landlord) of Kolkata,had gifted his biggest garden besides river Hooghly, to Viceroy Lord Auckland Eden and his sister Emily Eden after they helped him by saving his 3rd daughter from a fatal disease. The first recorded Test at the venue was held in 1934 between England and India, its first One Day International in 1987 between India and Pakistan and its first T20 international in 2011 between India and England. The Hero Cup semi final featuring India and South Africa was the first Day/Night match. Eden Gardens stands... Eden Gardens a cricket ground in Kolkata, West Bengal and the oldest cricket stadium in India was established in 1864. The Stadium is the headquarters of the Cricket Association of Bengal. It is the home venue of the Bengal cricket team and the IPL franchise cricket team Kolkata Knight Riders, and is also a venue for Test, ODI and T20I matches of the Indian national cricket team.The stadium currently has a capacity of 68,000 reducing from 94,000 for comfort and safety. It is currently the largest cricket stadium in India and Asia, as well as being second largest cricket stadium in the world after the Melbourne Cricket Ground by capacity. 
The stadium gets its name from the Eden Gardens, one of the oldest parks in Kolkata, adjacent to the stadium, designed in 1841 and named after the Eden sisters of Lord Auckland, the then Governor-General of India. Babu Rajchandra Das, the then zamindar(landlord) of Kolkata,had gifted his biggest garden besides river Hooghly, to Viceroy Lord Auckland Eden and his sister Emily Eden after they helped him by saving his 3rd daughter from a fatal disease. 

The first recorded Test at the venue was held in 1934 between England and India, its first One Day International in 1987 between India and Pakistan and its first T20 international in 2011 between India and England. The Hero Cup semi final featuring India and South Africa was the first Day/Night match. 
Eden Gardens stands have been named after prominent local cricketers and soldiers. On January 22, 2017, 2 stands were named after Indian cricketers - Sourav Ganguly and Pankaj Roy while 2 more were after cricket administrators - BN Dutt (BCCI President 1988-1990) and Jagmohan Dalmiya (BCCI President 2001-04, 2013 - interim, 2015). Dalmiya served as ICC President from 1997 to 2000. 

4 stands were named after Indian soldiers Col. Neelakantan Jayachandran Nair, Havildar Hangpan Dada, Lieutenant Colonel Dhan Singh Thapa and Subedar Joginder Singh Sahnan. LC Thapa and Subedar Singh are Param Vir Chakra awardees - the highest wartime military decoration in India while Col Nair and Havildar Dada are Ashok Chakra - the highest peacetime military decoration. 
The Club House was named after Dr. B. C. Roy, the former Chief Minister of 
West Bengal, 
Not only Cricket, the Stadium also witnessed great football match In 1977, when New York Cosmos Club played a match against local team Mohun Bagan at the stadium. Pelé played in that match for the Cosmos. The match was drawn at 2-2. 
16 football fans died in a stampede after a derby league game between two famous local teams East Bengal and Mohun Bagan on 16 August 1980. 
In 1984 Nehru Cup held in Eden Gardens, Kolkata, where Indian national football team played against Argentina, Poland, China PR, Romania U-21 and Vasas Budapest. 

It is always very thrilling to remain witnessed a Cricket or Football match in Eden Gardens under floodlights. More",May-18
EDEN GARDENS,raj b,"Bharuch, India",ui_bubble_rating bubble_50,8-Feb-19,This is a great place to unwind from the busy city. It has a lovely green oasis to find some peace and the Kolkata Stadium towering above it is just magnificent.,Nov-18
a bets place,aditrav,,ui_bubble_rating bubble_50,7-Feb-19,during summer season i went to kolkata there i have gomne eden garaden to sseee match of kkr vs csk it was good view from the saet i see a ball gong out of stadim,Jul-18
The Mecca of Indian cricket,Angshool m,"Kolkata, India",ui_bubble_rating bubble_50,4-Feb-19,"Whether you want an electrifying T20 atmosphere in the evening or a laid back drowsy Test Match afternoon, Eden Gardens is your best bet in entire India.",Jul-18
Hello,bitturajk2019,"Sitamarhi, India",ui_bubble_rating bubble_50,24-Jan-19,Eden Garden Kolkata very famous stadium of the India here thousands of historical games had been played,Aug-18
Go if get a chance,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_40,24-Jan-19,This is one of the oldest stadiums. Food and beverage is very pricey than normal so advised to carry your own.,Jan-19
World Best Cricket stadium!,rishibhatt19,"Kolkata, India",ui_bubble_rating bubble_50,20-Jan-19,one of the best cricket ground in world.very big stadium.I love this place.Usually i use to go to watch ipl cricket match.Overall amazing.,Apr-18
Great Place,sudipta_heen123,"New Delhi, India",ui_bubble_rating bubble_50,18-Jan-19,This is one of the biggest cricket ground in the world. Visited few times to see cricket match. You can enjoy the full house during match.,Sep-18
International cricket stadium of kolkata.,BhaskarBanerjee007,"Barasat, India",ui_bubble_rating bubble_50,17-Jan-19,"The Eden gardens,the only international cricket stadium of bengal, provides the world class facilities for players and spectators",Jan-19
The Garden of Eden,amitava g,,ui_bubble_rating bubble_50,14-Jan-19,"One of the best cricket stadiums in the world. Just get a game ticket n go sit inside alongwith about 60 thousand passionate hearts cheering, screaming, dancing, singing, roaring, jumping and punching in the air for their country n team. Lush Green field, cool breeze and flood light - Oh just unexplainable atmosphere!",Apr-18
huge stadium,AYUB J,"Kolkata, India",ui_bubble_rating bubble_40,7-Jan-19,worth visiting when there is a match.mind blowin when it is full and when the crowd cheers.a must visit .,Feb-18
Hallowed ground,gastronaut_11,"Perth, United Kingdom",ui_bubble_rating bubble_40,31-Dec-18,"This is the ""Lords"" of Indian cricket. Magnificent stadium. Host to the final of the World Cup. Great viewing area.",Dec-18
The picturesque environs of Eden Gardens is reminiscent of English cricket grounds,Kalyan P,"Guwahati, India",ui_bubble_rating bubble_40,30-Dec-18,"The picturesque environs of Eden Gardens is reminiscent of English cricket grounds 30 years ago, blends marvelously with the mellow December sun that heralds a typical Calcutta winter morning. Not too long ago the pall of mist over the lazy Hooghly River had an ally in the swaying palms and towering poplars and pines which playfully hissed around with the breeze to create the gloomy haunt of swing and swerve.",Mar-18
Home of Cricket in Asia,GoPlaces31112922350,"Kolkata, India",ui_bubble_rating bubble_50,29-Dec-18,"One of the most prestigious and famous Cricket grounds in the world. Second highest in terms of capacity and First in teams of passion, energy and Enthusiasm in the crowd. 

People in Kolkata are crazy about its sports which of course just because of Eden.",May-18
simply the best stadium,adityainc,bhagalpur,ui_bubble_rating bubble_50,27-Dec-18,The stadium is so good with great views. I watch the IPL season here and just love it. The seats are quite spacious and the thrill is spectacular.,Apr-18
A place of dream for every cricket lovers,lalitabc123,,ui_bubble_rating bubble_50,27-Dec-18,Being a cricket lover it is always going to be a dream to visit Eden gardens. This time I visited this stadium and very nice maintained stadium.,Sep-18
Awesome place,Sanket P,,ui_bubble_rating bubble_50,25-Dec-18,It is really one of the great stadium for cricket. feeling proud to see and great location besides Howrah bridge.,Mar-18
Largest Cricket Stadium of India,AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_50,25-Dec-18,"With a capacity of over hundred thousand of cricket watchers , this stadium is one of the oldest cricket club and playground of India . Watching a match here is a thrilling experience with the spectators and of course if the match is a good contest . 
Amoak Rattan Kohli 
Former Governor of Mizoram",Dec-18
wow lovely place,Tejpatel42,,ui_bubble_rating bubble_50,13-Dec-18,Eden Garden this cricket stadium is India most famou stadium. This place looks and arrangement is nice.,May-18
"If Lord's is the Mecca of Cricket, this is Jerusalem",Moeinuk,"Kolkata, India",ui_bubble_rating bubble_50,12-Dec-18,"If you haven't played in Eden, you have never played cricket. That's the adage. Globally cricketers consider Eden Gardens to be the baptisation ground. It takes a lot of nerve to keep one's head steady in front of 1 lakh plus crowd baying for blood.",Jan-18
No 1 stadium of India,saurabhk982,,ui_bubble_rating bubble_40,7-Dec-18,"This stadium is one the most beautiful stadium of india. 
I recommand to visit this stadium during IPL especially when match is between KKR and other team.",Jan-18
