title,username,location,rating,review_date,review_text,experience
A paradise for shoppers...,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_50,8-Mar-19,"Gariahat Market is a huge place and one can find wonderful things if one knows where to go...for us tourists, it was a discovery to find good shops. We visited few shops like Deepali sarees, Shibani, Saha textiles..they were all good.. so do visit them if you wish to buy some sarees or bed covers. There is a lot of variety in these shops. There are lot of other things which one can buy from street shops and the deals are awesome..so go for it...",Feb-19
"Overcrowded , noisy , but fantastic !",drvelo,"Villar Perosa, Italy",ui_bubble_rating bubble_40,4-Mar-19,"I've been there some time ago , but it's an experience worth repeating , roaming around the stalls , where you can find anything you could think of , and more",Jan-19
I love shopping here,EnakshiC,"Navi Mumbai, India",ui_bubble_rating bubble_50,1-Mar-19,"This is street shopping and one of the best places to shop from in Kolkata. You get lots of junk jewellery, very good shops for buying sarees, bags and lots more. You name it, they have it. 
If you like street shopping, it’s a must visit place for you.",Nov-18
Market that exists in Multiple Time Eras Simultaneously,sumitkasera,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_30,11-Feb-19,"My very early childhood in late seventies and eighties was spent in a house very close to Gariahat. The place was famous for shops on both sides of the foot path including a market that existed right in the middle of the road. So when my nostalgic visit to Kolkata took me to the place about 30 years later, the place now existed in multiple time eras simultaneously. There were modern show rooms of Samsonite and VIP selling luggage worth 10,000 or 20,000 a piece. And when we brought some Bindi (decorative items for the women’s forehead) strips from a roadside shop that totalled about 700Rs, the man selling was jumping in joy – it was possibly his biggest single transaction sale till date. For us, it was getting stuff which was possibly 30-50% cheaper than ones found in Delhi. That was Gariahat market for you – a place that stood still –we saw blouse stitching centres as we had left about 30 years ago. Same old book shops selling second hand books in the world of Amazon prime – the Punjabi stores selling Pyjama & Kurtas – the road side tea stalls and plethora of knick knacks (e.g. buttons for kurta). So many things were untouched by time. The road side shops of Gariahat market had remained – but one market where I used to go to buy stationary had been subsumed by traffic and the Gariahat flyover had... My very early childhood in late seventies and eighties was spent in a house very close to Gariahat. The place was famous for shops on both sides of the foot path including a market that existed right in the middle of the road. So when my nostalgic visit to Kolkata took me to the place about 30 years later, the place now existed in multiple time eras simultaneously. There were modern show rooms of Samsonite and VIP selling luggage worth 10,000 or 20,000 a piece. And when we brought some Bindi (decorative items for the women’s forehead) strips from a roadside shop that totalled about 700Rs, the man selling was jumping in joy – it was possibly his biggest single transaction sale till date. For us, it was getting stuff which was possibly 30-50% cheaper than ones found in Delhi. 

That was Gariahat market for you – a place that stood still –we saw blouse stitching centres as we had left about 30 years ago. Same old book shops selling second hand books in the world of Amazon prime – the Punjabi stores selling Pyjama & Kurtas – the road side tea stalls and plethora of knick knacks (e.g. buttons for kurta). So many things were untouched by time. The road side shops of Gariahat market had remained – but one market where I used to go to buy stationary had been subsumed by traffic and the Gariahat flyover had been built after demolishing it. 

Then there was that customary puchka wala whose mashed potato filling along with red chana was far ahead of the chopped potatoes of Delhi – the first gulp of the puchkas of the Gariahat streets made the money spent in travel worth it. Then there was that Gughni – a local delicacy along with Aloo dum to Gulp. 

It was customary that money change was seldom available from shop keepers as they kept hunting for their bouni (first sale). The foot paths though fairly wide were largely encroached by the street shops. And the political regime did not allow any change in order. City dwellers with little ambition and aggression were possibly more content than their richer counterparts in Delhi and Mumbai. 

Go to Gariahat market for the eclectic collection of stuff – food, footwear, cosmetics & clothes– cheap and possibly useful – thrown amidst a tinge of high priced modern gadgets and consumables. More",Jan-19
Whatever you want,silva s,"Kolkata, India",ui_bubble_rating bubble_50,7-Feb-19,It's a regular flea market. Just go and shop anything that you want. This place is well known for being one of the most reasonable shopping places at kolkata.,Dec-18
Colorful and busy street market,Saurabh76,"Jorhat, India",ui_bubble_rating bubble_40,1-Feb-19,Gariahat Market is the place for you if u like roadside market. Famous for Sarees and if u can burgain well u will surely get the best deal. Numerous shops and food joints are available to make your evening colorful.,Jan-19
Terrible mess!,Gp Capt R K D,"Kolkata, India",ui_bubble_rating bubble_20,30-Jan-19,"The best place to buy sarees and authentic bengali dress wear. In addition there are hundreds of stores, shops to buy items of different category. The maintenance is poor. The walking space is so cramped. The area now looks ugly and gives a poor outlook",Jan-19
Rare collections,Aulularia,,ui_bubble_rating bubble_40,18-Jan-19,"Gariahat is a place that has already engraved a niche in our childhood memories since I was a kid in South Point..Gariahat Market hosts all types of Puja things starting from the bells to the cute little beds of Lord Krishna ...an object of utmost attraction since we wanted to make it our dolls bed. THE market also hosts lot of plants you can choose to make your home green...two shops ...downstairs cater to the students ....for project related work... which is of great significance to me now..... I can get anything needed for the project of my class 4 daughter for her CBSC curriculum and I heavily rely on the particular shop situated on the left just as you come down the stairs while entering the basement where most shops cater to the birthday needs of the children. There's a haven of things we need daily in our life like stainless steel utensils, non stick cookwares,,,stainless steel kitchen wares gas stoves....all at a very reasonable prize and of good brands. 
Besides should not forget to mention Bullygaunge New Market..... a particular shop that you encounter right ahead as you enter the place beautiful gowns for birthday girls...specially made as if imported ....from ...excellent quality fabric of international standard ..... that even surprised my aunt staying in America....and she was left wondering how such gowns are found here locally ... More",Dec-18
The hustle and bustle of the city,kamakshi2015,"Bengaluru, India",ui_bubble_rating bubble_50,17-Jan-19,This market gives you the ringside view of the authentic market place . The well known plac3 is the hub and Mecca for the shoppers . The crowds are enchanted by the sheer variety of the wares available here . Lots of bargaining needed . Mostly frequented but the tourists and the locals for the bargains and for the experience .,Jan-19
You will get 'most anything here,AniruddhaDeb,"Kolkata, India",ui_bubble_rating bubble_50,16-Jan-19,"A bustling market in the heart of the city, the market houses a myriad stalls, the open market is very good for grocery and fishmongers.",Jan-19
Good For Sarees,Ikramft,,ui_bubble_rating bubble_40,8-Jan-19,All sorts of good quality Sarees with good people are there. They will offer will fixed price for all sorts of quality of different variations of sarees.,Jan-19
Market for shopping in cheaper range,Saheli P,India,ui_bubble_rating bubble_40,5-Jan-19,"Gariahat Market is big, widespread and crowded road side market of kolkata. You can get fashionable clothes from the market in very cheap price. You can get almost every item from this market. You will get huge varieties of Junk Jewellery in Gariahat.",Jan-19
Shopping madness,jaighose69,"Pune, India",ui_bubble_rating bubble_40,4-Jan-19,"Gariahat crossroads is a shopper's delight, both for low budget and also branded shoppers! Almost all items of clothings, shoes, cosmetic jewellery and gold jewellery are available here. For the budget shoppers, shops and kiosks on the footpath offer a wide choice. And for those looking for branded stuff, shops like Adi Dhakeswari are value for money! However, remember to haggle with the shopkeepers and get a better price! Enjoy shopping at shopper's paradise!",Dec-18
