title,username,location,rating,review_date,review_text,experience
Old Monastery,TamalikaM2,,ui_bubble_rating bubble_30,14-Feb-19,"A visit to Darjeeling is incomplete without visiting the iconic Tiger Hills, Ghoom Monastery and Batasia Loop. Ghoom Monastery is one of the oldest monasteries in Darjeeling and is a peaceful place to visit. Lot of make-shift shops outside the gates, good for shopping winter clothes.",Sep-18
Popular monastery,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_40,6-Feb-19,I visited this as part of the sunrise tour to Tiger Hill. Naturally it was packed when i visited as everybody is doing the same thing. I would have preferred seeing it at a quieter time.,Oct-18
Ghoom monastery,prrateek,"Hyderabad, India",ui_bubble_rating bubble_30,24-Jan-19,"A small Buddhist monastery in ghoom , which is covered as tourist spot along with batasia loop, the monastery is clean and good but not much of seating space and space",Jan-19
A historical landmark,parveen_ahlu,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,19-Jan-19,"Sterling resort being next door to Ghoom monastory, we had walked across one day and spent some time here...nothing much to see except the building and the temple arena inside. Very peaceful and quiet.",Jan-19
Very peaceful!,ritudasgupta,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,16-Jan-19,"though located at a slight altitude, the climb is barely five minutes. Nestled in between quite a few commercial establishments, this still is extremely peaceful. Rotating the 1000 prayer wheels is in itself an experience!",Nov-18
Peaceful place,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,14-Jan-19,Photography is not allowed inside. But photos can be taken from the outer side of the monetary. I went there inside and prayed. There is a big statue of Buddha and one rotating instrument is kept there.move that object and sing the chanting rhymes. Good place to see.,Jan-19
Heritage Site,chickoo_T,"Kolkata, India",ui_bubble_rating bubble_40,31-Dec-18,Ghoom monastry is the oldest monastry in WB. Being there gives u a peaceful feeling. Good spot to have a quick view of the mountains & hills. You can find artistic things sold by the monks themselves. Must visit.,Dec-18
A very humbling experience,santanufromkolkata,,ui_bubble_rating bubble_50,15-Dec-18,"This monastery needs more and more visitors. It has all the usual monastery ingredients, plus a very soothing and calming effect on your mind, once you visit the inner room. You feel humbled. When you come out, you will feel different.",Oct-18
Wow peace,alpanaroyr,"New Delhi, India",ui_bubble_rating bubble_10,6-Dec-18,Finally went to minister it was nice experience for me at Darjeeling..... Lot's of good experience I m tacking back to my plas from Darjeeling,Dec-18
Amazing Experience,DeeD1064,"New Delhi, India",ui_bubble_rating bubble_50,5-Dec-18,View from monastery is beyond any words. Go for the evening prayer it’s so peaceful and amazing. I got the opportunity to sit through the prayer and it was outstanding. I’ll surely visit again.,Dec-18
So damn peaceful,,,ui_bubble_rating bubble_50,24-Nov-18,Ghoom Manas try is so damn peaceful. The entry is from the Hill cart road and leads downhill to Monastery. No photography allowed in Monastery. There have a small curio shop for souvenirs and a coffee refreshment shop very nearby,Nov-18
Ordinary but old,,,ui_bubble_rating bubble_30,6-Nov-18,A short visit for him monastery which is very old but very ordinary type but we loved this simplicity.,Oct-18
Standard monsatery,,,ui_bubble_rating bubble_30,5-Nov-18,Nothing extraordinary..standard monastery..it's far from centre of Darjeeling and close to ghoom station..it's about 8 kns from centre.one can skip this if pressed for time.,Nov-18
