title,username,location,rating,review_date,review_text,experience
Teaaaa,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_50,6-Feb-19,"There was no way I was going to visit Darjeeling and not visit a tea plantation. There is a bunch of them but this is by far the most centrally located. It's a comfortable 20-30 minute from Darjeeling. They do tours once an hour depending on numbers. The tour guide was fine although basically stuck to her script but I did learn some of the vines they use are there over a century! At the end naturally there is tasting and you can buy some tea if you like it 
They allow you to walk around the grounds which makes for some nice pictures. All of this for 100 rupees. More",Oct-18
A Good Experience,akash1209,"Mumbai, India",ui_bubble_rating bubble_40,28-Jan-19,"A near by place to visit when you are in Darjeeling. 
It included a guided tour and Tea Tasting as well. 
We purchased a variety of tea from here. 
It was a decent experience. More",Dec-18
Happy valley tea,Mobile574272,,ui_bubble_rating bubble_50,24-Jan-19,"We were a party of 7 ages ranging from 28-62,before we started the tour we wanted to sample some of the tea.We all chose different teas and had a wonderful time tasting and commenting on the tea. 
Then we had the tour,very interesting,learnt about 1st flush,2nd flush,green tea,white tea 
Bought some lovely souvenirs,tea mugs,placemats and of course tea 
Well worth the visit More",Jan-19
a beautiful and reachable place but not well maintained,Swatiib,"Dehradun, India",ui_bubble_rating bubble_40,21-Jan-19,This is not too far from the main city. A beautiful tea estate but still not maintained and the tea sold here is expensive. Going down the tea estate is easy but coming back is very tough More,Jan-19
A trip into the world of tea,parveen_ahlu,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,19-Jan-19,"While the estate is well spread out and we enjoyed the factory visit too, the highlight for us was the walk from the main road right down to the factory....zig zagging and curving thru the tea slopes. Makes for a very pretty picture. More",Jan-19
Avarage one site,Atandra P,Kolkata,ui_bubble_rating bubble_30,14-Jan-19,It is a average one site. Once you visit to darjeeing through Mirrik Road and have already enjoy the beuty in sorroundings with lots of tea gardens and Pine Trees it is nothing in comparison to that. More,Jan-19
It’s beautiful to see,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,10-Jan-19,"This place is huge and you can take good pictures there. Don’t forget to taste the Varieties of tea they have to offer. If you think it’s worth tasting then you can buy also , don’t forget to bargain. More",Jan-19
Good tour of tea factory,evillaci,"Washington DC, District of Columbia",ui_bubble_rating bubble_40,6-Jan-19,"Happy Valley tea estate provides a quick tour of the facilities, which includes a guided visit to the processing plant, with explanation by an English speaking guide. The different steps of the tea processing is explained and the tour ends with a disappointing tea tasting that consists of a spoonful of 4 types of tea. You also have time to walk through the plantations and look at the people who work and live in the fields. More",Oct-18
Meh! All they want is to sell costly tea,sareenrishi,"New Delhi, India",ui_bubble_rating bubble_20,5-Jan-19,Happy Valley Tea Estate is highly advertised - as soon as you reach bagdogra airport you see the banners. But not much to see. Their main focus is to sell you overpriced tea. An experience that could have been avoided. More,Dec-18
A unique experience of tea plantation knowhow and tea-tasting,santanufromkolkata,,ui_bubble_rating bubble_50,15-Dec-18,"This is a very pleasant experience. You get to know the tea plants, type of tea leaves, tea-plucking, types of tea, production of packaged tea, and tasting of different types of tea, all in the same place, by a company appointed guide, against a small fee of Rs.100 per head. You even get to buy their export-oriented class of tea. More",Oct-18
