title,username,location,rating,review_date,review_text,experience
One time but worth watching,Parkhad_Amit,Kansas,ui_bubble_rating bubble_50,27-Feb-19,"Visiting dargelling this is part of local sightseeing 
One time watch but worth watching. Gives a lot of details about mountaineering and about the people of the past and lot of old stuff used in mountain climbers expeditions. 

Should visit",Feb-19
Must see place in Darjeeling!,Ashoke S,"Singapore, Singapore",ui_bubble_rating bubble_50,24-Feb-19,"This is a must see place in Darjeeling. The Institute is an absolute treasure trove of information, historical archives, great stories and anecdotes, and some amazing photos and videos about mountaineering. You can spend hours going through the artefacts and information on display. Don't rush - keep sufficient time and absorb all that it has to offer. 

The Institute can do much better in terms of show casing it to visitors and making it more tourist friendly. There are some walkway that lead to great views but are closed to public.",Dec-18
Not to miss,Ketan P,,ui_bubble_rating bubble_50,22-Feb-19,This is one the best places in Darjeeling and should not be missed even if you are not into rock-climbing or mountaineering !!,Feb-19
Interesting displays,Sabi2011,"Perth, Australia",ui_bubble_rating bubble_50,18-Feb-19,"The only negative was that photography was not allowed. 
Lots of information and displays about Everest expeditions",Feb-19
Nice,debashreen2018,,ui_bubble_rating bubble_30,17-Feb-19,The institute is located inside the zoo itself. Tickets are given in combo for both zoo & HMI for RS 60/ head. Nice overall experience.,Feb-19
History,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_50,6-Feb-19,I really enjoyed reading the history and seeing some of the artifacts from some of the most famous climbs in history. It is crazy seeing how primitive some of the equipment was and yet they climbed Everest with it. I knew I was going to do the Everest base Camp hike a month later so everything was fascinating to me. If you any interest in climbing or the old school explorers it's a must visit.,Oct-18
HMI is a good source for trekking related information.,Debu78,"Asansol, West Bengal, India",ui_bubble_rating bubble_40,5-Feb-19,"We visited this place and found to be much informative.We came across the various tools and techniques used for trekking. I would suggest all, especially the young children to visit it atleast once.",Dec-18
Oh what a great place to know India's mountaineering history,Milind P,"Pune, India",ui_bubble_rating bubble_50,4-Feb-19,"A must visit in Darjeeling. Great information, pictures, displays about the Indian mountaineering history. The section devoted to Everest is hair raising",Jan-19
Anything about mountaineering,Mperor,"Bengaluru, India",ui_bubble_rating bubble_50,1-Feb-19,"This is a must in the itinerary. A real informative display of materials and photographs which inspires the tourist. Most important, do not miss the film show. Watching the film show is an experience of almost yourself trekking the Himalayas and the great Mount Everest.",Dec-18
Must Visit,drkakkar,"Chandigarh, India",ui_bubble_rating bubble_50,29-Jan-19,"The zoo and the mountaineering institute are located in one campus, hence a must visit with kids. 
They have a movie show on the training part for approx 15mins. They close by 4 pm, plan accordingly.",Jan-19
Inspiring Experience,,,ui_bubble_rating bubble_50,28-Jan-19,"If you are fascinated by the majestic mountains, you must visit this place. 

It has a nice Museum and the short film on the Everest Expedition led by the Institute’s team was very inspiring.",Dec-18
Disneyland for Mountain lovers,,,ui_bubble_rating bubble_40,28-Jan-19,A great place to be if you are into trekking or fascinated by the mighty mountains. It is situated near the zoo and the entrance is free (you need to buy the ticket for the zoo). It contains numerous artifacts related to the different mountain ranges across the world. There is a collection of trekking gears which has been used in past for various climbs. The museum also has a dedicated floor for Mount Everest. Unfortunately you are not allowed to click pictures.,Jan-19
Must visit,,,ui_bubble_rating bubble_50,22-Jan-19,This is a must visit place even if you are not into mountaineering. The museum is well maintained and is a treat to see all the information and the old pictures and articles used by the legendary climbers in the past.,Jan-19
The very beginning of mountaineering,,,ui_bubble_rating bubble_40,22-Jan-19,"The school of mountaineering, setup by PDT . Nehru and mt Everest legend tenzing to showcase and train the keen goers into the Himalayas. Closed on Thursday , plan accordingly",Jan-19
Wonderful place to know how our Indian Army's Dedication,,,ui_bubble_rating bubble_40,16-Jan-19,"This Mountainering Institute not only has the Training and development for enthusiasts who want to learn Trekking, but also has the Culture and Heritage museum and a Wonderful zoo.",Jan-19
Good place for kids,,,ui_bubble_rating bubble_40,11-Jan-19,"This place is good as you get to see three points together. One the is zoo and other one is bengal natural museum. HMI has things like gloves and jackets, shoes and other things which were used by mountaineers to climb. You will also see relics of animals founded from the mountains. They are well protected and maintained. One can also get the climbing experience as there is an artificial climbing wall made .",Jan-19
One of the best places to learn about Mountaineering,,,ui_bubble_rating bubble_50,9-Jan-19,"Loved the movie that they show here, and also the museum is so amazing. You get to know so much about the history and learn about the Himalayas.",Dec-18
Prime institute for mountaineering,,,ui_bubble_rating bubble_40,5-Jan-19,Established in 1954 under the hands of then prime minister of india Jawaharlal Nehru has been contributing in sports activities - Mountaineering through scientific methods teaching sports and adventures to all interested. Tenzing Norgay and Edmand Hillary were the first to reach Mt.Everest followed thereafter by many. Navang a researcher and scholar leaded the team two times to Everest and a bust at the entrance of HMI is installed at the entrance after his demise in Himalayan trek also zoo at the entrance is very interesting,Dec-18
Mrs,,,ui_bubble_rating bubble_40,3-Jan-19,"Very good, plenty of information, film show, museum, good personal facility, 
Climbing wall for children and adults, mountaineering school.",Dec-18
Interesting,,,ui_bubble_rating bubble_50,2-Jan-19,Interesting overview about mountaineering in the Himalayas. As it part of the zoo it is really worth the visit while you are there.,Jan-19
A moutaineering institution,,,ui_bubble_rating bubble_50,30-Dec-18,"Both my husband and I enjoy the history of mountaineering and also visiting these regions. It is also a tribute to these gutsy people who undertake these pastimes, especially Tenzing Norgay.",Oct-18
Himalayan Mountaineering Institute experienced for Mt. Everest,,,ui_bubble_rating bubble_40,23-Dec-18,"It's a unique place for earning experience about climbing Mt. Everest, Nepal. I went there 3 times previously. Someone looked up inside the museum when Hillary and Tenzing was successfully climbing Mt. Everest in May 1953. Very inserting matter happened at that time. They have been used their hand gloves, ice axes, climbing dress and other climbing gears and many more stuffs having showed in H.M.I., which is lies in Darjeeling town aside Mel Market. In my best of knowledge HMI is a very interesting place (institute/museum) in this region ( south east Asia).",Mar-18
the history of mountaineering,,,ui_bubble_rating bubble_50,18-Dec-18,Fascinating insight into all the great mountaineering expeditions and the equipment that was used . An eye opener into the bravery of the climbers. Also we saw Tensing Norgay's tomb.,Oct-18
Good place,,,ui_bubble_rating bubble_50,16-Dec-18,Good for adventure freaks..... Normal for people who come to visit Darjeeling.... Can see museum.... Hall of Fame who conquered mount Everest,Dec-18
"For those who love the mountains, the museum is awe-inspiring romance",,,ui_bubble_rating bubble_50,1-Dec-18,"Sure to get goosebumps when you go through the museum. Stories of heroes, actual gear used by legendary mountaineers on their quests of Everest. HMI also conducts training sessions for amateurs and professionals, so if you are interested in cutting your teeth in the art of clambering up steep slopes and crossing ravines, this is one place you wouldn't wanna miss.",Nov-18
A must visit place of Darjeeling,,,ui_bubble_rating bubble_50,30-Nov-18,This cannot be missed out !!!! It takes u back to all the adventurous journeys done in Himalayas. The museum is mesmerizing. Loved all the historic details and belongings of various trekkers including our very own Sherpa Tenzing!!!,Nov-18
Interesting display,,,ui_bubble_rating bubble_50,22-Nov-18,Great exhibition and insight into the history of mountaineering. Those pioneers were very determined!,Oct-18
All about great mountains on earth,,,ui_bubble_rating bubble_50,18-Nov-18,A must visit place when you are in darjeeling. Many rare items photos equipments used by famous climbers kept here. Rich information about climbing several mountains including everest. A seperate section on Mt. Everest on the first floor of museum in very interesting.,Nov-18
A must visit,,,ui_bubble_rating bubble_50,14-Nov-18,"This forms the part of seven point local tour package. There is a lot of things to see inside. There is an entry ticket which is reasonably priced. There is a museum where all the history related to Everest and all others mountain ranges of Himalayas are present. All the original gears and dress used by great Mountaineers while climbing Mt Everest are also there. The museum is beautiful and very knowledgeable. 
For the zoo, the famous is Red Panda which ine should not miss.",Nov-18
Fantastic place,,,ui_bubble_rating bubble_50,5-Nov-18,"Lot of information about mountaineering..one gets to know a lot..musuem is worth a visit..especially loved the mount every part on the first floor.. 

There's small area where one can try climbing the rocks....with nominal fee of 30/- INR.. 

There's show at 10 , 11 am and so on on mountaineering. .we missed it though..",Nov-18
A very historic institution.,,,ui_bubble_rating bubble_50,31-Oct-18,"A beautifully planned and located place. One must see the museum inside which has historic photos, newspaper reports and mountaineering equipment actually used in various expeditions.",Oct-18
A glimpse into the conquest of height,,,ui_bubble_rating bubble_40,31-Oct-18,It is interesting and at a scenic vantage point - a must see in Darjeeling. It is the next stop after the zoo and rather fascinating,Oct-18
One of the best mountaineering institutes in the world,,,ui_bubble_rating bubble_50,18-Oct-18,"Located in the hill station of Darjeeling, Himalayan Mountaineering Institute is recognized as one of the best mountaineering institutes in the world. It was established on 4th November 1954. The primary purpose of this initiative was to encourage, enhance and support the interest of the people in the sport of mountaineering; to channel the abundant energy of the youth into a productive and self-awarding sport. Aspiring mountaineers from all over the world come to this institute to develop their skills. Besides being one of the best mountaineering institutes in the world, the Himalayan Mountaineering Institute has become a significant tourist attraction on account of its picturesque setting in the hill station of Darjeeling. The magnificent view of the 8586-meter high peak of Kanchenjunga, the third highest peak in the world, from this institute is genuinely mesmerizing. More",Aug-18
The HMI and zoo are well worth a visit.,,,ui_bubble_rating bubble_50,13-Oct-18,"If you travel to Darjeeling I highly recommend a visit to the Himalayan Mountaineering Institute and Zoo. The information about the numerous attempts at mountains in the Himalayas and the equipment on display is well organised and thorough. The zoo within the same complex, is well laid out and has a wide range of animals on display. Highly recommended in Darjeeling.",Oct-18
Fascinating ...!!,,,ui_bubble_rating bubble_50,13-Oct-18,If you have any interest in the conquest of Mt Everest then this is the place to go. An excellent exhibition with loads of photos and artifacts to look at.,Oct-18
Great collection,,,ui_bubble_rating bubble_50,13-Oct-18,"It's a must watch if you are visiting Darjeeling. One get to know what it takes to concur the highest peaks of Himalayas. They have great collection of original stuff used by Tenzimg Norgay, Edmund Hillary and others. They have original news paper cuttings for 1940s when something relevant was published. You get to see the type of equipment used by mountaineers to survive in such a hostile environment. They also have some animals replica found only in Himalyas. Overall a great and unique learning experience.",Oct-18
