title,username,location,rating,review_date,review_text,experience
A nice view plus ride,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_50,8-Mar-19,"We saw Howrah bridge during the sunset and later when it gets lit up at night.. We took a ferry from Millenium Park to Howrah and it was a good ferry ride for fun..we came back in the same ferry. The ride costs 12/- per person and it was about 10 minutes ride. The people were very friendly and helped with their local information to go around kolkata. 

Loved the ferry ride in Howrah",Feb-19
Ok,vedhika554,"Ahmedabad, India",ui_bubble_rating bubble_30,8-Mar-19,Nice long bridge....but too much crowd. Poor in cleanliness. Need more maintenance... I had a long walk,Jan-19
Tourist spot,frektraveller,,ui_bubble_rating bubble_40,4-Mar-19,A very famous bridge in India. Best time is in evening. You can see a very beautiful scenery from here.,Mar-19
Real experience,294nellys,"Kolkata, India",ui_bubble_rating bubble_40,4-Mar-19,Backpackers! You will love it and the market beneath.. crowded so be careful.. you have to make a visit.,Mar-19
One of a kind bridge,Zinia F,,ui_bubble_rating bubble_40,2-Mar-19,"Walked across this bridge on foot and that is the best way to experience this marvel of an architecture. 
Plus watching people getting on with their daily lives is a cherry on top.",Feb-19
A vey famous spot in Kolkata,aastha_pro,,ui_bubble_rating bubble_40,2-Mar-19,This is a very famous spot in Kolkata.It is situated on the river Ganges. One can have a very nice view of the city from the bridge,May-18
A mass of activity,Penwyllt,Shrewsbury,ui_bubble_rating bubble_40,1-Mar-19,"This immense construction straddles the filthy Hooghly river and always seems to be busy, we visited by walking through the morning flower market close to the bridge",Feb-19
Pride of calcutta!,shovanosneha,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,27-Feb-19,"Being born and brought up in kolkata, howrah bridge is very common to us. But its really one of the best structural milestones of India. I would recommend to walk on the pedestrian footpath of the bridge for best experience.",Oct-18
Nice View.,reubenranjanfern2017,"Noida, India",ui_bubble_rating bubble_40,27-Feb-19,A really nice enthralling view of river Hoogly. This bridge connects Kolkata and Howrah and is a very old bridge.,Feb-19
A bridge,niya27,,ui_bubble_rating bubble_30,27-Feb-19,It is a bridge on a river. Howrah railway station is near to this place. Not a tourist place. I have seen this bridge while going to Howrah railway station.,Feb-19
Very busy bridge between two cities,call_me_rajib,"Kolkata, India",ui_bubble_rating bubble_40,25-Feb-19,"If you are coming to Kolkata by railway from other parts of the country, maximum chances you are coming to Howrah Junction station. To enter Kolkata from Howrah Station, you are probably coming through Howrah Bridge. It is a heritage bridge, looks nice, and still serving as backbone of the transportation system in the region. To visit this bridge you should walk on the bridge.",Mar-18
The longest span bridge at one point of time.,chaudhuris1,"Kolkata, India",ui_bubble_rating bubble_50,25-Feb-19,A must visit during a trip to Kolkata.This bridge over the Hooghly river connecting Kolkata and Howrah.This is perhaps a bridge which is always busy.The lifeline of Kolkata till the Vidyasagar Setu came along.,Jan-19
Connecting two cities,himalayan_bantoo,"Mumbai, India",ui_bubble_rating bubble_40,20-Feb-19,"This is India's biggest cantilever bridge and was built in the 19th century. This bridge connects two cities, Kolkata and Howrah and is built over that river Ganga. Beautiful blue LED lights makes this bridge look divine at night.",Nov-18
Engineering Marvel,seeker_here,Delhi,ui_bubble_rating bubble_40,19-Feb-19,"The Howrah Bridge is an engineering marvel. It is a must visit when you are in Kolkata, especially in the evening time.",Nov-18
Nice evening hangout,saada530,,ui_bubble_rating bubble_30,19-Feb-19,You can have a nice evening hangout on the classic howra bridge. You can take a taxi and roam towards the bridge. But you cannot stop the taxi. You can take a long walk towards the bridge. There is a side walkway.,Feb-19
Marvelous Engineering,BBSVoyagers,"Kolkata, India",ui_bubble_rating bubble_50,19-Feb-19,"Everyone must see this Howrah Bridge for it's engineering as ""Hanging Bridge"". This Bridge also one of the visiting place of Kolkata.",Feb-19
It's a wonderful Architecture,Nasrin S,"Dhaka City, Bangladesh",ui_bubble_rating bubble_10,18-Feb-19,Howrah Bridge was amazing. After watching this bridge I was wondered how they built it. Anyone can also enjoy the river cruise.,Jan-19
New Year Trip,tufanghosh,,ui_bubble_rating bubble_50,18-Feb-19,"Howrah Bridge is one of the most beautiful thing. I never saw that type of bridge anywhere. It is in west bengal. I like this hanging bridge. The hooghly river was seen so much beautiful from this bridge. The bridge is the connection part of howrah and the capital of the west bengal that is Kolkata - 'the city of joy'. There are many visitable places. If any want to visit the total beauty of howrah and kolkata, he or she must stay there minimum 7 days.",Jan-19
Engineering marvel,Christy_Steeve,"Bengaluru, India",ui_bubble_rating bubble_50,17-Feb-19,A great engineering marvel across hoogly river. A must visit bridge. This bridge is much bigger and beautiful than London bridge.,Feb-19
Well it’s a bridge,W0lf1e,"Montreal, Canada",ui_bubble_rating bubble_40,17-Feb-19,"Beautiful bridge and I think it deserves a look during night. But eh, it’s still a bridge like you’ll find in every city. Don’t make a detour for that.",Feb-19
Excellent example of mid 20th century engineering,99JohnEagle,"Stanley, United Kingdom",ui_bubble_rating bubble_40,17-Feb-19,"If you're in Kolkata, go and see it, because it is a marvellous example of British/,Indian engineering of the 1940s.",Feb-19
Well worth a visit,Cantfind,Howard,ui_bubble_rating bubble_40,17-Feb-19,"Traffic is horrendous getting there but well worth it in the end. A fascinating place to see particularly for those who have seen the movie ""Lion""",Jan-19
