title,username,location,rating,review_date,review_text,experience
A good visit,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_40,8-Mar-19,"For ppl who love museums, Indian museum is awesome...some collections are full of dust and some collections actually smell but they have a lot of treasures. From fossils to Buddhist exhibits to ancient coins and archaeological finds, its a treasure trove if one keeps going.. At present, they also have an Egyptian mummy on display.. 

loved the collection...",Feb-19
Journey back to history,Ayan S,,ui_bubble_rating bubble_40,6-Mar-19,"A treasure trove for the history buff, wide variety of exhibits and galleries of different interests. Fantastic building with a lush green well maintained lawn inside. So many valuable artefacts and fossils takes one back to the olden days. Tickets priced 50 rupees for Indian adults as well as mobile phones...(hiked from 1st March, 2019)",Feb-19
Tourist place,frektraveller,,ui_bubble_rating bubble_50,4-Mar-19,Good place to visit. The maintaince made by government is very good and the entry fee is very reasonable,Mar-19
Ome of the best museums to visit,hareesha1,,ui_bubble_rating bubble_50,3-Mar-19,"The museum is a great repository of artifacts and various historically invaluanle pieces like old coins , fossils , paintings etc. Do allocate at least 4 hours if you want to cover the exhibits in detail. It is a great place to kindle your and your children's interest in various fields of science .",Mar-19
A Mind blowing Experience!!,JharnaS10,"Mumbai, India",ui_bubble_rating bubble_50,28-Feb-19,"The Indian Museum is the oldest and the largest in India.It is a treasure house and has a huge collection of paintings, skeletons, ornaments.weapons, Egyptian mummies and more.One day isn't enough to do full justice to it!!",Oct-18
Average,Vainamo,Finland,ui_bubble_rating bubble_30,13-Feb-19,"Animals are probably the best part, otherwise the collections are either very minimal (e.g. Egypt room) or then totally huge and meaningless unless you are some super enthusiast of that discipline (e.g. the stone collections with hundreds of similar boring rock collections). Also the building is badly outdated (as the entire city...). So do not expect anything like the Brittish museum or any other big western national museum. Not a bad idea to spend a couple of hours, but do not expect too much.",Dec-18
a great place and must for all children to visit,pawank526,,ui_bubble_rating bubble_50,13-Feb-19,"this place has recently been renovated and is a must visit for every science lover , every school stident, specially for those with interest in science.",Jan-19
Hard to compare by world standards,Foxyausy,"Sydney, Australia",ui_bubble_rating bubble_20,13-Feb-19,"We we advised the highlights where the Egyptian section.. done Cairo so totally disappointed by one mummy. 

Good section of animals. limited section on Colonial era.",Dec-18
Great source of information,Natalie1204,"Kolkata, India",ui_bubble_rating bubble_50,10-Feb-19,"It’s a must visit in kolkata. The biggest museum in the country, boasts quite a wide range of artefacts dating back to the dinosaur era. Yes there’s a real mummy there too which is one of the favourite attractions among the kids. 

Have often been in the day but during my last visit, I saw it in the evening as I was invited to an event and it was quite stunning",Feb-19
Beautiful Ancient Indian Art,NikaJunie,"Jersey City, New Jersey",ui_bubble_rating bubble_40,7-Feb-19,"The Indian Museum occupies an indifferently maintained, but beautiful, heritage building on a vibrant street of sidewalk peddlers and small shops. We arrived early in the morning while one of the cleaners was removing the pigeon droppings that accumulated over the course of the previous day as birds fly in and out of the galleries. This gives the place a tolerant, Buddhist vib. It was founded in 1814, the first general museum in India, Asia, and the Pacific rim. It houses some wonderful works of art including Jain, Buddhist, and Hindu stone sculpture and Indo-Persian miniature paintings beautifully conserved and framed. There is an excellent, large coin collection presented with almost no context. Display is very old-fashioned and signage (in Bengali, Hindi, and English) is minimal. We skipped the natural history displays. Expect some galleries to be closed. Admission is charged (higher for foreigners than for Indians). For a virtual tour, see the museum’s website. More",Feb-19
Asia's biggest museum of natural history,tridibrc,,ui_bubble_rating bubble_50,31-Jan-19,"The best ever museum in asia 
Has any section that you name 
Has genuine mummy from Egypt 
Has many stone age animal fossils",Oct-18
Indian Museum,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_50,29-Jan-19,Indian Museum is one of the oldest Museum of India. Here entry ticket for Indians are Rs. 20 and for foreigners it is Rs. 500. People trying to visit this place can get down at Park Street metro station. Here many important historical items are found to be seen.,Dec-18
A must go place,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,24-Jan-19,This museum is huge. A lot of things to see. You will run short with time but things won’t last to see. Very unique and very beautiful.,Jan-19
Best Musuem in the world,RajeevSingh_Ind,"New Delhi, India",ui_bubble_rating bubble_50,24-Jan-19,"I have not seen such a complete musuem ever. This is a huge one comprising of two buildings. It has everything. 

Yes it a must to see this",Feb-18
Nice place to learn but revamping is required,ChandanK728,"Kolkata, India",ui_bubble_rating bubble_40,21-Jan-19,"I was amazed to see the collection of fossil and many more arctitectural artifacts in the museum. However, certainly the museum need complete revamping. I have visited Chicago museum and seen the how they are taking care of things and organising various themes, movies and other function to make it more and more attractive and a learning place 
Hope govt will pay attention to this heritage.",Jun-18
The landmark Museum of the city !,kamakshi2015,"Bengaluru, India",ui_bubble_rating bubble_50,17-Jan-19,The museum offers you the splendid experience of viewing some of the rare pieces of the historical importance the the artifacts displayed stunning . The different section on each floor contain the treasure trove of the history . The four stories high building itself is imposing reminding the bygone era . There is an entrance fee which is nominal . The vast courtyard in the middle of the museum is green sprawling grass - on any sunny day in winter it is a treat to be here . Most spendid place to visit and f you are ever in Kolkata .,Jan-19
The Museum of Kolkata,tuhinnnnn,"Dhaka City, Bangladesh",ui_bubble_rating bubble_40,14-Jan-19,"Situated in New Market area and very much connected with public transportation. 
The building hint you the European history and inside the building lash green field will attract you. 
Must visit place for first time travellers.",Oct-18
Indian Museum,PinakiBrata,"Kolkata, India",ui_bubble_rating bubble_50,13-Jan-19,"The famous museum in Kolkata, Whenever planning to visit Kolkata must to visit Indian museum. Most historical, biological, cultural story you can find..",Apr-18
"Fantastic collection of historical artifacts,paintings and reservoirs of Knowledge",AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_50,5-Jan-19,"You need many days visit to know this treasure of historical wealth. We spent a few hours and we were amazed by the collection. A must visit place for any tourist,researcher,historians, students and teachers. We can learn and gain a lot. We have to come back again and again to do justice to this attraction and ourselves. 
Amolak Rattan Kohli 
Former governor of Mizoram",Jan-19
history revisited,Tibet T,"Kolkata, India",ui_bubble_rating bubble_50,29-Dec-18,a very good collection of artifacts. you would gather a good knowledge about the past through your visit to the museum.,Dec-18
worth a stop,Neil R,Mumbai,ui_bubble_rating bubble_30,27-Dec-18,busloads of people and the place is littered but the exhibits are good and informative. the animals secion could use some love. some of the stuffed animals look positively hillarious,Dec-18
Educative,SandeepM1280,"Kolkata, India",ui_bubble_rating bubble_50,21-Dec-18,You want to take children aged 10-15 this is the place. It is a bit different than the usual placed we take children. It's educative yet fun. Dwelve into history and see artifacts. There is a huge open Green space where you can enjoy.,Jan-18
Worth to visit,476neerajm,"Bhubaneswar, India",ui_bubble_rating bubble_20,17-Dec-18,This museum has got some of the most fabulous items. We didn't like the archaeological things but rest of the historical objects were definitely worth to visit. We stayed about 2 hours and noticed that museum isn't maintained very well but collection is priceless. Good place to be and can't be skipped.,Nov-18
Oasis of calm and history,KTS_trip,UK,ui_bubble_rating bubble_40,11-Dec-18,"the way items are displayed is simple. Some more information on some exhibits would have been useful. That said it's lovely to get a feel for some of the history of India away from the buildings and temples, The arches around the green open space provide some cool and shade. 
Not overwhelmed by people it's easy to lose a few hours here just meandering around the different galleries. It helps put Kolkata and India's history into perspective from the old bones/fossils/trees to the coinage.",Nov-18
Indian museum :- some tips,sudeeppandey,"Kanpur, India",ui_bubble_rating bubble_50,11-Dec-18,"Few important tips to visit 
1. You can put your luggage under the security if it is not too big at specific location adjacent to entrance. They kept my back pack and a trolley bag with out any cost. 
2. Make sure that you have taken your breakfast or lunch as food items are not allowed inside and there exist a staff canteen which provides you simple meal , no chips no biscuit etc. 

3. One time visit is must and worth . 

4. Certain sections can be very entertaining to kids. 

5. The new market is adjacent to it so after museum visit you can go for shopping.",Dec-18
Good but a bit outdated,matthewpark0702,"Seongnam, South Korea",ui_bubble_rating bubble_40,10-Dec-18,"Renovation required. 
Entrance fee for foreigners is Rs.500. 
Mostly not crowded even in weekend. 
It is located near the downtown, you may pass all the old backstreets on your way.",Dec-18
"An exceptional museum, hard to absorb in a single visit.",ggm96822,"Honolulu, Hawaii",ui_bubble_rating bubble_50,9-Dec-18,"Absolutely remarkable. 
Address: 27, Jawaharlal Nehru Road, Park Street, Kolkata. 
Founded in 1814. Every single gallery is amazing. My personal favorites were the Bharhut remains of a 2000 year old stupa railing; the Gandhara sculptures, Archaeology, the botanical collection (begun in 1901 with over 15,000 specimens from the Botanical Survey of India on display), the mask collection, coins, and geology, but that is only half of it. Worth staying an extra day in Kolkata, not to be missed.",Nov-18
Interesting place,Abanerjee26011989,"Kuala Lumpur, Malaysia",ui_bubble_rating bubble_50,2-Dec-18,I absolutely loved this place. I am a history buff in general and I was amazed by their collections ranging from fossils to old coins. I will definitely recommend this place if you are staying or visiting Kolkata.,Dec-18
A Walk Through the Pre-history,doibedouin,"Howrah, India",ui_bubble_rating bubble_50,24-Nov-18,"Hopping through a museum is like figuratively going back in time and visiting the prehistoric era. It is like moving in reverse, to the Palaeolithic eons, to human discovering fire, however with the same innate inquisitiveness and thrill. The reminiscence of visiting a new place is always relishing and when it comes to visiting a museum, the dormant primal strings of our genes unprecedentedly gets stimulated.",Aug-18
What a good show !,Ian G,"Durham, United Kingdom",ui_bubble_rating bubble_40,21-Nov-18,"Liked everything about this museum, presentation was excellent and such a variety on show although the taxidermy needed looking at in the large mammal section",Nov-18
The largest and oldest museum of India,RBan26,"Bengaluru, India",ui_bubble_rating bubble_50,20-Nov-18,"This is the largest and oldest museum of India. During Kolkata tour, it is a must visit. The ABC auditorium is also large and can accommodate huge crowds. Parking is a challenge.",Oct-18
Exquisite,rohanpillai1,"New Delhi, India",ui_bubble_rating bubble_50,11-Nov-18,"The place has a large variety of different artifacts. It is so huge, that to explore everything in detail, you'll need atleast a day to cover everything. But you can skim through everything in about an hour or so. Worth visiting.",Nov-18
A nice place for one day trip in the city of joy,Saheli P,India,ui_bubble_rating bubble_50,6-Nov-18,"Indian Museum of Kolkata is perfect place for the explorers. 
It includes huge ranges of historical to geological to cultural items collections. Some of them are really very rare. 
But my favourite one is the collection of Egyptian Mummy in the rightest corner of 1st floor in the Museum. The room contains all necessary information about Egyptian culture. 
In the middle of the 1st floor we can see huge collection of Indian Paintings by some master painters which include the painting of R.N Tagore, Abanindranath Tagore, Nandalal Bose, Jamini Roy ...the list is quite long..In the left of this room we will find Mughal Miniature Painting, Pahari Painting and painting from other different schools. 
In the right hand side of Ground Floor there is a huge collection of Buddha's and other deities sculpture from different periods across the world which we shouldn't miss at any cost. 
In the left hand side there is a exhibition on Human Revolution. 
Another interesting fact about the Indian Museum is their vast skeleton collection of different animals including dinosaur, mammoth, blue whale and many more. 
It can be a very useful educational tour for the students of Geology cause of their huge collection of rocks and salt. 
If u'r in Kolkata we shouldn't miss Visiting the Jadu Ghar. Go, Explore and Enjoy. More",Mar-18
must visit,Trail22493234577,,ui_bubble_rating bubble_50,5-Nov-18,very good for visitng with kids. kids can learn a lot about indian history. more like a heritage place now.,Oct-18
Not for tourists...,mguay1958,"Toronto, Canada",ui_bubble_rating bubble_20,30-Oct-18,"Disappointing visit. Nice building. Steep price of entry for foreigners (500 rs)... 25X price for locals. Not sure where the money goes as it seems no money has been spent in upgrades and maintenance in 75 years. No guided tours, no museum mas, no audio visual guides and poor artifacts descriptions.Too bad... there is a lot to see for those who are interested in building overall knowledge of India.",Oct-18
This is very beautiful place,220rabim,"Kharagpur, India",ui_bubble_rating bubble_50,30-Oct-18,Am really impressed with this place. This is the Soo beautiful place. And too many things going on. I personally recommend to all of you please visit this place. It's really good.,Oct-18
Amazing Collection,Deepan B,"Kolkata, India",ui_bubble_rating bubble_40,29-Oct-18,The museum was a bit renovated. Collections are antique and awesome. Must see for a city tour in the Land of Joy.,Nov-17
house of knowledge,Ranabir_Bukan_Mandal,"Kolkata, India",ui_bubble_rating bubble_50,29-Oct-18,Indian Museum is the earliest and the largest multipurpose Museum in the Asia-Pacific region. It's an iconic institute (almost 200 yrs old ) of world history.,Nov-17
good,Anand A,,ui_bubble_rating bubble_40,22-Oct-18,the indian museum has a lot of old and rare artifacts and sculptures. it is a good places to visit in kolkata.,Apr-18
A very relevant visit,Isha C,,ui_bubble_rating bubble_40,18-Oct-18,"Biggest museum in asia , the building itself is a marvel... 
Holds everything u can think of 
Coins, excavations, a live mummy, live remains of elephant tiger and what not... Textiles, fishes, stones everything.. must visit for all those who yearn to learn..",Oct-18
Run-down but surprisingly captivating,Sophie B,,ui_bubble_rating bubble_30,17-Oct-18,"Honestly I went here with low expectations, knowing that my 4 and 5 year old boys have limited patience for museums. However, the impressive architecture and wide range of exhibits kept them captivated for well over an hour. The museum is cheap for Indian nationals but expensive (rs 500) for foreigners. Thankfully the kids got in free. Many of the exhibits seem untouched since early last century, but the decrepit, musty air kind of adds to the charm! Kids loved the huge gallery of taxidermied animals and the Egyptian mummy.",Jul-18
Fun for kids,aastha_pro,,ui_bubble_rating bubble_40,17-Oct-18,It is one of the ideal place to visit on a winter afternoon. Kids will surely enjoy this place. It has a very good collection and some very rare items. It is very interesting and a must visit. The ticket price is 20 INR.,Jun-18
Antique,kk8322,"Madurai, India",ui_bubble_rating bubble_40,3-Oct-18,Antique items of different era - with lot of sections & old items. Definitely worth visiting & spending more than an hour in it.,Oct-18
not good place to visit,namesak,,ui_bubble_rating bubble_20,2-Oct-18,"i found it boring, it is not maintained properly the govt. could have done more but its not as attractive as it seems",Sep-18
Antique,Sounakfoodie,"Kolkata, India",ui_bubble_rating bubble_50,30-Sep-18,"Not every antique attracts me but here the armoury and the mommy of Tutankhamen does attract me a lot. Wonderful place, almoist 200 years ago it gort built and still carrying the history along with it.",Dec-17
