title,username,location,rating,review_date,review_text,experience
Nice place to see,asis2015,"Silchar, India",ui_bubble_rating bubble_50,28-Feb-19,We had been there just after snowfall in Darjeeling and really the place brings peace in mind. The Scenic beauty is also heart touching.,Feb-19
Good place to visit,Parkhad_Amit,Kansas,ui_bubble_rating bubble_50,27-Feb-19,"Its a part of local sightseeing. A good place with good view. Photogenic location. 

The temple is nice. 
Must visit",Feb-19
Nice Pagoda; Terrible approach road,Ashoke S,"Singapore, Singapore",ui_bubble_rating bubble_30,24-Feb-19,"Its a very nice and serene place once you reach the top and get inside the compound. You can spend some time enjoying the pagoda and the shrine. Also, some nice views from the top. Worth a visit if you have time on your hand. 

As in most places in Darjeeling, you are better off walking (although roads are quite narrow). If you take your car up there , be careful where and how your driver parks because you can get stuck quite badly.",Dec-18
Serene location,Ketan P,,ui_bubble_rating bubble_50,22-Feb-19,Its situated on a hilltop at a very calm and serene location. You will feel at peace at this location !,Feb-19
Peaceful place,debashreen2018,,ui_bubble_rating bubble_40,17-Feb-19,First we went inside the Japanese temple and it was such a pleasure to able to do prayers alongside temple people.Its a beautiful and peaceful place. Then we visited the adjacent peace Pagoda. Beautiful budha statue located on hill top. Have to climb stairs. Wonderful place from where you can have bird's eye view of the town & also get some candid clicks. One of the best attractions of the town. Must visit if in Darjeeling,Feb-19
Wonderful. Must see with family.,srkkingfan,"Navi Mumbai, India",ui_bubble_rating bubble_50,14-Feb-19,First best part is cleanliness. Second best part is hygeine. Third best part is you don't have to pay a single rupee to enter. It gives you peace as the name says and you will surely enjoy with your family while taking nice photos and videos. Very nice place. Must visit with your frnd or family members if you come to Darjeeling.,Feb-19
Awsome place.,FoothillTravelers,"Sutter Creek, CA",ui_bubble_rating bubble_50,13-Feb-19,"We walk to the Peace Pagoda, giving us a good work-out! Joined A drumming session which we enjoyed before visiting the Pagoda itself. Now we want to visit them all!",Feb-19
A very nice peaceful place with beautiful suuroundings,Milind P,"Pune, India",ui_bubble_rating bubble_50,4-Feb-19,"Located at the end of Gandhi road, a very nice temple and Pagoda. Very quiet, serene. Beautiful statues of Lord Buddha",Jan-19
Tranquility,Mperor,"Bengaluru, India",ui_bubble_rating bubble_40,2-Feb-19,"After the busy sight seeing schedules, end with this visit. You will become calm, tranquilized and enjoy the meditation. Have a silent and slow walk later which will be in your memories for ages.",Dec-18
Excellent example of a pagoda in Darjeeling,evillaci,"Washington DC, District of Columbia",ui_bubble_rating bubble_50,29-Jan-19,"Beautiful pagoda/temple in Darjeeling. Well kept, clean, and peaceful. The views of the mountains from this place are amazing and the shrine itself provides a sense of peace and calmness.",Oct-18
Peace and Calm,,,ui_bubble_rating bubble_50,29-Jan-19,"Go for stunning views, tall pine trees and spend some time close to nature, away from hustle and bustle of Darjeeling.",Jan-19
Na Mu Myo Ho Ren Ge Kyo,,,ui_bubble_rating bubble_50,28-Jan-19,"It was indeed very peaceful to be there and sitting inside the temple while playing drums and chanting ‘Na Mu Myo Ho Ren Ge Kyo’ was a different experience. 

The place was full of positive energy.",Dec-18
Serene place,,,ui_bubble_rating bubble_40,28-Jan-19,Beautiful place next to the Japanese temple. It's little bit on the higher altitude so gets little colder. The Pagoda is a beautiful white structure with various statues of Buddha. Nice place to sit around and admire the natural beauty.,Jan-19
Japanese Temple with Peace,,,ui_bubble_rating bubble_40,24-Jan-19,It is a wonderful place and there was a chanting mantra with a Rhythm were we can play as per their tunes and it was a mind soothing experience.,Jan-19
Nice and peaceful,,,ui_bubble_rating bubble_50,22-Jan-19,"A small temple but a nice one. Very elegantly built. Don't miss the prayer hall on the first floor and be a part of the prayer if its on. Very soothing when you sing along with the folks there. 

Parking space is less though.",Jan-19
In the scenic view,,,ui_bubble_rating bubble_40,22-Jan-19,A white monumental structure of Japanese Buddhist faith overlooking a majestic landscape is delight for every tourist.,Jan-19
A must see destination,,,ui_bubble_rating bubble_50,19-Jan-19,The walk from Sarover hotel to the Temple is a nice and serene one. A temple like this right on one of the highest points in Darjeeling gives both peace of mind and a view to die for...a must visit.,Jan-19
Serene,,,ui_bubble_rating bubble_40,15-Jan-19,"It's a beautiful japanese pagoda set in jalapahar , Darjeeling. It has 4 Avatars of Buddha. It was build by japanese monk.",Jan-19
Excellent!,,,ui_bubble_rating bubble_50,15-Jan-19,Peaceful and Serene! Must Visit if travelling to Darjeeling. The hills and views from the temple are awesome.,Jan-19
Very Good,,,ui_bubble_rating bubble_40,14-Jan-19,Good Site as the roads are good to reach over there. A must visit place at the serenity of the hills.,Jan-19
A tough ride but beautiful place,,,ui_bubble_rating bubble_40,9-Jan-19,I recently visited this place and it has a Japanese temple and a peace padoga. Once you enter the Japanese temple during the prayer time you will enjoy the sound of the instrument. Pagoda is tough to climb especially for old people.,Jan-19
Peaceful place,,,ui_bubble_rating bubble_50,8-Jan-19,When you visit this place you will see two sights one is the Japanese temple and other is the peace pagoda. When the whether is clear you will be able to see Kanchanjaunga peak and other mountains. It gives beautiful view of Darjeeling from the top.,Jan-19
"Visit to Peace Pagoda, Darjeeling",,,ui_bubble_rating bubble_40,8-Jan-19,"It is located in the hilly town of Darjeeling, West Bengal, india. it is designed to unite people of all races and creeds for the world peace. The view of Kanchenjunga is beautiful from this place in a clear day. It was inaugurated on 1st November 1992. the height of the pagoda is 94 ft and diameter is 75 ft. The place is surrounded by long Pine trees. 
Courtesy: Wikipedia.",Dec-18
Most beautiful thing to admire in Darjeeling,,,ui_bubble_rating bubble_40,7-Jan-19,Really it’s the number one place to visit. Stand in front of Buddha and tell yourself that peace in the world is possible. Very powerful place,Jan-19
