title,username,location,rating,review_date,review_text,experience
Awesome view of kanchanjunga,KAUSTUBH89,"Mumbai, India",ui_bubble_rating bubble_50,18-Feb-19,"Awesome vie of kanchanjunga you will get it from tiger point, but for that you will have to go early in the morning at 4-4:30, if you are late it will be too crowded to get place to stand or sit,Let me tell you it is worth visiting tell",Jan-19
Once in a lifetime experience!,SubhrajyotiC,"Kolkata, India",ui_bubble_rating bubble_50,14-Feb-19,One of the prettiest mountain ranges in India a visit to Darjeeling and higher offers you various glimpses of the Kanchenjunga range. Best time is to catch it during sunrise as the mountain range changes colours with the rising sun.,Dec-18
Majestic Kanchenjunga Mountains,Anil R,,ui_bubble_rating bubble_50,4-Feb-19,From Darjeeling you can see the breathtaking view of Kanchenjunga mountains (highest mountain peak in India). I was spellbound when i saw this mountain for the first time during my visit to Darjeeling in Jan 2019. This is the top attraction of Darjeeling.,Jan-19
Majestic,akash1209,"Mumbai, India",ui_bubble_rating bubble_50,28-Jan-19,"We stayed in Ramada, Gandhi Road in Darjeeling and the best part was that we opted for the Kanchenjunga view room. 
Believe me it was magical when we caught the first glimpse of Kanchenjunga. 
We use to admire it in the mornings while having a cup of tea and were awestruck. 

Don’t know why but it hit me spiritually as well. After looking at it for sometime I always got a feel of refreshment as if I was meditating.",Dec-18
An enriching experience,ritudasgupta,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,23-Jan-19,"We visited the place with an inquisitive 9 year old and honestly, we were floored by the diverse things this place had to show us - from depicting the tough life through life size figures to the famous mountain myths, this place has it all. Truly a unique and unmissable experience!",Nov-18
High and high,Shubham K,,ui_bubble_rating bubble_50,21-Jan-19,Life is adventures so life it every moment of your life and do adventures thing I and my friend fully enjoyed,Sep-18
A wonderful scene to see !!,thisizarif,,ui_bubble_rating bubble_30,20-Jan-19,The place is very is very much charming. The place is very cold. The most important thing is you need to get up early in the morning.,Nov-18
The king of valley,prrateek,"Hyderabad, India",ui_bubble_rating bubble_50,19-Jan-19,"Easily the best scenic company to have in Darjeeling across entire valley, snow capped and golden sunrise dipped , beautiful to core...",Jan-19
The unforgettable view,parveen_ahlu,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,19-Jan-19,Kanchenjunga can be seen from virtually any part of Darjeeling. It is an awesome and awe inspiring sight and one never stops looking at it any time of the day.,Jan-19
Wonderful Scenic View of Mt. Everest & Kanchenjunga,sragul,Chennai,ui_bubble_rating bubble_40,16-Jan-19,We started from our hotel at 4.15 in the early morning to witness the Mind blowing Golden Sky from a Place call Tiger Point. The Golden Border line start showing by 5.30 and it gradually get stronger stronger till 6.30am. The Disadvantage of this is the Freezing Cold (2 Degrees C) on the open sky and still the crowd was overwhelmed by the Scenic view.,Jan-19
Sandakhpu in West Bengal for the best view of Kanchenjunga,,,ui_bubble_rating bubble_50,10-Jan-19,Travelled the tough terrain to Sandhakpu by the British Era Range Rover and what a memorable ride it was. Saw the Kanchenjunga in all its glory at 530am in biting cold conditions.,Sep-18
Beautiful,,,ui_bubble_rating bubble_50,9-Jan-19,The view of the range is spectacular from the darjeeling railway station and one must see the place from the station and then Tiger Hills,Jan-19
View Of Kanchenjunga from Darjeeling,,,ui_bubble_rating bubble_50,8-Jan-19,"KANCHENJUNGA is the 3rd highest peak in the world situated in the Himalayan range. It s in between Nepal and Sikkim state of India. It's elevation is 8,586 meter ( 28,169 Ft.). The peak is always covered with snow. The first sun light on the snow white peak turns the peak marvelous with golden reflection. It is vissible from Darjeeling, Sikkim and Nepal.",Dec-18
