title,username,location,rating,review_date,review_text,experience
Saw a tiger close up,Kerry P,"Sydney, Australia",ui_bubble_rating bubble_40,11-Mar-19,"The zoo is a nice place to take kids. For me the highlight was seeing the tiger. Huge and powerful, amazing creature.",Mar-19
good,AKRAJAK,,ui_bubble_rating bubble_50,27-Feb-19,"very good .i visited here last month ,with my some teenager friends ,i enjoyed here very much it is very enjoyfull",Feb-19
Memories!!,Padmini S,"Mumbai, India",ui_bubble_rating bubble_40,27-Feb-19,"This is a place I had been to as a child and so when a cousin of mine asked me to accompany her with a group of children I didn't mind.Well I wasn't interested in seeing the animals but was keen to see how other people ,especially children enjoyed. The place was not too crowded, being a weekday I guess. The children went berserk seeing the animals and birds and it gave me a good feeling that all is not lost..as kids today are more interested in mobiles and other gadgets. A good experience altogether!!",Feb-19
Zoo Garden of Kolkata,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_40,25-Feb-19,Zoological Garden of Kolkata is located in the Alipore area of Kolkata. Nearest Railhead is Rabindra Sadan Metro Station. Here many species of animals have been kept. It will take whole day to enjoy the garden.,Dec-18
Family Time!,Poulomi S,,ui_bubble_rating bubble_50,13-Feb-19,Lovely place and I miss the Bijoli Grill hotel at the corner. Best place to visit during new year or holidays especially for kids,Sep-18
"Well maintained, good collections",Doc_Subhajit17,"Kolkata, India",ui_bubble_rating bubble_40,12-Feb-19,"Visited several times. Good collection of different species of animals, reptiles and birds. Well maintained. Very popular place among locals for a day's outing.",Mar-18
KOLKATA ZOO & ZOOLOGICAL GARDEN,raj b,"Bharuch, India",ui_bubble_rating bubble_50,8-Feb-19,"A trip to the Alipore zoo is always a nice experience. They have a large number of animals and it is extremely spacious. I've been to zoos in bombay, bangalore and lucknow as well but the alipore zoo is the best in terms of the overall family experience. It's really big and there're lots of lawns for families to sit down.",Nov-18
Jungle Book,Squaremoney,"Manali, India",ui_bubble_rating bubble_50,2-Feb-19,Life is more than you see the creation of god good place in zoo different varieties of animals which only you can see on Tv,Nov-18
Zoo,Rajveer2018,India,ui_bubble_rating bubble_40,30-Jan-19,"Kolkata Zoo is a popular well known zoo.You can see many animals , reptiles etcetera and forget about time.",Jan-19
Suprisingly neat and attractive,Pradipto R,,ui_bubble_rating bubble_40,26-Jan-19,"I visited this place after many years, to get my son aquantited with animals which he had seen in books so far. Contrary to the infamous opinion about the lack of cleanliness and dearth of animals, we found this place quite neat and well maintained. Despite covering a big area, the appropriately placed signboards make navigation convenient. Abundant deers, giraffes, peacocks and a wild variety of birds make for a very pleasant trip. Yes there are just a couple of tigers and lions and placed at a more-than-formidable distance, however, that is quite a sight. By the time we finished watching the elephants and were considering looking for the exit, we found it right in front of us. Overall a very pleasant trip. More",Jan-19
Its time for fun.. because its winter time..,AritraM33,"Durgapur, India",ui_bubble_rating bubble_50,18-Jan-19,"Yes i visit here again. Its a my of those favorite place which is i wanted to visit again and again. This place for every one, for any ages. Alipore zoo one of the oldest place in Kolkata. Many things here for explore i mean any animals here to watch. If you spent your weekend with child and family you must go there.. i just love this place.",Jan-19
Fun time,PrakashS1256,,ui_bubble_rating bubble_30,14-Jan-19,This place is awsome a great time indeed.you can travel this place with your friends i proise you wont feel bad or rather have good experiance.,Jan-19
Fu Time,new4dgp,,ui_bubble_rating bubble_50,11-Jan-19,Alipore zoo is most beautiful and kind place. Its gives you mental peace for sure. If you want to spent your weekend with ur family then you must visit here..,Jan-19
Animals with animals,arupshourjo,"Kolkata, India",ui_bubble_rating bubble_50,7-Jan-19,"Extremely essential visiting place, for all ages, to get a face to face contact with great tigers, lions, elephants, crocodiles, snakes, jaguars, ziraffes, deers, bears, camels and what not?",Dec-18
