title,username,location,rating,review_date,review_text,experience
The sign of Antique,saurabhk982,,ui_bubble_rating bubble_40,9-Mar-19,"Remains of the British period. The only city where Tram is still running. I know that Tram is not modern as metro or T-18 train but if you are fond of History you will certainly enjoy it. Its fm radio, its speed and last but not the least its stoppage Bell.",Mar-19
Nothing as it seems,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_10,8-Mar-19,We had a hard time trying to find out about heritage tours which the trams used to make before.. The staff at WB transport office were very kind and nice. They informed us about the daily tram tours and some of the tram routes were now not in use. We were shocked to see the state of the trams now running in the city..absolutely ramshackled....we took a decision not to go on the tram. I hope the government really spruces up the trams which used to be a delight to watch in older days.,Feb-19
Mesmerising,Zinia F,,ui_bubble_rating bubble_50,2-Mar-19,"Last few cities in the world still having trams as transportation, something about Kolkata trams makes you go to a different era in time..backwards of course. 
A must-do thing on Kolkata visit for the sake of it.",Feb-19
Really enjoyed it.,reubenranjanfern2017,"Noida, India",ui_bubble_rating bubble_40,27-Feb-19,These trams run between crowded city lanes. And this relates to history a lot. It is a little old but still well maintained.,Feb-19
Enjoyed,niya27,,ui_bubble_rating bubble_50,25-Feb-19,"I was happy to see that Kolkata metro was still functional. I traveled from Kali Mandir to Ballygaunge. My experience was amazing. Though the speed was slow, I thoroughly enjoyed my journey.",Jan-19
Blast from the Past,seeker_here,Delhi,ui_bubble_rating bubble_40,19-Feb-19,"Whenever you see the Kolkata trams, you are transported to a bygone era. They definitely remind you of Victorian Calcutta.",Jan-19
Aha,anjpraary,"Mumbai, India",ui_bubble_rating bubble_50,11-Feb-19,"Tram tram was so super excited to sit in it like a kid 

Always heard about it and saw it in documentaries and old Hindi movies felt like on top of the world to take a ride even forced by boys to take a ride 

Paid ?6/- for a nice 4 stops ride for the fun of it. It has its fixed stops but driver Sir obliges u if u wave to stop. 

The government needs to work more on its standards n maintenance of our treasured ride",Jan-19
Old train,Shubhamgroup,"Lucknow District, India",ui_bubble_rating bubble_50,6-Feb-19,Life is unquie gift of God and I enjoyed every thing in different ways so I visit Kolkata to see the tram and see the old local train which people can use to move the short distance and my experience regarding to that it's great and beyond the great I will happy and friends also,Sep-18
Oh Kolkata!!,Gp Capt R K D,"Kolkata, India",ui_bubble_rating bubble_40,7-Jan-19,The tram services at Kolkata reminds you of Vintage Calcutta. The trams which now ply only in select routes is still the only service in the country. One can visit various tourism places at Kolkata by using the tram.,Sep-18
iconic.,AYUB J,"Kolkata, India",ui_bubble_rating bubble_40,7-Jan-19,an out of this world charm n the most eco friendly mode of transport in kolkata.you should try it n u will love it.,Dec-18
You revive old memories,AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_40,30-Dec-18,"Traveling by trams was one of the most popular modes of transport in Kolkata. Now only a skeleton service is left and you rekindle old memories. 
Governor Amolak Rattan Kohli",Dec-18
Iconic and thoroughly enjoyed,MohitHanda10,"Pune, India",ui_bubble_rating bubble_50,28-Dec-18,"Located in the busiest area of Kolkata, it’s indeed a sight, iconic and cherished treasure of Kolkata. Adds lot of character to the city. 
My kid thoroughly enjoyed the short ride and it’s very cheap as welll.",Dec-18
