title,username,location,rating,review_date,review_text,experience
awesome feeling,smukhia,,ui_bubble_rating bubble_50,19-Feb-19,"Best place to hear the wind enchant worship god, if you ask something from your heart which can be fulfill, on one has been returned empty handed",Mar-18
Mahakal Temple Darjeeling,Vaidyanathan M,,ui_bubble_rating bubble_50,16-Jan-19,very good place worth to see. We had a wonderful darshan. very clean and calm place. go there and relax,Oct-18
Great temple,Pooja_Vikesh,"Chiang Mai, Thailand",ui_bubble_rating bubble_50,15-Jan-19,This place is a bit unique in itself. It has buddhism and Hindu temple together.colourful flags here look really vibrating. You will feel inner peace and joyous here. Take photos and get blessing of the deity.,Jan-19
Mahakal Temple.,AMITAVAB67,,ui_bubble_rating bubble_50,23-Dec-18,Fantastic ambience. Loved the temple in a cosy hilltop. The temple has its own charm and one can soak in the Himalayan air before departing.,Dec-18
Amazing temple,travellingtinytom,"London, United Kingdom",ui_bubble_rating bubble_50,15-Nov-18,"This is the first joint buddhist-hindu temple I’ve ever been to. It’s a beautiful mix of buddhist prayer flags and chanting with shrines to hindu deities where you can get a blessing. 

It’s also a really peaceful place to get away from the hustle and bustle of the square below.",Nov-18
Beautiful temple and a blessing from the gods,KrispyPlymouth,Plymouth,ui_bubble_rating bubble_50,5-Nov-18,"Not being a Buddhist I am unable to say if this temple follows all the principles of Buddhism, but as a world traveller I can say that this is one of the most beautiful temples I have visited in India. The number of prayer flags is wonderful, the colours are joyful! We took dozens of photos. We were given a blessing at one of the temple areas, I am still wearing my bracelet 4 weeks later. We also went and had a look at the cave temple where we were blessed again. 
This is a spiritual haven that will fill your heart with joy!",Oct-18
Went here for inner peace,neha763,,ui_bubble_rating bubble_50,28-Aug-18,With my husband I went here during my Darjeeling trip. It gave us inner peace. Good temple Baba Mahakal.,Jun-18
Must visit,gurungnee,,ui_bubble_rating bubble_40,7-Aug-18,"If u r already in Darjeeling on a holiday why not walk up from chowrasta or take a cab from Behind Loreto College & visit Mahakal. Highly respected by locals & others from surrounding places as well. Can take kids but if u walking up from front side better to carry a Pram if u hav toddlers .Best to 
Go in slippers if u dnt want to 
Open yr shoes n wear them again. Gets cold In mornings frm September onwards.",Aug-18
Peace!,amychat2000,"Kolkata, India",ui_bubble_rating bubble_40,31-Jul-18,"Not advisable for people with heart ailments or old people with walking discomfort. Need to climb up 10-15 minutes which is a steep walkway . 
As the sign-boards read Beware of monkey attack!",Jul-18
Nice Track and Refreshing. Old Temple and nothing can be better than Temple for a Holy Visit.,Sanjeev U,,ui_bubble_rating bubble_50,10-Jul-18,"Clean Temple, Good Walkable Road. While return one can also do some shopping. Lord Shiva Temple with a touch of Buddhists pray Wheels.",May-18
