title,username,location,rating,review_date,review_text,experience
Worth a visit if you are in the area,982rodneyl,"Grande Prairie, Canada",ui_bubble_rating bubble_40,3-Mar-19,"Small museum to life of Mother Theresa that is worth seeing. Small chapel. Unless you are Catholic I would not make a special point of visiting here, however if in area do visit",Feb-19
To be near a great soul,ProsenjitD19,,ui_bubble_rating bubble_40,2-Mar-19,"This is a place for quiet meditation and prayers. The plaque ""I thirst"" says it all. There are medallions and other memento of Mother Theresa that can be obtained.",Jul-18
Very special to witness,Penwyllt,Shrewsbury,ui_bubble_rating bubble_40,1-Mar-19,We thoroughly enjoyed visiting Mother House and seeing the mausoleum and small museum to Mother Teresa as well as seeing her humble room,Feb-19
Disappointing ... and a Bit Tense,Meredith M,"Paris, France",ui_bubble_rating bubble_30,27-Feb-19,"The Mother House has an incredible legacy, but visiting does not lend itself to the generous work of the past. The house is filled with rules and very strict nuns. It is not a welcoming environment. Be on your best behavior ... and remember all the good things that were once done in Mother Teresa's name.",Feb-19
Great chance to learn more about this saint woman!,mtamayoo,"Madrid, Spain",ui_bubble_rating bubble_50,22-Feb-19,"Most adults have heard about Mother Theresa. Her works and life can be better appreciated in this place, that the nuns and volunteers run so nicely. 

Being in front of her remainings resting place brought me so much peace. 

There are many ways to help the sisters to continue this huge task as they are present in many countries, but in Kolkata alone you can feel the need of the people when you walk the streets. This is a city where there seems to be no investment from the authorities. It's not that you visit the slums, it's like the slums are present everywhere. 

Mother Theresa example made me feel worried about this people and their wellness in a city that apparently does not care about health basics for their inhabitants... SO MUCH TO BE DONE! More",Feb-19
Really small,lendvain,"Little Clacton, United Kingdom",ui_bubble_rating bubble_20,20-Feb-19,One small room and that's it. The statue on the street is nicer. The surrounding area is much more interesting. Nothing else really.,Feb-19
Historical coffee shop,saada530,,ui_bubble_rating bubble_20,19-Feb-19,"If you are a Bengali person you can visit this place. You can have sandwich , tea or coffee, light snacks. I don't recommend nonsmokers over there. If you are from West, there are some better place to hangout. The signature sandwich is pretty good",Feb-19
Peaceful place,W0lf1e,"Montreal, Canada",ui_bubble_rating bubble_50,17-Feb-19,"You must go there. Free of charge, it will take you maybe 30min unless you take your time or want to pray. The nuns are very kind and the place is very peaceful. There’s also a little exhibition where you can learn something about Mother Teresa.",Feb-19
Mother Teresa lived and worked from here,99JohnEagle,"Stanley, United Kingdom",ui_bubble_rating bubble_50,17-Feb-19,It touches the heart as you walk around this building viewing the places where Mother Teresa spent her life in serving the poor people of Calcutta.,Feb-19
Excellent place,,,ui_bubble_rating bubble_50,16-Feb-19,Excellent place with the statues of famous people of different sectors. The statues are quite good and similar to the person. Best were the separate rooms for Mahatma Gandhi and Satyajit roy. The cartoon characters and horror rooms are also very attractive. overall a very nice place to spend a good time.,Feb-19
Peaceful,,,ui_bubble_rating bubble_50,13-Feb-19,"A peaceful experience, a must visit, tranquil and when one visits Kolkata one must visit this place.",Sep-18
Lovely excursion,,,ui_bubble_rating bubble_50,10-Feb-19,On a business trip we hired a driver for a couple of hours and one of the sights that he took us to was Mother Home - the home of Mother Theresa. Definitely worth a visit if you are in Kolkata,Feb-19
Very moving,,,ui_bubble_rating bubble_50,10-Feb-19,"It was a privilege and moving experience visiting this place. Very well laid out,staff very friendly. 
Thank you",Jan-19
a good plaxce of your budget,,,ui_bubble_rating bubble_50,7-Feb-19,when i travel for my work here then i was not having lot of money a person told me to stay here and i stayed for nine days,Sep-18
Mothers tomb,,,ui_bubble_rating bubble_40,6-Feb-19,This place for those who love the mother and her charitable work.A humble nun welcomed us with smile.In the first floor the simple room where the noble mother lived is seen.On the ground floor an exhibition room and the tomb in the prayer room are the areas to visit.The house is closed for visitors on Sundays.,Jan-19
For us it was a must visit,,,ui_bubble_rating bubble_50,4-Feb-19,"We can't imagine visiting Kolkata and not seeing the home, workplace, and ultimately tomb of Mother Theresa. Seeing her humble existence and how she had a worldwide impact was truly inspiring.",Feb-19
A humble Abode.,,,ui_bubble_rating bubble_40,4-Feb-19,Makes one aware of how humble and great Mother Teresa was. Simple way but a lifetime spent serving humanity.,Jan-19
great place to meditate,,,ui_bubble_rating bubble_50,4-Feb-19,Wonderful to visit Mother Teresa's room and grave and where she sat towards the end of her life meeting with people. But the best was the room where all the nuns pray and that's where Mother sat on the floor. You can sit on the floor or they have benches and you can meditate.,Jan-19
You cannot but be moved,,,ui_bubble_rating bubble_50,3-Feb-19,"I was hesitant to visit, since I am more interested in visiting architectural sites. But one cannot come to Calcutta without visiting Mother Theresa's House. Very emotional.",Feb-19
Mother Teresa,,,ui_bubble_rating bubble_50,29-Jan-19,"A small lovely tribute to a saint! Clean, organized and well attended. The sisters were extremely lovely and kind.",Jan-19
Very moving,,,ui_bubble_rating bubble_50,26-Jan-19,"It is the atmosphere that impacts on you here. The display of Mother's belongings is basic but moving nevertheless. When you realise the sheer volume of work she undertook, it makes a visit all more worthwhile",Jan-19
Very peaceful place,,,ui_bubble_rating bubble_50,24-Jan-19,Place is very simple and original. Seems like a holy place. You can sit there and do the prayers. Everything is beautifully maintained in it’s original form.,Jan-19
