title,username,location,rating,review_date,review_text,experience
cheap nostalgic buys,sinu_roy,Mumbai,ui_bubble_rating bubble_40,20-Feb-19,"pocket friendly kurtas, chinese make shoes, prawn wafers, flowers - fresh and artificial, cheap kids toys... the range is as sprawling as the old winding new market layout. wander around and pick up some great goodies and dont forget the legendary Nahoums bakery right in the center",Feb-19
Great place for shopping,saada530,,ui_bubble_rating bubble_30,19-Feb-19,"You will find every kinds of needs over there. Starting from garme, artifact to foods and beverage. Before you buy anything I suggest you to analyze the market. They often tend to rip off you for being a foreigner. Especially for garments products. There are other shops just outside new market which are somewhat better. In case of dry foods like nuts chocolates, try to calculate by your own. My guy had ""miscalculated"" over one thousand rupees. Nearby places are very crowded. Be careful with your wallet. There are many pickpockets. Other than that you can enjoy a nice warm afternoons.",Feb-19
Would be great except for the endless touts,Cantfind,Howard,ui_bubble_rating bubble_30,17-Feb-19,This would be an amazing place to visit if it weren't for so many annoying touts. I know India has touts everywhere but this place takes the cake. They follow you around and are just pests. We would have spent more time and money if we had had just a bit of peace,Jan-19
Shopping Paradise,KobidS1,"Kolkata, India",ui_bubble_rating bubble_40,12-Feb-19,"Extremely nice place to do shopping and window shopping. 
You get everything over here. 
Perfect place for shopaholics..",May-18
shopping in new market,sikander123,,ui_bubble_rating bubble_50,11-Feb-19,i am from kolkata and i like new market this market is very cheapest market in india and product is imported,Jan-19
Old Garments Market of Kolkata,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_50,29-Jan-19,New Market is located in the Esplanade area of Kolkata. This market was built in British Era of India. This is one of the oldest markets of Kolkata. People can reach this place by getting down in the Esplanade Station of Metro Railway. This is one of the favourite destination for shoppers still now.,Dec-18
Stay away of this place,chitradaby,"Paris, France",ui_bubble_rating bubble_10,29-Jan-19,"You are foreigners? You pay 5 times the price in this market! A seller tried to charge 40k rupees for 2 silk kurti and 1500 rupees for a cotton trousers for children. We found the same at 200 rupees in the old market ! 
Kolkata is no more the city of joy but the city of scasm! 
Better you go in the shops around and you will find better quality and cheaper and fixed price.",Jan-19
Buzzing,liliputstay,,ui_bubble_rating bubble_50,28-Jan-19,"One of the must visit at evening for travellers mainly.Its buzzing,happening area where you will get everything at a cheap price,Which makes it a cheapest market of Kolkata too.It's in the center of Kolkata so plenty of transportation available to take you around or take you back as well.",Jan-19
Heaven for Shoppers,sudipta_heen123,"New Delhi, India",ui_bubble_rating bubble_50,18-Jan-19,This is the most favorite place for shoppers. You will get everything here and from all ranges. Come to this place if you like to do some bargain. Almost all branded shops are there.,Sep-18
one stop shopping place,npn2000,"Bangkok, Thailand",ui_bubble_rating bubble_50,18-Jan-19,"New market is one stop shopping place at kolkata and worth , only thing to do a lot of walk and bargain before making the purchase . food -drinks are there to overcome tiredness.",Oct-18
