title,username,location,rating,review_date,review_text,experience
Nicco Park,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_40,28-Feb-19,Nicco Park is located in the Saltlake area of Kolkata. Here there are many things to play. Some are paid and some are free. There is also a entry charge for entering the park. It is a fun loving place and children will love to come here. More,Dec-18
Fun and adventurous!,Sabsahihaibhai,,ui_bubble_rating bubble_40,18-Feb-19,If you're looking for rides and coasters then this is best place to go.It will be more cheap if buy tickets from apps however some rides will cost you.If you're visiting in weekends then come early as possible because there's so much crowd and you will have to wait for each rides. More,Nov-18
nikko park kolkata,jouherkhan,,ui_bubble_rating bubble_50,10-Feb-19,"Nicco park is located in the Salt Lake area spreading across the 40 acres land. A full package of entertainment is Nicco. It is best for kids and young ones, teenagers as well as adults. For a day out with family, one must not forget the name of Nicco park. It remains open from 10 am to 5 pm. The travel route is not very difficult. Friends can go in bike or a family can hire private taxi or cab. Beside Nicco is lot of food stalls too. How can one forget the rides! The best part of this amusement park is Wet-o-wild where we simply have fun in waters. Its amazing to visit there in summer. A lot of free rides are also there. Striking car, river cave, boating, flying saucer and roller coaster are simply brilliant. Another region of Nicco is dry which is also very nice. Lots of passes and offers are also available. Those who are heart patients must just avoid a few heartthrumping rides otherwise the visit is worthy enough with the charge it takes. More",Oct-18
Best place for kids,Angshool m,"Kolkata, India",ui_bubble_rating bubble_50,4-Feb-19,"Some rides can be somewhat scary, but in the whole it's a place full of fun, especially for children. More",Mar-18
Full on fun for family,MdZaff,"Asansol, India",ui_bubble_rating bubble_50,21-Jan-19,"The park is for everyone. One can spend the whole day in the park.Usually it is very crowded in weekend and you need to have patience to cover all the rides. It is recommended that you book the entry ticket online to save some bucks. Also,book the entry ticket only as it comes with 12 free rides including MIG plane and Eiffel Tower. You can take unlimited rides. Once inside you may choose the paid rides as per your convinience as it is time consuming due to the long queues which will tire you. Overall you can have a fun time with your loved one's. More",Dec-18
Fun Place,sudipta_heen123,"New Delhi, India",ui_bubble_rating bubble_40,18-Jan-19,This is the first fun park in Kolkata. You can njoy lot of thrilling rides here. Good for njoy with your family. More,Oct-18
FUNZONE for ALL,ANINDYA KISHORE B,"Hooghly, India",ui_bubble_rating bubble_40,18-Jan-19,"Joyful rides are worth-mentioning. Car Parking is good outside the park. One of the dis-advantage is no outside can be taken into the park, only foods bought from inside the park counter can be used which are somewhat costly. Some of the rides are must to avail. More",Feb-18
An amazing day out with family,advocatepriyank,"Ludhiana, India",ui_bubble_rating bubble_50,16-Jan-19,"The Nicco Park in Kolkata is not just another amusement park or water park but a complete family place where you can easily spend the whole day and this place offers rides and fun activities for every person irrespective of the age .. we went in a group of 5 people of my family comprising my parents , spouse and my kid and all of us had a great time and spent literally the whole day from 12:00 pm till 7:30 pm approximately at NICCO PARK. More",Dec-18
A good place for you if you are accompanied by children,AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_40,7-Jan-19,"It is a very good amusement park where children will enjoy more than adults. But the food area gives you very large choice to pick up according to your taste. 
Governor Amolak Rattan Kohli More",Dec-18
Family outing,Shruti_daisy,"Kolkata, India",ui_bubble_rating bubble_50,6-Jan-19,the magical Panda lights at niccopark is just fab.. Awesome.. We really liked the lighting...everyone should see this.. But definitely before February as in February the light show will come to an end... More,Jan-19
