title,username,location,rating,review_date,review_text,experience
One time visit,Parkhad_Amit,Kansas,ui_bubble_rating bubble_40,27-Feb-19,"As compared to the other zoos around country this one is okey. With limited number of animals around a good walk around the zoo is good. 

You can see tiger and black panther a d red panda and bear and many more. 

Good catagory of birds can be seen.",Feb-19
Zoo,Indrannair,"Rajapalayam, India",ui_bubble_rating bubble_40,26-Feb-19,"The Zoo has some rare species like Red panda and snow leapord. Also special animals like yak, bear and Bengal tiger. The Himalayan Mountaineering building and the Museum is inside the Zoo campus.",Feb-19
Awesome!!!,thisizarif,,ui_bubble_rating bubble_50,19-Feb-19,This zoo is very much structured. They have maintained is very precisely. Just follow their direction to roam around.,Nov-18
Wildlife zoo,debashreen2018,,ui_bubble_rating bubble_30,17-Feb-19,Went there with friends.spend around 1.5 hours in zoo & HMI together.Snow leopard Royal bengal tiger Himalayan fox are some of the animals which we have not seen earlier. So for us it was a nice experience. Also there's a shop near HMI where you can click photos with traditional dresses on rent. Tickets are 60/ person for both zoo & HMI together.,Feb-19
Costly and unhygienic. Very high price of ticket,srkkingfan,"Navi Mumbai, India",ui_bubble_rating bubble_10,14-Feb-19,If you are a family of more than 4 to 5 then i will say you have to spend a lot to see few animals. Though the zoo is having animals around but the animals are not given proper food and are not taken care properly. There cages are not clean and the places where they sit and spend their time is very dirty. They take 60 rupees. ITS A HUGE Amount. Per person 60 rupees just to see few animals is a big amount. Earlier it was 40 rupees but now it is 60/-. Its too much.,Feb-19
Wildlife zoo,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_30,6-Feb-19,Entry into the wildlife park is twinned with a ticket for HMI. I have to say I am not a big fan of zoos or wildlife parks generally so I probably wouldn't have visited this by itself. The enclosures are ok but they are wildlife and you wish they were bigger.,Oct-18
Not at all looked after.,Debu78,"Asansol, West Bengal, India",ui_bubble_rating bubble_30,5-Feb-19,"We felt that the zoo is not at all properly looked after by the concerned authorities.Most of the animals seem to starve, with lean and feeble body. Cages are neither clean and nor hygenic. I really felt bad about the animals there. Entry fee is Rs. 60 per head but maintanance is poor.",Dec-18
One of the best well kept zoos I have visited,Milind P,"Pune, India",ui_bubble_rating bubble_50,4-Feb-19,"Located about 5 kms form central Darjeeling this is a must visit place of Darjeeling. Great layout, well kept, informative. Great environment for animals. Rare animals such as snow leopard, Red Panda and of course the Royal Bengal Tiger !!",Jan-19
Clean and silent.,Mperor,"Bengaluru, India",ui_bubble_rating bubble_50,2-Feb-19,A very good number and varieties of animals. They are not cramped and have spacious living. One important word of appreciation to authorities is they've have nicely marked the route map by painting the direction on the road. You will neither miss nor get confused. There will be orderly movement of tourists.,Dec-18
Go for suree..,drkakkar,"Chandigarh, India",ui_bubble_rating bubble_50,29-Jan-19,"Well maintained zoo, closes by 4pm. 
Red Panda, Benmgal tiger, snow leopard in full glory are the star attractions. 
A must visit with kids..",Jan-19
