title,username,location,rating,review_date,review_text,experience
Just average,Logan1582,"Ipoh, Malaysia",ui_bubble_rating bubble_30,6-Mar-19,,
The Orchad Street of Kolkata,garychopel,"Gangtok, India",ui_bubble_rating bubble_50,4-Mar-19,"This famous street, more like a road is dotted with lovely places to indulge in.. be it Flurys, Oxford or Park hotel, this is the place to hangout for sure to experience the sweetness of the city of joy.. As an architect I feel if the government makes this place fully pedestrian by diverting the existing traffic, then this place would be magical..",Mar-19
Tourist place,frektraveller,,ui_bubble_rating bubble_40,4-Mar-19,A very good place to enjoy. The street is filled with many shops selling food items and gift article.,Mar-19
Happening place,25chandreyee,"Kolkata, India",ui_bubble_rating bubble_50,4-Mar-19,"Its one of the most happening place. Full of life and you will get the best restaurants of kolkata all in one place here. And not to forget the discs,pubs and shops.....",Mar-19
Touristy place of Kolkata,Zinia F,,ui_bubble_rating bubble_30,2-Mar-19,"The tourist town of Kolkata, this part of the city. I actually stayed in the old town as this is exactly what I wanted to stay away from - flocks of tourists...so...not the biggest fan. 
Not that anything wrong with them, it's just not my thing.",Feb-19
Busy street in Kolkata,venkyrahul,"Dubai, United Arab Emirates",ui_bubble_rating bubble_30,1-Mar-19,"Even though there is nothing great, this is the only place where you can walk on the foot path, which has good restaurants, shops etc.",Aug-18
Happening place in Kolkata,EnakshiC,"Navi Mumbai, India",ui_bubble_rating bubble_40,28-Feb-19,"This place is full of renowned restaurants and eateries as well as important landmarks. 
The place is lighted and decorated during Christmas and New Year. It is worthwhile visiting at that time.",Nov-18
"A street for hotels, bars & restaurants",call_me_rajib,"Kolkata, India",ui_bubble_rating bubble_30,28-Feb-19,This is generally an one way street. You can walk on the footpath and watch different establishments present at both sides of the road. Most of them are having significant value in the history of modern Kolkata. It was once the must go destination for Kolkata aristrocats.,Nov-18
Lost its charm.,Gloria V,,ui_bubble_rating bubble_30,28-Feb-19,Our walk down Park Street did nothing for us. The old charm is not there. We liked the food in Kwality Restaurant. Spencer's Grocery Outlet is well located and well stocked. Just two check out counters is not enough. They need a couple more.,Feb-19
The street of every eatery,Pradipto R,,ui_bubble_rating bubble_50,22-Feb-19,"From our college days to dating to anniversaries to all other celebration, Park Street has been the quintessential address most frequented. There scenario had now changed slightly, not much.. However, it now faces some competition from the newly bred delightful restaurants but this is still a favorite me.",Oct-18
Heritage touch,943sanjeevt,"New Delhi, India",ui_bubble_rating bubble_40,20-Feb-19,"Park street is still seen as Heritage place and it is same as 10 years ago or more, the restaurants in the night are overcrowded which means there are not enough eating outlets like Delhi and Bangalore, the pavements are narrow and full of cigarettes smoke yet there is some nostalgic feelings in the air.",Dec-18
Busy noisy road,lendvain,"Little Clacton, United Kingdom",ui_bubble_rating bubble_40,20-Feb-19,"Like all the other main roads in Kolkata this is a noisy, full of traffic, full of people, lots of tiny shops alongside road",Feb-19
Not a Patch on the Past,Sukanya D,"Kolkata, India",ui_bubble_rating bubble_40,20-Feb-19,"Park Street was once the creme de la creme of Kolkata's roads. There were restaurants here...that offered culinary delights from Europe to China. The shops were the ultimate shopping experience. The auction houses were treasure troves. 
Went there the other day...it is all there but everything has changed. It is still upmarket but the glamour is gone. Shisha sellers on the footpath! Bamboo flutes...Kashmir shawl exhibitions selling Ludhiana stuff. Come on!! 
But yes, Flury's remains. Giggles is smaller now. The newer restaurants have kept the flag fling high when the older ones shut shop. Rajniklal is still there but very little of the iconic Domitware can be found. Oxford Book shop is till there but the warmth has evaporated....the emphasis is on locating the book on the computer, making a sale and saying... go. Kwality is still around as is Park Hotel. The Post office is horribly crowded...the queue made me cringe. Times change. Park Street too has changed. It is still upmarket...but it has lost exclusivity...lost its glam factor. It is terribly, terribly crowded. The dream is dust...yet a little bit of the past still remains..walk down Park Street do not whizz past. What little remains will soon evaporate ;savour the last little left. More",Jan-19
Liveliest part of Kolkata,himalayan_bantoo,"Mumbai, India",ui_bubble_rating bubble_50,20-Feb-19,"From high end restaurants to cheap bars and crazy street foods, you'll find everything in this place and you'll definitely fall in love. This place is decorated beautifully during the Christmas days and New Year eve. Music at Allen Park is something almost every Kolkatan in their lifetime came at least once for.",Mar-18
