title,username,location,rating,review_date,review_text,experience
Simple ghat,sadiaakthersony,"Dhaka City, Bangladesh",ui_bubble_rating bubble_30,16-Feb-19,"Its a simple ghat but wonderful evening can be spent at sunset. the structure of the gate is not that excellent just some pillars. How ever, the ghat of the mighty Ganga river and the sight of new howra bridge from the ghat is awesome. You can have a boat ride in evening enjoy the scenic beauty of the river.",Feb-19
Entrance to river walkway.,John W,"Espoo, Finland",ui_bubble_rating bubble_50,10-Feb-19,"The building is nothing special, but it is an entrance point to one of the few access points to the river. There is a lovely walkway that starts here and runs for a couple of kilometres to Eden Gardens bus station. Perfect for an evening/sunset stroll. Along the path you can find boatmen that will take you out on the river for a fee. This walkway is one of the best - if not THE best - things to do in Kolkata.",Feb-19
Simple pillars,Ankita_Dalvi,"Mumbai, India",ui_bubble_rating bubble_50,8-Feb-19,"This place is very simple and peaceful 
It makes you feel calm 
Along side a river and a bridge 
And had a historic significance",Jan-19
Evening Timepass,Saurabh76,"Jorhat, India",ui_bubble_rating bubble_40,1-Feb-19,"Its a popular location for Kolkata Locals, specially young pairs. You can have the glamorous view of bidyasagar bridge. The place is preferred by young boys n gals for open romance. Not at all recommended to visit with children and elderly people specially in the evening hours.",Jan-19
"A Well Restored Place, Good place for Fuchka, Pav Bhaji or Boat Ride",Subrata0168,"Navi Mumbai, India",ui_bubble_rating bubble_40,30-Jan-19,"I am not a great admirer of Mamata Banerjee, the West Bengal CM; but I must admit that Didi's Government has done a great job in restoring this place and given this place a place in the itinerary of City's sightseeing. Kolkata's famous Fuchka, Mumbai's famous Pav Bhaji are being eaten here with equal enthusiasm. A boat ride can be equally enjoyable but the cost was too high at Rs.400 for 30 Minutes. Better to negotiate. 
Passages are well maintained, well lit up. But need good toilet facilities as well.",Jan-19
Hangout place of Kolkata,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_50,30-Jan-19,Princep Ghat is named after the James Princep memorial in that place. Circular Railway connect Princep Ghat with other railway sections of Kolkata. One can reach this place by Bus also. It is a nice place couples as well as for family to hangout.,Jan-19
One of those must do Kolkota site.,Sumith D,"Kochi, Kerala, India",ui_bubble_rating bubble_40,27-Jan-19,"I guess these are are all one of the sites there on every tourist guide book. We went on a weekend and it was really busy. Quite a lot of walking you can do. Gives you a great view of the monumental new howrah bridge. One can opto to take a boat ride from the ghat, watch out for slush on the steps at the ghat.There is also a british monument standing tall before the ghats. In the night when it is lit up, it looks very beautiful. 

It was teething with people from all works of life and you get to feel the energy of Kolkota.",Aug-18
Away from the hustle bustle - Your place for peace and beauty,Anu_Vibhor,"New Delhi, India",ui_bubble_rating bubble_50,23-Jan-19,This is a must visit place if you are in Kolkata. You can stroll at the ghat and then opt for a boat ride - you can enjoy the view of old and new Howrah bridge at both sides with the calmness of water. They take 300/- for half an hour which is expensive but worth it. There are small kiosk for snacks nearby. The river however is very dirty and not maintained. The ghat needs cleaning too.,Jan-19
The eye catching vista of the ghat !,kamakshi2015,"Bengaluru, India",ui_bubble_rating bubble_50,17-Jan-19,The boat / ferry ride in the river gives you the eye catching view of the famed ghat ( bank ) of this name . As the ferry comes near this ghat you catch the glimpse of the steps and the historic building on the horizon . The famed ghat is a well known landmark of the history . Boat ride is very nominal and frequent . The sheer pleasure of the being near it adds to its glory .,Jan-19
huge monument,AYUB J,"Kolkata, India",ui_bubble_rating bubble_30,7-Jan-19,a one of its kind monument of the british era still standing tall in kolkata near the ghats.a popular place for the kolkattans.,Mar-18
Evening visit to James Prinsep Ghat,SatyaS323,"Bengaluru, India",ui_bubble_rating bubble_50,5-Jan-19,"Amazing view of Vivekanand Setu, aka Second Howrah bridge as this bridge too joins the Howrah & Calcutta cities. The panoramic view of a lighted up Vivekanand Setu with boats sailing around is sheer delight to the eyes.",Dec-18
A historical place with beautiful view of river and well maintained green areas,AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_50,25-Dec-18,,
Amazing place,senjutsunade101,"Kolkata, India",ui_bubble_rating bubble_40,19-Dec-18,A very quiet place and so close view of Hoghly bridge.Trees are every where and the river.The best time to visit is summer during sunset.,Aug-18
Beautiful Ghat of Kolkata along Hoogley river ideal for boating just before Sunset,DurgeshRajadhyaksha,"Mumbai, India",ui_bubble_rating bubble_40,1-Dec-18,"Walk along from Babughat along the promenade , approx 1 Km distance, & plan a visit just before Sunset, between 4 to 5 pm. Enjoy a Boat ride, approx Rs 350 for 30 min. Capture the setting Sun with Howrah bridge in backdrop. Feel fresh & rejuvenated. Witness the rituals performed by Hindus along the Ghats. Easily reachable with leisurely walk from Esplanade, along Maidan, Eden Gardens etc.",Nov-18
Romance,Sounakfoodie,"Kolkata, India",ui_bubble_rating bubble_50,30-Nov-18,"This place has its own romance, in holidays this place is crowded like anything due to all the couples coming here to spend some alone time. as it happens the crowd never gives you your alone time. in weekdays or in the mornings this place is silent and very beautiful. people do photoshoots here as well.",Jan-18
The Picturesque Ghat of Kolkata,doibedouin,"Howrah, India",ui_bubble_rating bubble_50,24-Nov-18,"A stride along the river Ganges and have a pleasant sight of the twilight and the setting sun, the first name that would pop up in a Kolkatan's mind is that of Prinsep Ghat. The destination perfect for the amateur photographers; come evening, late afternoon rather, and the budding shutterbugs flock here to capture the mesmerizing twilight and the sunset. You reach here either from Esplanade, Kolkata or from Howrah. I would suggest a ferry ride from Howrah Ferry ghat to Babughat Kolkata to avoid the bus route in the peak evening hours; this would additionally charge up your mind by the fresh and breezy journey on the lonch",Jun-18
Evening walk at River side.,Vacationer710067,India,ui_bubble_rating bubble_40,22-Nov-18,A place for photography and mostly couples spend some good time here. Its is consider as Gate to Kolkata. You can walk alone and see the view of vidyasagar setu(Bridge) and little ahead the bank of Hoogly river.,Nov-18
Good Place,sucharitadaslbc1,"Kolkata, India",ui_bubble_rating bubble_40,14-Nov-18,This a very popular place to visit with friends & family members.It is also a very famous destination for photography.,Jan-18
Loved watching sunset,Indira2011,,ui_bubble_rating bubble_50,11-Nov-18,The Ghat is on the banks of river Ganga. We sat to relax and watch the sunset with several others. Eateries present too. Nice place.,Dec-17
Check out the elephant!,KrispyPlymouth,Plymouth,ui_bubble_rating bubble_30,5-Nov-18,"This is not a very interesting place to visit, but it has a few interesting floral displays including an elephant. Local people use the site for picnics. For me it was a quick look before catching the commuter train, very quiet on a Sunday, but fun ride as a tourist.",Oct-18
