title,username,location,rating,review_date,review_text,experience
Best Mall of Kolkata,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_40,25-Feb-19,"This mall is located near Park Circus. It is in the heart of the city. People come here to shop, eat, play and watch movies. Here you will find INOX to watch movies.",Nov-18
Beautiful brand mall,saada530,,ui_bubble_rating bubble_40,19-Feb-19,You will find all kinds of international and local brand products. Often you will get promo discounts. There is a grocery shop in the basement. If you are a Traveller the best way is to travel there by a taxi. I would recommend to go during the day hours since it's less crowded.,Feb-19
Good shops and Good Food Court,GlobalCitizen_2011,"Heidelberg, Germany",ui_bubble_rating bubble_50,5-Feb-19,I liked this mall on my recent trip to Kolkata. There are shops to cater to all your needs (even grocery) and then there is this nice food court with so many food options to choose from.,Jan-19
The Amazing Quest,mohammedwahid777,"Kolkata, India",ui_bubble_rating bubble_50,30-Jan-19,"Such a beautifull well stocked mall with famous brands . 
The collections are absouletly good and new. 
We always look forward to quest .",Jan-19
Nice mall,ChandanK728,"Kolkata, India",ui_bubble_rating bubble_50,21-Jan-19,"One of the best mall in kolkata. Good for shopping, eatouts and hangout place. We have been there for movies which was a good experience for us.",Aug-18
Good Mall,sudipta_heen123,"New Delhi, India",ui_bubble_rating bubble_50,18-Jan-19,This is of the newest and biggest mall in Kolkata.You can enjoy shopping here.Lot of food joints are also there.,Sep-18
Really good experience,apim,"Sydney, Australia",ui_bubble_rating bubble_50,17-Jan-19,Surprised to find a superbly well stocked Burberry shop in India which had our rare collection wallet in stock which was sold out in all of Australia... The mall itself is quite impressive in size and shop's offerings..,Dec-18
Good place for last moment buys,NafeeTA,"Dhaka City, Bangladesh",ui_bubble_rating bubble_40,8-Jan-19,"The mall has Spencer's, basically like a Carrefour. So you can buy some last minute chocolates, Haldiram's, and many other things that you might have wanted to get from Kolkata to take back home. They also have Lifestyle, a clothes shop, which offers many branded products at discounted prices. A good place food some good quality buys.",Jan-19
Good Place for shopping from branded store,Saheli P,India,ui_bubble_rating bubble_40,5-Jan-19,"The building of quest mall is well designed, very nicely decorated. It is a perfect place for do shopping from the branded stores. Clothes collection of the available stores are good. Food court in the top floor is pocket friendly though the movie ticket price is bit costly in the multiplex.",Jan-19
Nice place for quality shopping,asaduzzamaniqbal,"Dhaka City, Bangladesh",ui_bubble_rating bubble_40,31-Dec-18,"A good shopping place in Kolkata! 
You will get quality and brand items for shopping here. 
Spacious, nicely decorated and not so crowdy place for shoppers.",Dec-18
Quest,,,ui_bubble_rating bubble_40,27-Dec-18,This is a nice well decorated mall with many foreign brands in Kolkata.Top floor for foodies and for movie lovers.,Dec-18
Beautifullly Build | Each Level is designed based on the Brand Value Levels,,,ui_bubble_rating bubble_40,12-Dec-18,"Very Structured, huge and easy movement mall. The ground floor is all international brands with high to medium range products and outlets. The second floor is the relative mediocre brand which are Indian premium brands like Solly, LP. The 3rd floor is the most common brands with lot of accessories brands. The last floor is movie thetre. So, you will find all sort of crowd here.",Dec-18
Lots of foreign brands,rajveer0072016,"Kolkata, India",ui_bubble_rating bubble_40,9-Dec-18,Quest Mall is a nice well decorated mall in Kolkata with lots of foreign brands.But don't worry local company Spencer with others also here.Top floor for foodies and movie lovers.,Dec-18
One of the best,,,ui_bubble_rating bubble_40,27-Nov-18,Had everything you are looking fot in a mall. Especially enjoyed going to a movie here on my recent trip.,Nov-18
Great modern shopping mall,,,ui_bubble_rating bubble_50,19-Oct-18,"Very modern and clean. All name brands under one roof including a great supermarket Spencers - spent a bit of time browsing, prices were quite reasonable, awesome selection of goodies and well stocked, marked and priced. Amenities clean and maintained and easily accessible.",Sep-18
food court disorganization,,,ui_bubble_rating bubble_10,19-Sep-18,cheated off of rs 100 in the food court because the employee in charge of making card said we never gave it,Sep-18
Best for youngsters,,,ui_bubble_rating bubble_50,2-Sep-18,"Many of youngsters are like to hang out at this place, here you can find nice food code for eat and also a nice PVR where you can watch movies.",Oct-17
Mall with foreign brands,,,ui_bubble_rating bubble_40,16-Aug-18,Quest Mall is a well decorated mall.You can see many foreign brands here.Their is a cinema hall and food court for foodies in this mall.,Aug-18
Shopper's paradise,,,ui_bubble_rating bubble_50,7-Aug-18,"I quite love this place. You can find anything and everything there. Of course this a high-end mall, not for everybody. If you love reading, visit Starmarks, for grocery Spencer, I absolutely love Life Style. There food court and INOX are fab too!",Mar-18
"Most brand available, centrally located",,,ui_bubble_rating bubble_40,30-Jul-18,This mall is new and has all the premium brands. The PVR is also one of the best with Insignia theater. The eateries are several and excellent.,Jun-18
Hang outs best medicine,,,ui_bubble_rating bubble_50,23-Jul-18,U can come here for a chill... Free wifi from jio... A great coffee shop at 2nd floor... A store house of many brands from adidas armani rolex... Just have a visit and go to the food court.. enjoy?,Jul-18
