title,username,location,rating,review_date,review_text,experience
A good place for evenings,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_40,8-Mar-19,"We loved the Sarovar especially the ducks who play around. It's a serene lake with lots of birds and a small bridge over the lake. 

A good evening on the lake will be wonderful.",Feb-19
Rabindra Sarovar,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_40,27-Feb-19,Rabindra Sarovar is located in south kKolkata. The nearest metro railway is Rabindra Sarovar and nearest suburban train station is Tollygunge Station. It is one of the largest open areas in south Kolkata.,Nov-18
The green belt or lungs of south Kolkata.,chaudhuris1,"Kolkata, India",ui_bubble_rating bubble_50,25-Feb-19,A wonderful lake surrounded by thousands of trees and walkways.A paradise for morning & evening walkers in a clean environment.,Jan-19
Lover's point,himalayan_bantoo,"Mumbai, India",ui_bubble_rating bubble_40,19-Feb-19,"One may call this as lover's point as throughout the day and even when the Sun retires, couples never cease to come here. Recently this place has been renovated and the view of the lake filled with greenary all around makes the place more roamantic and peaceful for the love birds. I must mention that this was one of my favourite place when I was dating my first love.",Apr-18
A MUST VISIT PLACE,deepakananda,"Kolkata, India",ui_bubble_rating bubble_50,15-Feb-19,"This is an artificial lake , renamed after Rabindranath Tagore in 1958 by Calcutta Improvement trust. The lake and it's surroundings are popular recreational area in southern Kolkata. Water and trees makes it a heaven for various birds and it""s paradise for Bird watchers of Kolkata. Morning walkers , evening walkers , singers , guitarist all flock to Rabindra sarovar. Any tourist having time on hand may enjoy a leisurely walk at this park. Nice place to spend the extra time.",Feb-19
Nice pristine area,Gp Capt R K D,"Kolkata, India",ui_bubble_rating bubble_40,30-Jan-19,The lake side area of Rabindra Sarovar is one of my favorite areas.The evening and morning are the best time of the day. Ideal of walks and nature lovers,Jan-19
Nostalgia at Rabindra Sarover,sumitkasera,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,28-Jan-19,"Kolkata was my birthplace – place where I was born and brought up and where I lived for about 15 years. So when some reunion request came more than 28 years after I had left the City of Joy, I came back to the city. I used to live bang opposite Rabindra Sarover for about 3 years. The years were marked by a table-tennis centre at the Rabindra Sarover Stadium where I used to learn the game. There used to also run a very slow toy train that had disappeared now. There were possibly few boating options too –not seen again! The street food options were customary to the city – the puchkas (Gol Gappas as they are called in Kolkata), Muri, and host of other savouries. And last but not the least, it was the lung of city – a place where morning walkers and evening joggers used to run around. About 28 years later, the place was almost the same as I had left it. Almost I would say! The growing plastic menace meant that I was not allowed to carry a polythene bag (even with stuff inside it) with no place to keep. Finally, I stuffed the bag below my shirt to carry it along. An NGT warning screamed that no puja, community event or social picnic could be performed at the venue. Inside there were muri walas selling muri (puffed rice with potato, onion and spices).... Kolkata was my birthplace – place where I was born and brought up and where I lived for about 15 years. So when some reunion request came more than 28 years after I had left the City of Joy, I came back to the city. I used to live bang opposite Rabindra Sarover for about 3 years. The years were marked by a table-tennis centre at the Rabindra Sarover Stadium where I used to learn the game. There used to also run a very slow toy train that had disappeared now. There were possibly few boating options too –not seen again! The street food options were customary to the city – the puchkas (Gol Gappas as they are called in Kolkata), Muri, and host of other savouries. And last but not the least, it was the lung of city – a place where morning walkers and evening joggers used to run around. 

About 28 years later, the place was almost the same as I had left it. Almost I would say! 

The growing plastic menace meant that I was not allowed to carry a polythene bag (even with stuff inside it) with no place to keep. Finally, I stuffed the bag below my shirt to carry it along. An NGT warning screamed that no puja, community event or social picnic could be performed at the venue. Inside there were muri walas selling muri (puffed rice with potato, onion and spices). The most notable change of 28 years was that the bank of the lake was converted into a big promenade for people to stroll and have some fresh air. We could see many people walking or sitting alongside. There were dust bins around but I could see trash here and there – overall maintenance could have definitely been better. 

The water was not too dirty – many years ago we used to swim in it. A pair of ducks were making merry in the water. 

It was sheer nostalgia at Rabindra Sarover – a place to stay alongside a vast expanse of water, a promenade to take a leisurely stroll and a place to allow the lethargy of city to seep in and a place to savour the mesmerizing beauty of nature. More",Jan-19
The Pride Of South Kolkata!!,Padmini S,"Mumbai, India",ui_bubble_rating bubble_50,16-Jan-19,The Rabindra Sarovar is Kolkata's pride. It's well maintained and draws hundreds of health conscious citizens for their regular morning and evening walks and exercise. Sitting on one of the many benches and seeing the sun go down on a winter evening was a wonderful experience!!,Dec-18
Beautiful walking place,mita b,"New Delhi, India",ui_bubble_rating bubble_50,7-Jan-19,"In the heart of the city take a break among beautiful lakes and lovely old trees. There are a myriad birds including coot, cormorants. The lily pond has an air of neglect though. One can spend hours relaxing here.",Dec-18
A lovely water body in the center of city,AmolakRattanK,"New Delhi, India",ui_bubble_rating bubble_50,31-Dec-18,"This park and lake popularly known as Rabindra Sarover has improved a lot since we visited last. You can relax and enjoy at this place. 
Governor Amolak Rattan Kohli",Dec-18
