title,username,location,rating,review_date,review_text,experience
The woman who ate too many pineapples,Kerry P,"Sydney, Australia",ui_bubble_rating bubble_40,11-Mar-19,"Ask the friendly gatekeeper to tell you where to find her tomb. The cemetery has the biggest tombs I’ve seen, but then again I haven’t seen the pyramids.",Mar-19
Surprisingly interesting,Penwyllt,Shrewsbury,ui_bubble_rating bubble_40,1-Mar-19,There are some very large graves and mausoleums here some surprises are the son of Charles Dickens and other Colonial dignitaries all seemed to be trying to out do the other in homage after death.,Feb-19
Quiet Amid Chaos,Meredith M,"Paris, France",ui_bubble_rating bubble_50,27-Feb-19,"The South Park Street Cemetery is a wonderful haven of quiet in a chaotic part of Kolkata. The architecture of the tombs and the lush greenery takes you back to another era in time. Photographically, it is a treasure.",Feb-19
Poignant and peaceful,AnnabelleS116,,ui_bubble_rating bubble_40,19-Feb-19,"Park Street cemetery was active in the late 18th century and contains tombs 
of British residents in Calcutta, many of whom died very young. The tombs are interesting structures, the trees are lovely with many birds and the place provides a respite from the craziness of Kolkata.",Jan-19
Very green,Poulomi S,,ui_bubble_rating bubble_50,13-Feb-19,"A very green peaceful place, its full of trees and creepers and graves. Difficult that there is a street next with full traffic and this place is so silent",Dec-18
A snapshot of life,zigsterGoldCoast,gold coast,ui_bubble_rating bubble_40,12-Feb-19,This is a well restored cemetery that contains the tombs of mainly Europeans who died in Calcutta in the late 18th and 19th centuries. It is useful to purchase the well researched booklet at the cemetery (100 rupees) which provides some useful history of some of the people who were buried there. This is an extremely interesting place for people who enjoy history.,Feb-19
Faded glory and tragic deaths,John W,"Espoo, Finland",ui_bubble_rating bubble_50,10-Feb-19,A lovely cemetery if you enjoy this sort of thing. Opens at 9 am and totally empty on the times I visited.,Feb-19
Historic 18 century cemetery,wykham,"Sibford Gower, United Kingdom",ui_bubble_rating bubble_50,9-Feb-19,"The wonderful Park Street cemetery has been beautifully restored and is crammed 
with tombs from the 18 and 19 centuries, mainly of British residents in Calcutta. So many people died in infancy or at a very young age in Kolkata during that period. It 
is also an oasis of calm in the delightful madness which is Kolkata",Jan-19
SOUTH PARK STREET CEMETRY,raj b,"Bharuch, India",ui_bubble_rating bubble_40,8-Feb-19,This was a wonderful escape from the chaos that is Kolkata. Its right at the corner of Park street and A.J.C Bose road. Not many people go there so most likely you will have the place to yourself.,Oct-18
How sad that so many died so young,Alice C,"Stroud, United Kingdom",ui_bubble_rating bubble_40,4-Feb-19,This fascinating place is an oasis for the weary walker. So well cared for and very atmospheric. Lots of young couples enjoying the place too! The welcome at the gate was lovely.,Feb-19
A gem if a bit rundown,garhuff,"Atlanta, Georgia",ui_bubble_rating bubble_40,4-Feb-19,"This cemetery serves as a reminder of the British elite who came to India to earn their fame and fortune. Most died young either in battle or from disease. While less than well maintained, it does provide a bit of a snapshot into the 1750's era in Kolkata, when it was the second largest city in the Empire after London.",Feb-19
Park Street Cemetery,Soumyajit S,"Kolkata, India",ui_bubble_rating bubble_50,30-Jan-19,Park Cemetery is located near the mallick bazaar crossing. It is one of the oldest cemeteries in Kolkata. Here many people from British Era have been cremeted. Now there is a charge to enter the cemetery. Many famous people graves can be found here.,Dec-18
Out of sheer curiosity!!,Padmini S,"Mumbai, India",ui_bubble_rating bubble_50,22-Jan-19,I had heard so much about this place and hence decided to visit it on a winter afternoon in December. The cemetery became functional in 1767 and closed down in 1790. Well maintained they charge an entry fee and walking around we had a lot to explore. Henry Louis Vivian Derozio has been buried here. Longevity was a major issue with all those who had been laid to rest here as most of them did not cross forty and needless to say they were mainly Europeans. Probably they succumbed to the heat of the Indian subcontinent. This peaceful environment gives you time to ponder over so many things. One particular tomb was a comfortable bed for an old woman. It was a wonderful experience being here. More,Dec-18
