title,username,location,rating,review_date,review_text,experience
Immaculate Place,EricBMoney,,ui_bubble_rating bubble_40,6-Mar-19,Worth the stop. Such history and heritage. So much to learn about in the history of the City of Joy!,Mar-19
Fabulous Cathedral,Penwyllt,Shrewsbury,ui_bubble_rating bubble_40,1-Mar-19,This cathedral is close to the Victoria Memorial and well worth a quick walk around when you visit bboth,Feb-19
Saw the beautiful cathedral,EnakshiC,"Navi Mumbai, India",ui_bubble_rating bubble_40,1-Mar-19,"It is a huge cathedral and it’s calm and quiet to sit inside and pray or meditate. 
There was a fair happening inside and it was nice to see the fun activity.",Nov-18
Unique in India,W0lf1e,"Montreal, Canada",ui_bubble_rating bubble_40,27-Feb-19,"If you want to see Christian heritage in India, you should visit this cathedral. A peaceful and wonderful place.",Feb-19
"Beautiful outside, not much inside",lendvain,"Little Clacton, United Kingdom",ui_bubble_rating bubble_30,20-Feb-19,"It is a beautiful gothik church, worth a look around outside. At this moment the main altar is covered for some building work. So not much to see. The only good thing is the quietness. Coming from the busy, noisy roads of Kolkata it is a relief for the ears. And no photo inside!(?)",Feb-19
One of the famous Church in Kolkata.,himalayan_bantoo,"Mumbai, India",ui_bubble_rating bubble_50,20-Feb-19,"I have been to this place many times and never found a place more peaceful and full of positive vibes than this. This place gets beautifully lit and decorated during Christmas, needless to say. People of all religion comes here.",Mar-18
Nice old church,Petertheclaret,"Keighley, United Kingdom",ui_bubble_rating bubble_40,18-Feb-19,One of the places on the tourist trail. Ticked off! Not much else to say ... worth a look especially at the wording on some of the memorial tablets!,Feb-19
Very old church alongside Victoria memorial.,Christy_Steeve,"Bengaluru, India",ui_bubble_rating bubble_50,17-Feb-19,Huge beautiful church still with original woodwork. Beautiful altar. But building requires maintenance from outside...maybe a whitewash or a treatment to remove the black watermarks.,Feb-19
check opening times,Foxyausy,"Sydney, Australia",ui_bubble_rating bubble_20,13-Feb-19,Very run down Cathedral which the locals blame on lack of British funding. It is closed at lunch time. Plenty of parking in the garden,Dec-18
a grand building,Alice C,"Stroud, United Kingdom",ui_bubble_rating bubble_30,4-Feb-19,It is a pity that half the church is cordoned off so that it is difficult to see the Burne Jone widows in the sanctuary. There are interesting tombs and the history is clearly interesting but there was little information given.,Feb-19
