title,username,location,rating,review_date,review_text,experience
Great and best place,Shubham K,,ui_bubble_rating bubble_50,31-Jan-19,It's most memorable place which I deal in Munnar it's beyond my imagination different varieties of tea,Dec-18
Tourist photo place,prrateek,"Hyderabad, India",ui_bubble_rating bubble_30,24-Jan-19,"Located amidst local tea shops often tied up with ur driver, the tea garden is a small part on main Darjeeling area, the view is scenic but nothing about tea estate which u find in better places... costumes available on charge",Jan-19
beautiful view,Swatiib,"Dehradun, India",ui_bubble_rating bubble_40,21-Jan-19,The view to the Happy Valley Tea Garden is tough but once you reach the garden it is a beautiful. One can go to enjoy the view,Jan-19
Excellent views,NitinDara,"New Delhi, India",ui_bubble_rating bubble_50,17-Dec-18,"The trip through the Tea Estates leaves you mesmerized, acres of tea estate worth stopping and enjoying the views at a couple of points and photography",Oct-18
Happy Valley tea garden tour is a revealing delight!,santanufromkolkata,,ui_bubble_rating bubble_50,15-Dec-18,"The tea garden tour at Happy Valley is a new adventure of sorts, it lets us know the nitty gritty of the tea plantation, tea leaf plucking, and production of the best flavoured Darjeeling tea. You can also buy tea from here. The best part is tea tasting, which is part of the tour. The tour costs only Rs.100 per head. You can even wear the tea-leaf pluckers' dress and snap photos of yourself at a nominal fee of Rs.50.",Oct-18
Loved the place; Soothing to eyes,PrateekB200,"Navi Mumbai, India",ui_bubble_rating bubble_50,14-Dec-18,"I have found the most beautiful tea garden in my life in Darjeeling .The natural beauty is really nice. You can take photos.There are some points on the way from where the mountain vistas are simply spectacular. Sip some fantastic tea, and you can buy excellent varieties of tea from here.",Nov-18
Not good visit,shajukutty,"Pune, India",ui_bubble_rating bubble_20,4-Dec-18,"Visit to the tea estate was filled with high expectations but it was disappointing. 

It is part of the 7 point full day sightseeing trip. You can spend upto 15-30 mins here. 

Tea picker dresses are available which you can wear & click pics. 

Only a small portion of the estate is open for tourists,. There are fences which you need to jump to get to the larger area, although would not advise ;) 

Have chai at the entrance and move on to the next spot.",Sep-18
Gopaldhara tea estate,Sidharth2016,"Kolkata, India",ui_bubble_rating bubble_40,29-Nov-18,One of the best tea garden in this area I had been seen. A short visit we had been taking huge photo snaps here. The landscape was beautifull. A small tea shop was situated just opposite the said estate. You can buy varity of flavours of tea from that shop. A Goodrik tea garden also situated in that compound.,Nov-18
big tea garden,kpraneeth88,,ui_bubble_rating bubble_40,24-Nov-18,there are big tea gardens in darjeeling but the places they keep accessible for tourist is very small area.,Nov-18
Good Tea Garden,sucharitadaslbc1,"Kolkata, India",ui_bubble_rating bubble_40,15-Nov-18,Very good tea garden in Darjeeling.There is also tea shop so anybody can buy or taste the there tea.,Oct-18
Disappointed,,,ui_bubble_rating bubble_10,25-Oct-18,Its such a tiny space with few tea plants.Its not maintained well too.Nepali dresses are available to wear for pictures.Thats the only thing for what people go there.Otherwise its a disappointment for its famous names.You can skip this site and go on for the other destinations.Nothing to see,Oct-18
Wonderful Experience,,,ui_bubble_rating bubble_50,17-Oct-18,On the way to Gangtok from Darjeeling me and my bros visited in many tea garden.. It was a wonderful experience to see tea plants and how to plucked it... Huge gardening of tea plants...,Oct-18
small but OK,,,ui_bubble_rating bubble_30,15-Oct-18,small tea garden not so big u can dress Nepali dress there and take pics outside garden there are shop if u want to buy tea,Mar-18
Small tea Garden,,,ui_bubble_rating bubble_20,11-Oct-18,"Not so great tea garden. Most of the area is restricted. 
Tea plants are also not a tall ones that are good to see. We felt Ooty tea gardens a far better than these",Oct-18
View for great,,,ui_bubble_rating bubble_50,3-Oct-18,Beautiful and lush green tea garden on the hill was looking superb. The clouds were flowing in the air around you and make this place like heaven. Visited in April 2017.,Apr-18
Fun Visit!,,,ui_bubble_rating bubble_50,17-Sep-18,My friend and I dressed like Nepali ta pickers-complete with head basket. This was a fun trip to the tea garden. The tea samples were excellent and the views were beautiful (even when cloudy).,Aug-18
family tour,,,ui_bubble_rating bubble_50,1-Sep-18,Really good to see the mesmerizing valley of darjeeling and we had the chance to taste the darjeeling tea..and its worth,Aug-18
Photography only,,,ui_bubble_rating bubble_30,29-Aug-18,The Tea Gardens of Darjeeling are ill maintained and not worth visiting. You van have a stop over for the photograph and move.,Jun-18
such a nice experience,,,ui_bubble_rating bubble_40,28-Aug-18,it is such a wonderful experience to visit the tea garden in the lovely weather....you can buy tea as well from the various tea gardens...the views are awesome,Oct-17
Darjeeling Tea Gardens,,,ui_bubble_rating bubble_40,7-Aug-18,"Short drive from town, tea plantations on the mountainside, great view and wonderful experience. You can also buy tea and tea products along the road.",Apr-18
Amazing!!,,,ui_bubble_rating bubble_40,28-Jul-18,Well weather should also be helpful to visit this place. Crowded but it is worth attracting people. Nice experience.,Jun-18
Nice View,,,ui_bubble_rating bubble_50,19-Jul-18,It's nice to visit the Tea Garden in Darjeeling. Nice view and we had awesome tea in there. I would love to visit again.,Jul-18
Terriblr,,,ui_bubble_rating bubble_10,18-Jul-18,When u hire a taxi they would be yell no u 7 points but in reality they would just take u 3/4location among them this is the tea garden. Where u see just a little bit of tea plantation done it's a disasterous place,Jun-18
