title,username,location,rating,review_date,review_text,experience
Sunrise at Tiger Hill,dushyant_dabhi,"Ahmedabad, India",ui_bubble_rating bubble_50,25-Feb-19,It was a awesome & mind blowing experience to see the sunrise at Kanchanzanga the 3rd highest pick of the world.,Feb-19
Worth the early start and discomfort of the cold,Likesmifood,"Northampton, United Kingdom",ui_bubble_rating bubble_50,24-Feb-19,"A 4.30 start still didn’t mean we were first to arrive but our guide did make sure his local knowledge gave us the best spot to see the sun rise over Kangchenjunga. The weather was very cold! 4 layers were barely enough to keep out the chill!, and the cloud kept us in suspense almost the whole time we were there. 
Thankfully they cleared on cue and we had the most magnificent views of the mountains. The highlight of our trip to Darjiling.",Feb-19
The best hill,Shubham K,,ui_bubble_rating bubble_50,22-Feb-19,I see this type of attractive place in the hill I see many of the people visited this type of place.,Aug-18
Disappointing,Ketan P,,ui_bubble_rating bubble_30,22-Feb-19,This was a disappointing experience for us as we woke up at 03:30 am in the morning and reached tiger hill before sunrise at 05:00am. Unfortunately it was a cloudy day and we could not get a view of the Kanchangunga... Its always advisable to check the weather situation before planning your travel to Tiger Hill,Feb-19
"Don't miss it, worth the early morning rise!",SubhrajyotiC,"Kolkata, India",ui_bubble_rating bubble_50,19-Feb-19,You have to reach there by 4AM for the best views. It gets very crowded as its a major attraction for all tourists visiting Darjeeling year round!,Jan-19
Packed but for a reason,cooker3000,"Dublin, Ireland",ui_bubble_rating bubble_50,6-Feb-19,"Probably the definitive tourist experience in Darjeeling but you will not be on your own at sunrise. This place gets jammed; the only place I have seen like it at sunrise is Angkor Wat so be warned. If you want to get a good viewing spot you probably want to be here around 4am; wrap up warm though as it's cold up here. 
Is it worth it all the hassle to wake up early and brave the crowds? It definitely is. There is a reason so many come here and you should also see it for yourself.",Oct-18
Hype Created...,Anil R,,ui_bubble_rating bubble_30,4-Feb-19,I had visited this place in Jan 2019. I would say there is so much hype created about this place. There are several other places in Darjeeling where you can have much better view of Kanchenjunga range.,Jan-19
All roads to Tiger Hills.,Mperor,"Bengaluru, India",ui_bubble_rating bubble_40,2-Feb-19,It is morning 0430 and the hill station is bust with vehicles and tourists. All roads lead to Tiger Hills. A must in the itinerary for seeing the sunrise. The sun rays on the peak Kanchenjunga and the golden view of mountains are awesome.,Dec-18
Unique Experience..,drkakkar,"Chandigarh, India",ui_bubble_rating bubble_50,29-Jan-19,"If kids, take adequate woollens. One has to reach by 4.30am, to get a good place to watch sunrise. As it is in open, can get very cold, hence plan accordingly. 
The sunrise was a humbling experience and one can see nature at its best there. If lucky, Kanchenjunga massif can be seen best from Tiger Hill..",Jan-19
Midas moment of gold,prrateek,"Hyderabad, India",ui_bubble_rating bubble_30,28-Jan-19,"We reached at shivering 4 am to witness the sunrise at 630 as drivers compel u owing to parking concern. The view of golden blessed mountain Kanchenjunga is a spectacle and a Midas moment to behold. The lack of facility, under construction view area with no safety, signage s are currently a big worry as I fell down owing to the half laid concrete and my leg was bad but had no help with even basic facilities",Jan-19
Best start of the day,,,ui_bubble_rating bubble_50,26-Jan-19,This place offers you the best start of the day. You have a complete view of sunrise and it's reflection of beautiful snow clad mountains. However on cloudy days you may not have the view. I am attaching some photos taken during the visit.,Dec-18
Nice place to hangout :) at early morning 5.30am at freezing cold,,,ui_bubble_rating bubble_50,24-Jan-19,This the is lifetime experience if you happen to visit this place at 5.30am in the morning and by around 5.45 to 6.15 you can experience the golden line which forms on the other end of mountain and this Silver mountain will arise in front of you .... There is no words to explain until experienced...,Jan-19
Tiger Hills,,,ui_bubble_rating bubble_50,24-Jan-19,"Tiger Hills are really beautiful place to visit , Once in a life time experience, enjoying sunrise at morning 5 AM at 4 degree Temperature.",Jan-19
A surreal experience,,,ui_bubble_rating bubble_50,19-Jan-19,By far the highlight of our holiday...just to see the first rays of sunlight on the mighty Kanchenjunga was an unforgettable and priceless experience. Go early at least 2 hours before sunrise to both get a good spot and parking space!!,Jan-19
Morning starts with Sunrise,,,ui_bubble_rating bubble_50,13-Jan-19,"Tiger Hill is located 11kms (6.8 miles) from Darjeeling town and above Ghum. It's the highest point in Darjeeling hills at an altitude of 8482 feet. The best season to see the dazzling snow covered peaks as the sun rises is between November to January. Summer seasons March to April is also a good time. For sunrise, you will need to start by 3:30am in the morning towards the watching tower by trekking to reach the spot by 4.15am. Some taxi drivers will insist that you start even earlier. There is a reason why. As you reach close to the summit, particularly during the high season there would be a long queue of cars. Hundreds of tourists come here every day for the sunrise view during the high season. As a result, you may have to walk uphill quite a bit as your vehicle may be parked much below the top. Peoples are taking position to watch the sunrise & eagerly waiting. Hundreds of cameras & mobiles’ are ready for shooting sunrise scenario. Morning sky, cool down environment & audience. First comes up thin golden rays from the eastern side from where sun will arise, by seeing the rays peoples voice starts. Now Sun starts arising from the back of the mountain with a very red golden sun look like a ball & peoples started chiming & taking photos of the scene. Remember, if weather permits then you can enjoy... Tiger Hill is located 11kms (6.8 miles) from Darjeeling town and above Ghum. It's the highest point in Darjeeling hills at an altitude of 8482 feet. The best season to see the dazzling snow covered peaks as the sun rises is between November to January. Summer seasons March to April is also a good time. 
For sunrise, you will need to start by 3:30am in the morning towards the watching tower by trekking to reach the spot by 4.15am. Some taxi drivers will insist that you start even earlier. There is a reason why. As you reach close to the summit, particularly during the high season there would be a long queue of cars. Hundreds of tourists come here every day for the sunrise view during the high season. As a result, you may have to walk uphill quite a bit as your vehicle may be parked much below the top. 
Peoples are taking position to watch the sunrise & eagerly waiting. Hundreds of cameras & mobiles’ are ready for shooting sunrise scenario. Morning sky, cool down environment & audience. First comes up thin golden rays from the eastern side from where sun will arise, by seeing the rays peoples voice starts. Now Sun starts arising from the back of the mountain with a very red golden sun look like a ball & peoples started chiming & taking photos of the scene. 

Remember, if weather permits then you can enjoy the sunrise, weather can change anytime. The fog and the mist play a mystical game here all the time. They can come from nowhere and put a white blanket all around. So no one can guarantee a perfect sunrise view from Tiger Hill or from anywhere in Darjeeling. 

Tourists are able to see the sun after it has risen quite a bit in the sky and not when they want to see it rising over the horizon and spreading its multicolor hue on the snow capped peaks. More",Nov-18
Must see place,,,ui_bubble_rating bubble_50,11-Jan-19,If you want to see a clear view of kanchenjunga from a very high altitude then this place is for you. It’s quite on a very heightened level and great for clicking pictures. It’ll be a photographers paradise if one has some photography skills. Some kinda construction was going on when i visited but still you will get to see the great view of this beautiful hill station. It is crowded in the morning to see the sunrise but it’s worth watching.,Jan-19
This place defines Darjeeling,,,ui_bubble_rating bubble_50,9-Jan-19,This is an amazing place located a little ahead of Darjeeling’s Ghum area. The drive to the place is simply spectacular and it is a must visit to see the view of Kanchenjunga range. A very early morning sunrise time is much recommended. One should ideally reach the place before sunrise to see the spectacular view,Jan-19
The only Thing to visit in Darjeeling,,,ui_bubble_rating bubble_50,8-Jan-19,"This the only best thing in darjeeling ... 
you need to reach there by 5.30 by that time it will be crowded find the best view place and settle there .... if not later it will be crowded and you may miss the view ...",Dec-18
good view of sunrise on Kanchenjunga,,,ui_bubble_rating bubble_30,5-Jan-19,"Once again Kanchenjunga is the highlight of the site as we see a majestic sunrise on the peak in full splendour ... 
As the infra for the place was still being developed in the form of a sitting podium , there still is a lot to be develped to make this attraction easy going for the tourists ... first we have to get up real early for this ... add to it the travel and then the walk up the hill for around 15 mins as the cars and vans start their parking at the base so as to facilitate easy moving out otherwise the jam is very harrowing . 
There is no security at the place not to mention basic amenities like toilets etc ...even for the gents!!!! 
This is truly a test of mans perseverence to see natures splendour in the face of all hardships... recommened to visit however do clothe yourself up well as the temperature dips on this place especially if there is less crowd. More",Dec-18
Breathtaking!!,,,ui_bubble_rating bubble_40,3-Jan-19,"If you are holidaying in December, it is best to check the weather forecast before heading out to Tiger Hill as it takes approx. 5 hours from any resort to Tiger Hill and back as one has to leave early to beat the traffic and catch a spot to experience the first sun rays on the Kanchenjunga. We were there on a clear day but it was supremely cold (2 degrees). While we had multiple layers of woolens on us, it was clearly inadequate as the wind chill at that height was nasty!! A thick jacket and a blanket (if one can manage that) is required. In spite of the weather we got great views of the sunrise and the golden hue on the mountain! It was simply breathtaking. My advice is to not focus on taking too many photographs but just admire and soak in the majestic view. Some things are best viewed through the naked eye and not through a camera lens. More",Dec-18
Eye catching sunrise,,,ui_bubble_rating bubble_50,29-Dec-18,Saw them for the first time in my like. I was happy like a kid.. shivering in 2 degree.. please carry enough woollen cloths so that you don’t become ice. There will be a lot of people at the location so take place facing mountains.,Dec-18
Needs major development,,,ui_bubble_rating bubble_20,24-Dec-18,"Though the views are breath taking and the drive quite pleasant, there isn't much to do here especially because there isn't even a single place to sit. There is no washroom close by either. Really needs development given the major tourist pull this place has.",Nov-18
Mind blowing marvellous memorable view,,,ui_bubble_rating bubble_50,22-Dec-18,"What a view we got, I can't forget. It was such a moment that I never want to forget. The top of the mountain peak was covered with ice, when sunlight fell on it,it became little pinkish..that was the perfect view. We were lucky that we could see it clearly.",Nov-18
