title,username,location,rating,review_date,review_text,experience
A must,Logan1582,"Ipoh, Malaysia",ui_bubble_rating bubble_50,6-Mar-19,The beauty of this place still shines. Hope the indian government can preserve it in future. Require more systematic arrangements and nice lights.,Mar-19
Nice day trip,wanderer2174,"Mumbai, India",ui_bubble_rating bubble_30,6-Mar-19,"Victoria Memorial hall was very fascinating in the pictures but when one goes to visit it, its a litte different story...!!! The monument is a nice memorial hall no doubt but the museum inside could have done much better...!!! Some pieces are so dusty and not at all maintained !!! The grounds are very nice for picnics and greenery all around. 

The thing to notice was that they issue tickets worth Rs. 30/- for the museum and Rs. 10/- is apparently covered for visiting the grounds !! but the Rs. 10/- ticket is not issued...its very funny and there was no one we could talk to about.. though the amount is not much but the number of ppl visiting this place especially on weekends is large !! I hope the appropriate authority takes note of this. 

If you have time, then pl definitely visit. More",Feb-19
Historical place,Marlis0707,"London, United Kingdom",ui_bubble_rating bubble_40,4-Mar-19,"It’s a must see in Kolkata. 
It’s a great piece of architecture in memory of queen Victoria. 
The entry fee foreigners are 500 rupees compared to 30 rupees for Indians. 
It looks amazing from the outside, inside there are lots of paintings etc, should be better maintained, looks all tidy but could be cleaned better. 
The grounds are tidy and it’s nice to stroll around. There were lots of local people enjoying their day out in the grounds. 
Would be nice if there was a cafeteria for refreshments and were you could sit and enjoy the peace of garden away from the hustle and bustle of Kolkata. I am sure it would be well attended. More",Oct-18
"Spend a Day, but take a Guide for Inside.",Pradip B,"Kolkata, India",ui_bubble_rating bubble_40,4-Mar-19,"The place is worth spending a whole day, The exhibits inside are maintained meticulously. The Lawn outside is a beauty in itself. One can sit and spend the whole day in that natural beauty. The entry-fees are moderate, compared to the cost of maintenance of the monument and its surroundings. 

We were unlucky to miss the Light & Sound Show, which we believe is of great quality",Feb-19
An oasis legacy of the raj,garychopel,"Gangtok, India",ui_bubble_rating bubble_40,4-Mar-19,"This place is so iconic and it amazes one with the masterplanning and vision of the British Raj.. the promenade, vistas, sprawling lawns are most memorable.. I feel a memorial like this should also be open during the late hours, at least the lawns so that one can soak into the beauty of its architecture..",Dec-18
Tourist spot,frektraveller,,ui_bubble_rating bubble_40,4-Mar-19,A very good place to visit. The memorial is very well maintained by the government. The entry fees are very good and the best time is in morning,Mar-19
Very beautiful,294nellys,"Kolkata, India",ui_bubble_rating bubble_40,4-Mar-19,We did not get inside as the tariff for foreigners was a bit too high compared to indian price. 30 to 500 inr..But didn't mind it at all we took the garden ticket and had a very nice time,Mar-19
Absolutely Amazing building,982rodneyl,"Grande Prairie, Canada",ui_bubble_rating bubble_50,3-Mar-19,The Victoria Memorial Hall is an outstanding piece of architecture which is worth the visit even if there was nothing else there! There are however some great period paintings in the one exhibition hall- a couple that are worth the journey all by themselves. The other exhibition hall has a typical historical recirc with really good explanations and artifacts. Gardens arestunning,Feb-19
Building par excellence comparable with the Taj Mahal,Ayan S,,ui_bubble_rating bubble_50,3-Mar-19,A sprawling museum of British era built in memory of Queen Victoria is a marble Palace with fantastic dome situated at the middle of lush green lawn and four water bodies at four corners which is an architectural marvel comparable to an extent with the Taj Mahal. With a huge black fairy atop the dome which used to revolve on its axis earlier. The museum showcases many historical artifacts and is presently well maintained by the authorities. Many cultural events are organized here regularly. Currently KIPF2019 is being held upto 6th March is a grand event. The entry fee for an adult is thirty rupees consolidated charge and if one desire to visit the lawn only then they have to pay twenty rupees per head. More,Mar-19
Crown jewel of Kolkata,Zinia F,,ui_bubble_rating bubble_50,2-Mar-19,"First thing that comes to mind when visiting Kolkata is the Victoria Memorial, and rightfully so. 
Excellent architecture, sculpture and there is a lot to explore for the history buffs. Although I had to leave early as suddenly I got very hungry and my blood pressure went down. 
Taking photos are prohibited inside the museum.",Feb-19
Impressive monument,PashWagMan,"Burnham-On-Sea, United Kingdom",ui_bubble_rating bubble_50,2-Mar-19,A beautiful building that is a fine tribute to Queen Victoria. Its sheer scale is breathtaking and the exhibits provide a good insight in the history of the country.,Jan-19
