title,username,location,rating,review_date,review_text,experience
History n culture of andaman n nicobar,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,28-Apr-19,The museum has records of various tribes of the region n islands. Artifacts used by the tribes are in display. Historical summary of all of Andaman to present day is shown. Entry fee is rs 10 and photography n videography is prohibited.,Apr-19
Detailed and informative summary of people in the islands,AP1729,,ui_bubble_rating bubble_50,28-Apr-19,Its a very nice museum where they talk about the various tribes who originally settled there. They have many objects from these tribes as well as detailed info about them.,Apr-19
Ok,291273,,ui_bubble_rating bubble_30,25-Apr-19,It's just ok type of muesum u can give it miss we just went as our flight was late just to kill the time nothing great,Apr-19
Must visit,drravistar,,ui_bubble_rating bubble_50,17-Apr-19,,
Interesting place to know about the tribals,Gurdev,Bangalore,ui_bubble_rating bubble_30,30-Mar-19,,
Learnt a lot about the history of the islanders,Angsuman C,New Delhi,ui_bubble_rating bubble_50,26-Mar-19,Excellent collection of knowledge about the local tribes. The site displays their culture and history of their evolution very nicely.,Dec-18
Got to know about local tribes,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,"This place is good to visit if you want to understand how the local tribes used to live. Who were the natives of Andaman. It nicely covers information on Jarwa, Shompen, Sentinelese, and Onge.",Mar-19
Nothing interesting for most tourists.,sangishan,,ui_bubble_rating bubble_20,18-Feb-19,Only if you are interested in knowing about the different tribes of Andamans and Car Nicobar should you visit this museum.For most other tourists it is not at all interesting.,Jan-19
must visit,Zoya112,,ui_bubble_rating bubble_50,10-Feb-19,"interesting to know more about the tribes in andaman 

they need to market this treasure better with more audio visual",Feb-19
Anthropological Museum,cosmopolitan719353,,ui_bubble_rating bubble_40,17-Jan-19,"Anthropological Museum is a govt. museum which gives you an insight about tribes of Andaman and Nicobar islands. It has good collection of displays which shows the kind of life these tribe live in, their way of life and the kind of instruments they use. Gives good insight into brief history of tribal life of the island.",Feb-18
Can be avoided if you have seen the Kalapani Museum,ashokj338,"Pune, India",ui_bubble_rating bubble_20,13-Jan-19,This is spread over three floors and duplicates most things in the Kalapani Museum except that there are no proper guides. Exhibits have photos and sketches of the tribes of Andamaans their lifestyles etc.,Jan-19
Unique museum on tribes of Andaman & Nicobar,Avinash_blr,"Bengaluru, India",ui_bubble_rating bubble_30,04-Jan-19,"It's a unique museum on life of Tribals of A&N islands. Nice pictures. But there could be so much more. Some basics about their food habits, language, cultural practices should have been there. Dioramas would have been interesting to have.",Dec-18
Great place to explore Tribes !,mayureshm177,India,ui_bubble_rating bubble_50,27-Dec-18,"Very nicely preserved and maintained museum. It shows lots of information on Tribals and their lives, various day to day tools and lot more. Worth a visit !",Dec-18
Good museum,nkadagarwal,"New Delhi, India",ui_bubble_rating bubble_40,24-Dec-18,This is good museum to visit. Camera not allowed inside the museum. This museum tell about the trible of andaman and there living standard.,Nov-18
No photography allowed! Boring place! Visit if you like to watch tribals lifestyle!,AshokNrao,"Bangalore, Karnataka, India",ui_bubble_rating bubble_20,12-Dec-18,"Whole place is a boring place and have to pay 10rs. entry fee! 
Whole place is filled with aboriginal tribal community pics and their tools and huts! 

Not a good place to visit for kids n honeymooners! 
All in all not a good visit!",Dec-18
Interesting place to visit.,anamikaanny,"New Delhi, India",ui_bubble_rating bubble_40,11-Dec-18,If you are interested in Tribal lives and their life style then this place is a must go for you. No camera allowed and just everything there is about different tribes and origins . I personally enjoyed. Hardly took 45 minutes.,Dec-18
museum time,mehtarakeshkumar56,"New Delhi, India",ui_bubble_rating bubble_50,10-Dec-18,"the museum showcase the history of island , information on the tribes of the island , information about the flaura and fauna of the island",Dec-18
Just a Museum.,Pramod J,"Mumbai, India",ui_bubble_rating bubble_30,03-Dec-18,"After enjoying Naval Marine museum, this place is not so exciting, even though it gives a lots of information about Andaman, the people there etc.,",Nov-18
Worth a quick tour,kneewarp,"Bengaluru, India",ui_bubble_rating bubble_40,27-Nov-18,"The museum has artifacts on the locals and tribes of Andamans. It is an interesting dimension in history and human-kind. It is right opposite to the tourism office where you get tickets to Jolly Buoy - if the queues are long, this museum is specially worth a quick tour!",Jan-18
Too good,Anindita2804,"Anand, India",ui_bubble_rating bubble_50,22-Nov-18,Its a must visit for understanding the cultural side of the beautiful islands. It is well maintained and the staff is cooperatie.,Nov-18
Tribes on the floor,Quest819092,,ui_bubble_rating bubble_40,22-Nov-18,If you have respect for tribal culture then this place for you for sure. Every tribes of the island displayed here with their own separate culture and equipments.,Nov-18
One hour is sufficient,akshayrathor,"New Delhi, India",ui_bubble_rating bubble_40,20-Nov-18,To see this museum you can reserve 1 hour .This is best to see the photos of jungle people .how they live on island without modern facilities .,Nov-18
It was interesting,qusay007,"Mumbai, India",ui_bubble_rating bubble_30,16-Nov-18,It was a very good exhibit about the island heritage. Children like it because of the various tools and costumes and models displayed.,Nov-18
Yeah good,advaitkothurkar,"Pune, India",ui_bubble_rating bubble_40,14-Nov-18,Informative about the origins of the people in the island and local tribes.. must see for understanding the local cultures and getting the background of the people locally... would recommend heartily,Nov-18
"INTERESTING MUSEUM: POORLY LIT, BAD DISPLAY",chow69,"Bhopal, India",ui_bubble_rating bubble_30,12-Nov-18,This museum of the State Government is another good place to start one's tour of the Andamans. The displays are unique and really interesting. It gives one a clear picture of the various tribes of the Andaman and Nicobar Islands. The display halls are large and adequately spaced. The collection on display is good but the same is displayed in a very shoddy manner. The place is poorly lit and makes one wonder as to why is there so much disinterest in the Government of the State when the state thrives on tourism. Never the less worth a visit.,Nov-18
Vacation at andaman,amit b,"Pune, India",ui_bubble_rating bubble_50,12-Nov-18,Visit to this museum was worth. Andamanese culture & tribal artifacts marvellously displayed. A must in your itenery list. Centrally located at Port Blair. You can avoid other museums if you feel so. Don't miss this one.,Nov-18
Good but exhibited poorly...,103sudhir,,ui_bubble_rating bubble_30,10-Nov-18,As it had very good collection of past and present history of Islanders and island but exhibited very oldy way... But even good to visit only take a hour. Government should work on to make it more attractive...,Oct-18
A good but dull museum,kikibee420,"Bengaluru, India",ui_bubble_rating bubble_30,09-Nov-18,"The idea behind the museum needs to b appreciated - they have tried to throw light on the various tribes of the Andaman and Nicobar islands and have photos, objects, installations related to the tribes. I wish it was presented with a little more vibrancy and energy. Looks dull and sad now. 
An elevator is available for use by 'the physically challenged and senior citizen visitors only'. Restrooms are also available.",Nov-18
A Govt Museum . Ideal for the serious tourists,81anupamm,"kolkata, India",ui_bubble_rating bubble_40,08-Nov-18,"A Old museum located in the centre of the town has the potential to become the centre of attraction if the collections are presented in a better manner.Still very informative ,specially on the indigenous tribes of the Andaman Islands .",Nov-18
Neglected history.,669aditim,"New Delhi, India",ui_bubble_rating bubble_20,27-Oct-18,"The Museum was quite pathetic. 
It had a sleepy musty air ... I felt I had stepped into 1940! 
The museum ended before it began! 
The exhibits were displayed quite badly. 
As a student of history o could make sense of the artefacts and homes but for the layman it was not done well at all. 
Natural habitat can be shown so much more nicely.",Oct-18
Good museum.,S. Lakshmi N,,ui_bubble_rating bubble_40,20-Oct-18,"Entrance fee is Rs. 20 (Sep 2018). It will take around 1 to 1.5 hours to cover this. Model huts of Andaman and Nicobar tribals, their weapons and other artifacts are displayed.",Oct-18
Anthro..... what? Oh.. human societies...,mohanmonu99,"Bengaluru, India",ui_bubble_rating bubble_40,07-Oct-18,"Beautiful details about the tribes and natives of Andaman and Nicobar islands. The museum is a treasure of information. 

No photography, even with mobile phones is allowed which i feel is great. It is highly irritating that many places charge for carrying a camera but people with cell phones just click away in glory and disturb everyone around without paying a penny. 

It has to be improved a lot and I would recommend an audio guide to explain all the artifacts so that the interest remains till the end. 

A small tip to the staff, please refrain from keeping modern day articles and utensils along with the displayed artifacts, it gives a very wrong impression More",Oct-18
Great Information on Local Tribes and Islands,Sidhant_Sharma,"Chandigarh, India",ui_bubble_rating bubble_40,07-Oct-18,"This museum is situated in the heart of the city and contains info about all the 8 tribes that inhabit the islands, their culture, lifestyle and also has dummy huts and tools to showcase their life as a whole. This is a brilliant place to gather some extra knowledge before exploring various places in the main island and around. Its got 3 floors and entire tour may take about 1-2 hours if one goes about slowly reading the entire texts and showcases. Must Visit.",Sep-18
A glimpse of A&N island life,RamanujamMN,"Bengaluru, India",ui_bubble_rating bubble_50,02-Oct-18,"Its best to visit this place before you start the tour, as you can understand the past and current, very important you get a glimpse of where & what.",Jun-18
Takes you back in Time,Ricardo M,Pune,ui_bubble_rating bubble_40,19-Sep-18,We visited the Museum & was immediately taken aback with the variety of instruments used by the first people who lived on The Island as well as the pictures,May-18
Nice heritage place,ankitbrat,"New Delhi, India",ui_bubble_rating bubble_40,13-Sep-18,"Very nice place to look at the history of the andaman and the rich heritage of the place . You will find all the history of tribes, culture, species of animal , equipment, weapons, clothing & boats . A must visit place which will just take less then 1 hour.",Sep-18
Feel the tribal culture,AnirbanS199,"Mecheda, India",ui_bubble_rating bubble_50,12-Sep-18,Basically it is the tribal meusium.here tribals are known as 'jaroa'.all the things they use for their daily needs are kept here.here the actual environment is created.just feel the tribal...,Sep-17
Good understanding of the culture and city,VinayakM170,"Bangalore District, India",ui_bubble_rating bubble_40,29-Aug-18,IT gives a very comprehensive outlook of the islands and lets you appreciate the rich cultures of the tribes in the island.,Apr-18
Not that great,Mugunthan2015,"Chennai, India",ui_bubble_rating bubble_40,18-Aug-18,"Anthropological Museum is situated at the middle point in Port Blair. The museum portraits the islands local community of tribes. These tribes are considered as one of the oldest in the world. Some of which are still living in the denser sections of Andaman islands. This museum depicts all their story and life. 

A book and souvenir shop also there near the entrance. The time required here is completely depends on the interest. I have spent some 20-25 minutes here.",Nov-17
Very well Informative,Raj_Josh,"Abu Dhabi, United Arab Emirates",ui_bubble_rating bubble_50,10-Aug-18,"It describes generally on all the tribes reside in Andaman and Nikobar islands. JARWAs claim more population among all the tribes. It narrates their life style, good audio - visuals.",May-18
Not a great use of time.,LuvToEatOut,"San Jose, CA",ui_bubble_rating bubble_30,10-Aug-18,"The anthropological museum presents the story of the peoples of the Andaman and Nicobar islands. The exhibits are not very good though and I'd say that the Nicobari exhibits are significantly better than the ones related to the Andamans, which is a shame given the location. 

Photography is not permitted in the museum, and they ask you to check your camera at the desk if you have one. I can't imagine why they disallow photography here, but honestly, there probably isn't much you'd want to photograph anyway.",Aug-18
Museum,Somenath B,"Kolkata, India",ui_bubble_rating bubble_30,07-Aug-18,An average museum as the exhibits are not Very good according to my opinion. Can be better specially all the tribes should be exhibited elaborately.,Sep-17
informative and nostalgic...,Vijaylaxmi U,,ui_bubble_rating bubble_50,29-Jul-18,"I enjoyed my visit to Anthropological museum...So nice and good. It was very informative..educative...of value...excellent....enjoyed tremendously....worth visiting... 
love to visit again and again... 
Visited the gift shop but sorry to say they charge four times the amount for an ear ring red coral than I got from cellular jail....you cannot exploit the tourist like that..be reasonable and maintain the decorum , transparency and the good name of the Islands...Islands are history so please request the gift shop not the cheat the tourist..have a rate that is on par with the other shops and what has to be charged...",Jul-18
anthropological museum,simran s,"Pali, India",ui_bubble_rating bubble_40,16-Jul-18,,
Good Educative Museum,ParwathiH,,ui_bubble_rating bubble_40,18-Jun-18,The Anthropological Museum is a very good place to visit to know about the various tribes of Andaman and Nicobar Islands. One can by just spending here an hour or two get a lot of knowledge which otherwise is found wanting in the normal tourist brochures.,Mar-18
Know Andaman history,Sampath99,"Hyderabad, India",ui_bubble_rating bubble_40,02-Jun-18,The museum helps explore the history of Andaman Islands along with the people who have migrated or originally from the island. It also gives a sneak peek into the lifestyle of tribes part of different islands. A must visit place if you are interested in history,May-18
Visit if you really want to know the natives and their cultures,Sravan1982,Bangalore,ui_bubble_rating bubble_40,28-May-18,"Good demonstrations of different tribes in A&N Islands. 

But not very clean. 
Appearance can be improved. 
Not very greatly maintained. 
Little bland look. 

But has some good collection of demonstrations.",May-18
Know our ancestors,Vaithir,"Chennai, India",ui_bubble_rating bubble_50,26-May-18,"The information is a must to know and if you have recently read books like Homo sapiens etc you will connect well with this place 

It is a surprise to see that even today there are people with very little contact with external world. 

I was wondering how life is a struggle when we post visits on hand held phones and there are people who are connected with nature alone.",May-18
Must Visit Museum,mkantak,"Pune, India",ui_bubble_rating bubble_40,25-May-18,2 storey museum depicting the lifestyle of earlier settlers on Andaman & Nicobar Island. Good place to visit.,May-18
Tribal culture of Andaman and Nicobar,abhay60,"Udaipur, India",ui_bubble_rating bubble_40,23-May-18,The museum is giving you a broad information about the tribes of Andaman and Nicobar Island group. Very informative and impressive collection of things and culture of all the tribes of Islands.,May-18
A must visit museum,PekayNoida,Noida,ui_bubble_rating bubble_40,22-May-18,"Not many agents , including Travel Triangle do not include this museum in the itenarary. WHY ?? 
The Anadaman ourist dept should on their site emphasize that a tourist should visit this. The tribes whom you cannot see and the forbidden hidden treasures of this nation you see them.",May-18
Family visit,Jalaramaaih V,"Bengaluru, India",ui_bubble_rating bubble_40,05-May-18,"The museum is informative and educative, it show cases life style of various tribes in Andaman slands",Apr-18
About Tribal life of Andaman and Nicobar islands.,karswarna,"Bhubaneswar, India",ui_bubble_rating bubble_40,03-May-18,"It shows the way and lives of tribal people and their living style. Andaman tribes are different from Nicobar tribes. The tools, the huts ,the clothing all things are vividly demonstrated. There is no AC , so we have to be more tolerant towards hot and sweat.",May-18
See Local Life,smborole,"Pune, India",ui_bubble_rating bubble_40,01-May-18,"Visiting this place, one can understand the lifestyle of locals including their costumes, huts and many more things about their life.",Apr-18
A must visit,ersdsiva,,ui_bubble_rating bubble_50,29-Apr-18,The place is a must visit with kids for knowing about the culture of andaman and Nicobarese people. The visit was fruitful.,Apr-18
worth visiting,chetanar17,,ui_bubble_rating bubble_50,26-Apr-18,very good insight into the life of tribals and their lives.quite a vast collection of photos and artifacts related to them.very knowledgeble place.but cameras and photography is not allowed and this could attrach a heavy fine.,Apr-18
An eye opener at the native tribes of Andaman & Nicobar,tarit1979,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,24-Apr-18,This museum brings out great details of various tribes and other later settler populations in these islands. The exhibits are explained in great detail and also the explanations quite comprehensive. You wonder at the diversity of this country of ours.,Apr-18
Andaman culture museum,advance1984,"New Delhi, India",ui_bubble_rating bubble_40,21-Apr-18,This is good museum to visit. This museum tell you the living style and culture of great andamanese. Camera not allowed inside this museum.,Jan-18
The most interesting point of Port Blair,Stephanie C,"Lausanne, Switzerland",ui_bubble_rating bubble_40,20-Apr-18,"Good explanations about the local tribes, with good examples, pictures, house reconstitutions and objects. The presentation is a little bit ""old-school"", but good informations. A little bit to expensive for foreigners (in comparison with locals).",Apr-18
Good place for kids,KishenHarendra,"Bengaluru, India",ui_bubble_rating bubble_40,17-Apr-18,Well when you are in a place where you can enjoy seeing marine life doing a scuba why would you enter an aquarium...but if you have small kids who cannot enter the waters then this is the place to be,Dec-17
Not for internazional visitors,Angela F,"Novara, Piemonte, Italy",ui_bubble_rating bubble_20,07-Apr-18,"I visited this museum on by myself. I paid an exaggerate price in comparison to locale. The museum is very poor, panels and glass are old and not clean. Rooms are very few. The personnel at the book shop was rude with me. I definitely did not like",Apr-18
Not so great place.,vijay_ril,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_20,29-Mar-18,"Typical of Indian Bureaucracy, poorly kept facility. The building is not not air conditioned and the can imagine the condition of artifacts exposed to weather and dust. 
Big board says you cannot use the elevator unless you are a disabled person. Kept closed only for the Sarkaru Babus to use.",Mar-18
Nice one to see,SrikanthA100,,ui_bubble_rating bubble_40,24-Mar-18,"This museum tells us the history of Jarawas. How mankind evolved here in port blair. 

This gives us good knowledge about the people how they survived here, the tools they used for hunting, their hut etc.",Mar-18
About the local tribes,KANewYork,"New York City, New York",ui_bubble_rating bubble_40,20-Mar-18,"The museum is in the city center. Red steps lead up to the blue building with a mural on the wall. The ticket booth is inside. And then you walk into the museum structure which has a spiral shape. No photography of any form is allowed. Plenty of information about the Andaman and Nicobar I tribes- their weapons, clothes, ornaments etc. There were some interesting photographs as well.",Mar-18
Overview of Andaman,TejD24,,ui_bubble_rating bubble_40,15-Mar-18,"Its a nice,well documented information Museum on Andaman culture and heritage. Maintenance needs to be looked into. The lifts were out of order, the absence of air conditioning makes it humid and hot inside.",Mar-18
Guide to Andaman culture!!,AsthaDush,,ui_bubble_rating bubble_50,13-Mar-18,"As others have said it, it was a nice find and a must visit if you have interest in anthropology. when we went to Tourism office for getting our Jolly buoy permit, it was just across the road , we were pleasantly surprised with all the information, pictures, artifacts and thoroughly enjoyed it.Ticket was 20pp. Yes the lift wasnt working and yo have to climb all the way to 3 floors.",Mar-18
Quaint - but worth a visit,g747,"Cardiff, United Kingdom",ui_bubble_rating bubble_40,10-Mar-18,This museum perhaps rather appropriately seems stuck in time with displays in old cabinets and rather primitive information diagrams. However it does have some good photographs and is well worth a visit. It does give a rather sanitised depiction of the various races that occupy the islands. There is no mention of the fact that some reports suggest that the Sentinelese may have practiced cannibalism in the past and many of the photographs of bare-breasted women are censored.,Mar-18
Interesting place,Himanshu1960,"Mumbai, India",ui_bubble_rating bubble_50,07-Mar-18,"The place is fully loaded and you get a full insight about the andamans ... the culture, tribes, history etc. take your time in the museum. It is really worth it. The models and the displays take you back in time. Amust visit for on and all",Mar-18
Another Must Visit Museum in Port Blair,698aruns,"Mumbai, India",ui_bubble_rating bubble_50,06-Mar-18,A Lot to see in this Museum. Please spare 1-2 hours for this place to get the History of A&N. You'll get to see & learn more about Jarva (Tribes) from this place.,Feb-18
Not really a couples destination,hankvoight57,"Nagpur, India",ui_bubble_rating bubble_30,06-Mar-18,Don't get me wrong this is a fantastic place for a visit. You see all types of stuff. Women love it much more than men. Men would seldom show interest in it. So I would say for women it's 5/5 for men it's probably at best 3/5.,Mar-18
good place,LudhianaGreat9,ludhiana,ui_bubble_rating bubble_40,05-Mar-18,origina and detailed history of formation and visitors turning into residents is clearly displayed. good attemp which can be better presented tha what its today.,Jan-18
Surprisingly informative,adarsha_ks,"Delft, Zuid-Holland, Netherlands",ui_bubble_rating bubble_40,04-Mar-18,"As is said that one shouldn’t go by the cover of the book, this regular looking place offered some surprise learning on the history of the Andaman and Nicobar Islands. A must visit for geeks, it sheds light on the various natives, tribes and their way of life on the island.",Feb-18
See traibal Habitat,Manoj S,,ui_bubble_rating bubble_40,03-Mar-18,"Andamans have Negroid and Mongoloid types of tribes. Tribal way of life is depicted in detail including their huts, hunting instruments.",Feb-18
Could be better,ShaliniN118,"Trivandrum, India",ui_bubble_rating bubble_30,03-Mar-18,"It's a three storey museum located in the heart of the city of Port blair. 

The lift was not working so be prepared to climb three floors to see the exhibits. 

Photography is strictly prohibited and also there is not much to be photographed also 

Visit if you have time.",Feb-18
Museum,sudeep912,bangalore,ui_bubble_rating bubble_30,27-Feb-18,Not so much for a regular traveler.it has several pictures of tribal and human ancestry. spread over two floors.,Feb-18
Good history of Andaman Islands,AK012384,,ui_bubble_rating bubble_40,27-Feb-18,This museum displays the tribal history of the Andaman and Nicobar islands and it is fascinating to learn about the human diversity of these islands! It is a must do for people seeking to learn about the true islanders ..,Feb-18
Very good if you have interest,airy06,"Kolkata, India",ui_bubble_rating bubble_40,26-Feb-18,"This is a compulsory sight for all tourists. However, you may not enjoy it unless you have interest about the indegenious people of Andaman and Nicobar Islands. Well maintained Museum. But photography and videography were not allowed inside ! You may visit the souvenir shop at the entrance.",May-17
Museum to know Natives of Andaman,diptimoym,,ui_bubble_rating bubble_40,26-Feb-18,"Opens at 9 am. 
No guided tour. 
Photography not allowed, there's counter for safe-deposit of camera. 

A multi storie meuseum. Takes good amount of time if one is willing to examine everything very closely. Good place to gather all knowledge about natives of Andaman. 

All items are not very beautifully showcased.",Feb-18
Acquaintance with Untouched tribes,Exploreu15,"Mumbai, India",ui_bubble_rating bubble_40,19-Feb-18,"When we reached this museum , we thought it would be just another normal museum but what makes it more curious and intriguing is the untouched tribals life cycle showcased in a beautiful manner. 
You will be surprised to see that there are number of tribes here are still not in contact with our modern civilization. 
Those who are interested in study of tribal lives this is the place to visit.",Feb-18
Museum is worth a visit,Harini N,"Bangalore District, India",ui_bubble_rating bubble_40,12-Feb-18,The museum provides information about the native inhabitants of the Andaman and Nicobar islands and also the anthropology There is a small shop where you can buy little gift items.,Jan-18
Informative !,meeranair,Mumbai,ui_bubble_rating bubble_40,29-Jan-18,This is a must see for people interested in the history and evolution of the Andamans and it's various tribes etc.,Jan-18
"Wasted effort, poor displays",sanjIv-H2O,"Lucknow, India",ui_bubble_rating bubble_20,21-Jan-18,"This is the typical Indian style museum - shoddy displays, inefficient staff and poor maintenance. Many of the displays are so old and badly maintained that they are falling apart. No effort has been made to make the exhibits more attractive for the public, like posting information or adding a video. The lift is out of order. It's not a pleasant experience to visit this place.",Jan-18
Excellent cultural centre,SaurabhS2519,,ui_bubble_rating bubble_50,17-Jan-18,,
Sight seeing,shruthi b,,ui_bubble_rating bubble_40,17-Jan-18,"Visted the place on dec31st. It has many pics of tribals their life style weapons used by them for hunting. Their culture , way of living. Life size models of huts. It would be very interesting to visit and children will enjoy more. Its a 3 floor building and entrance fee is 20 rs per adult. Cameras are prohibited. We cannot click pictures.",Dec-17
Experience the life you can’t explore in Andaman,Nature_is_beautiful,SECUNDERABAD,ui_bubble_rating bubble_40,10-Jan-18,,
Museum about A & N,coer_ankit,"Chandigarh, India",ui_bubble_rating bubble_50,05-Jan-18,This museum is about the A & N island and its inhabitant. Good to see the lifestyles of various tribes of this island and how they are being included into the mainstream.,Dec-17
Human diversity on the islands explained,Kciff,"Kathmandu, Nepal",ui_bubble_rating bubble_50,05-Jan-18,"The different islands held different groups of peoples that had origins from Africa and Asia. Invasion, colonization had disastrous consequences for the Islanders. Some were wiped out by disease while other succumbed to alcohol and others fought of the invaders. It is worth a visit.",Jan-18
Informative and interesting,Indrajit C,"Rhyl, United Kingdom",ui_bubble_rating bubble_40,01-Jan-18,"Located in central Port Blair and opposite Atul Smriti Samiti, the museum illustrates the lives and history of the various indigenous tribes that live in the Andaman & Nicobar Islands. Located on 3 floors the various sections are informative and interesting. A lift is available for those who struggle to use the stairs. You will require slightly more than an hour to go through the museum properly. Photography inside the museum is strictly prohibited.",Dec-17
Informative and Well Maintained,Vidyashree_rao,"Bengaluru, India",ui_bubble_rating bubble_40,31-Dec-17,"If you would like to know about tribes in general and tribes which are present in Andaman then this is the place to go. You can skip if you have googled for the info. 

It can take anywhere from 45min or more based on your interest. Photography is prohibited inside. Place is maintained well and suggest a upgrade to provide audio tour.",Dec-17
Very average one,puneet0205,"Mumbai, India",ui_bubble_rating bubble_30,28-Dec-17,Can visit to have better idea about the place and the culture. Spare 45 minutes for this one also to complete the city trip :),Dec-17
Well Documented and Informative,SampathS,Bangalore,ui_bubble_rating bubble_40,23-Dec-17,"This is a must-visit for all those interested in knowing about the original inhabitants of these islands. The authorities have put up a splendid display of the life and culture of the various tribes along with well documented photographs, models and artifacts.",Dec-17
Interesting,Simona K,"Ljubljana, Slovenia",ui_bubble_rating bubble_50,20-Dec-17,"If you are interested in the life of native andaman tribes you should visit this museum. The museum is modest, but the content of the exhibition is well explanatory.",Nov-17
