title,username,location,rating,review_date,review_text,experience
loved it,ravinder87,,ui_bubble_rating bubble_50,04-May-19,nice beach area with white sand. The place was very crowded with lot of activities to do. A must place to visit.,May-19
Awesome memory of scuba diving,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_50,27-Apr-19,We went to Bharatpur Beach in Neil Island to take part in water sports activity. I specifically advise all to consider services of diving master Mr Raju Biswas (95311850010) of Aryan Dive Club and Mr Ranjit Bagchi of Dive Adventure for their expert service in assisted scuba diving. Great memorable experience.,Apr-19
Ok beach,291273,,ui_bubble_rating bubble_40,25-Apr-19,As their was low tide so water was far away n about kilometre walk also we can't swim in water as it was not even our calf level. We did glass bottom ride that was good. Beach was too much commerical as too much sports activities so u can't sit in water also radhanagar was way better.,Apr-19
Great beach for water activity and swimming,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,"The water is shallow and gradient of beach is little providing a great opportunity to swim and watch corals. Scuba, jetski, etc all sorts of water sports available here. It's near to the jetty.",Apr-19
Best Beache,TheKauserAhmedd,"Bengaluru, India",ui_bubble_rating bubble_50,20-Apr-19,"One of the calmest beaches of Andaman, do spend a day here doing multiple activities and relax on the beach side in low tide waves.",Apr-19
this place is awesome,zamakb,"Bangalore District, India",ui_bubble_rating bubble_40,19-Apr-19,"i love this place in neil island, clean water for all sports activities, also for swimming who does not know swimming",Apr-19
Crystal Water,DebaratiS22,"Kolkata, India",ui_bubble_rating bubble_50,17-Apr-19,"Crystal clear water with white sand.Ideal for swimming,sun bathing.Vast shore and sea beach with multiple shades of blue water.Here one can enjoy best colors of Andaman sea.",Jan-19
Beautiful beach to spare an everlasting memory,rajeshkannan11,"Muscat, Oman",ui_bubble_rating bubble_40,31-Mar-19,Be there for an evening. Nice to witness a sunset. Tender coconut to be tried. Leave just after sunset.,Mar-19
Water sports beach in Neil island,Devendra G,,ui_bubble_rating bubble_40,29-Mar-19,"This is the beach famous for water sports in Neil island. Activities such as scuba diving, snorkeling, jet ski, banana boat ride are available here. We did scuba diving and snorkeling. the beach is good, but not as good as elephant beach in Have lock island. 

The beach has a change room and shower which can be used. There are vendor shops for food and refreshments, but limited options. One can visit is interest in water sports.",Mar-19
Famous for water activities,KhyatiK15,"Vapi, India",ui_bubble_rating bubble_40,29-Mar-19,This is crowded as it's famous for many of it's water activities.. you can have road side food as well as shopping can be done..,Jun-18
Nice beach,aziz005,"Brampton, Canada",ui_bubble_rating bubble_30,26-Mar-19,One of finest and cleanest beach .Lots of shopping and food places. It was only 10 mins from our Hotel.,Feb-19
Tranquil beach,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,They have a long floating walk away deep up to the sea. It is lovely to walk on it. Please remember to wear your shoes and then walk on it. One should also do a glass bottom special ride for Rs 600/- it is worth the money.,Mar-19
excellent beach,travelpassion007,,ui_bubble_rating bubble_40,25-Mar-19,"a very good beach to swim , nice and clean. beach side there are lot of coconut trees and hut created by goverment so you can find good place to rest . all wateractivity takes p;ace at this beach, you must enjoyed it. except sea walk which u will get only at north bay island. so spare some time for water activity at bharatpur beach",Mar-19
Beautiful beach,Ankit1981,"Secunderabad, India",ui_bubble_rating bubble_50,24-Mar-19,"Serinity at its best 

White sands and blue waters, one of the best sunsets witnessed ever 

Long walk to the sunset point but worth the pain as the sunset was truly mesmerising",Mar-19
White sand and crystal clear water,MaheshK25,"Pune, India",ui_bubble_rating bubble_50,20-Mar-19,The Bharatpur beach has white sand and crystal cleat water. The blue and green water is just amazing. We have done glass bottom ride here. The shops along the beach are good compared to other places worth buying from them.,Apr-18
Beach with many amenities,contact_mohit33,Gurgaon,ui_bubble_rating bubble_50,20-Mar-19,"It is one of famous beach of Neil and of Andaman which is very big and have some great view. Many sports activities are there for everyone including water scooter, glass boat, banana ride etc and that too at reasonable price than havlock. white sand beach along with blue water create breathtaking view.",Jan-19
Breathtaking emerald blue water,redcanopy,"New Delhi, India",ui_bubble_rating bubble_50,15-Mar-19,What a nice place in the shade of trees n fresh breeze. Never been to a place like this.The hotels Chuck u out at 8 am . Feerry is at 1300. So u can wait with ur stuff in the beach. It's fresh n takes away ur aches n tensions.,Mar-19
Nice beach,navi908,,ui_bubble_rating bubble_40,14-Mar-19,The white sand on the beach which will amaze you for sure. The water is crystal clean. There is a small changing room as well for tourist and few shops to buy shell items,Mar-19
serene beach to chill in the afternoon,vividtraveller18,,ui_bubble_rating bubble_30,08-Mar-19,visited bharatpur beach during the hightide where all the water activities were shut. so just a advice that check the climate and then go,Feb-19
