title,username,location,rating,review_date,review_text,experience
Historical significance,GreatAlbatross,,ui_bubble_rating bubble_30,03-May-19,"The place is of historical significance & shows the struggle of our freedom fighters.the light & sound show is pathetic & efforts can be made to improve it.A screen to project the struggle of freedom fighters would be great.ideas can be derived from light & sound show Tawang, Arunachal Pradesh.",May-19
Vacation,199mohammedn,"Bengaluru, India",ui_bubble_rating bubble_50,02-May-19,"Nice place, get to no lot history happened back here , light and sound show is a must to finish of the day",Apr-19
My head bows to the sacrifices of our freedom fighters!,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_50,26-Apr-19,"I visited the Cellular Jail twice, which is also India's one of the national monuments, once during the day with a guide - Mr Venkatesh, and then again in the evening I attended Light n Sound show. Strongly recommend the guide services of Mr Venkatesh, whom I found knowledgeable, helpful, who patiently explained each and every point in detail. Visit to Vinayak Damodar Savarkar's cell was unforgettable, so was the gallows room. Overall, awesome unforgettable memory.",Apr-19
Historic Heritage,Kazi Rashidul H,Bangladesh,ui_bubble_rating bubble_40,25-Apr-19,It was memorable moment for us to visit this historic heritage site of Indian Independent which is also well known as Kalapani.,Sep-18
Sanjay,525sanjayg,"Kolhapur, India",ui_bubble_rating bubble_50,25-Apr-19,"Beautiful maintained and Light and sound show is best presented, gives us knowledge of history, visit again and again",Apr-19
Nice,291273,,ui_bubble_rating bubble_50,25-Apr-19,Once u enter the patortic feeling came in ur mind . We hired guide their they explain everything very well that how the Britishers n japanese done julum on older people n all.,Apr-19
Heritage site of Indian Independence struggle,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,"Historical place, jail complex made by the British for Indian inmates during Independence struggle. Feel proud of our national heritage and the courage by martyrs to free India. 2 hours minimum to have good study of the place. Light n sound show in the evening.",Apr-19
"""Kala Pani""",ridaarefin,"Kolkata, India",ui_bubble_rating bubble_50,19-Apr-19,"You will be taken back in time and reminded of the struggles of scores of people. A portion of this colonial jail was damaged during the earthquake in 1941 and post-independence, but what remains was a mute spectator to incidents miserable and whatnot!",Mar-19
Cheap entry and worth a visit,Matt C,"Clitheroe, United Kingdom",ui_bubble_rating bubble_40,16-Apr-19,"The cellular jail is possibly the only place to visit in the town. 

We walked from the cruise port and found the attraction interesting. Tickets are around £3 and the visit takes around 45 minutes if you read all the information on the way around.",Mar-19
memorable,skroyIND,,ui_bubble_rating bubble_50,15-Apr-19,"historical place must visit twice, day time and evening light and sound show, remembering our freedom fighters",Apr-19
Awesome place to visit,Rahil1101,"Ahmedabad, India",ui_bubble_rating bubble_50,14-Apr-19,"If you are in Portblair & not visited Cellular Jail then your journey is incomplete. 

You never had seen this type of property (Jail) in your life. 

It will force you to think about the freedom fighters who sacrificed their life. 

Also, Don't forgot to watch Light & Sound show in evening. 

Tickets: 30rs for entry (till 4 pm) 
Camera charges: 200rs 

Sounds & Light Show: 
100rs 
Timings: 1 hour 
First show start at 5:30 pm.",Apr-19
Place for Emotional Indians..,541tanmayd,"Kolkata, India",ui_bubble_rating bubble_50,14-Apr-19,"Must Must Must for every indians.. its a place where our people has sacrificed their lives for us , for our freedom.. it will be a goosebumps moment for every visitors..",Apr-19
Indian freedom struggle,soha09,,ui_bubble_rating bubble_40,11-Apr-19,The place has a great historic importance. The light and sound show is very nice were you get to know the story of Indian freedom struggle during the British rule.,Apr-19
Great history,8DaveS8,"Calgary, Canada",ui_bubble_rating bubble_50,11-Apr-19,Great place to visit and see the historical nature of the jail and the great art gallery as well. I would highly recommend it,Apr-19
A great place to visit to pay tributes to our Freedom fighters,KrishnaS1290,,ui_bubble_rating bubble_50,08-Apr-19,The cellular Jail is a must visit in Andaman. The light and sound show makes one quite emotional. We start realizing and feeling about the hardships undertaken by our freedom fighters to get independence.,Mar-19
Peek into the Past of Freedom Fighters,Karthikr74,"Bengaluru, India",ui_bubble_rating bubble_40,08-Apr-19,"Very interesting tour of Cellular Jail. The light and sound show had very interesting facts but could be made more interesting. The property itself is maintained really well. 

It kind of gets depressing knowing all the struggles that freedom fighters had to endure.",Apr-19
Must visit for all Indian,drvineetmish,"Jaipur, India",ui_bubble_rating bubble_50,07-Apr-19,They also have small museum and few models for display apart from jail...light and sound show was average but informative,Mar-19
history at best,338skt,"New Delhi, India",ui_bubble_rating bubble_40,04-Apr-19,the story telling is great and worth seeing but don't forget to carry odomos. the cellular jail is must when in portblair,Jan-19
Definitely worth a visit.,raviqumar,,ui_bubble_rating bubble_40,04-Apr-19,"Do take a guide. This Jail is actually a very nice piece of Architecture (Incidentally, I am an Architect).",Mar-19
Tribute to Indian heroes,348sumitm,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,03-Apr-19,"Very well maintained and very well kept records. Showcases the history of Indian independence from a different angle, can’t imagine what people would have gone through for freedom.",Mar-19
Blood Story,Anmolawadhwal,"Mumbai, India",ui_bubble_rating bubble_50,31-Mar-19,"There were ropes to hang them, spots to Torcher them, struggling & horrifying memories of our freedom fighters; who gave us free country with enormous opportunity as free Indians. It is the part of freedom journey of India written by the blood of freedom fighter known as Kala-Pani. 
more about Andaman has been shared on my blog page 

Land of Fortune (Andaman & Nicobar)",Apr-18
A page through history.,615abhishekt,"Kolkata, India",ui_bubble_rating bubble_40,28-Mar-19,The site is best suited to be visited by the late afternoon and followed up with the light and sound show later in the evening.,Mar-19
