title,username,location,rating,review_date,review_text,experience
Old & still functioning saw mill,GreatAlbatross,,ui_bubble_rating bubble_30,03-May-19,It's one of the oldest & still working saw mill.the sovneir store is good & items are at reasonable price.the chattam memorial is a good tribute for our freedom fighters,May-19
Amazing value for money,AP1729,,ui_bubble_rating bubble_50,28-Apr-19,"It costs just Rs10 to enter. There is a japanese bunker( basically a cave), 2 bomb pits , some statues of elephants and tigers , a monument and a mini-museum where there a lot of wooden figures. 

However, the Saw mill is the main attraction and you can see the various stages of the timber right from putting the logs in water to watching them cut it live.To be honest I was a bit worried, as it looks like a Final destination moment waiting to happen with all visitors coming quite close to the saws. We are supposed to wear helmets but no one provided one!",Apr-19
Good educational place,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,"Entry fees rs 20, museum is a great display of artifacts of tree species endemic to the andamans. Japanese bombpit during wwII is here. Overall good experience.",Apr-19
A huge saw mill,raunit_ranjan,"New Delhi, India",ui_bubble_rating bubble_50,08-Apr-19,A huge place to saw how wooden work get done there is a lot more to see here they also have a nice museum where u can find lots of. Interesting and funny thing easily accessible u can visit it in few hours,Oct-18
This is an activity to kill time,Gurdev,Bangalore,ui_bubble_rating bubble_30,30-Mar-19,,
Chatham saw mill,dnshinde,"Pune, India",ui_bubble_rating bubble_40,19-Feb-19,The mill is very old and now run by government. There are foot prints of British raj in the mill. Japanese has bombarded this mill and bunkers are still telling history. Small museum in the mill compound is good.,Feb-19
Average .,Subha Lakshmi N,,ui_bubble_rating bubble_30,18-Feb-19,The old machinery is looking interesting .But it will be more fine if the latest machinery and work can be watchable. they are not allowing to see the present work place,Dec-18
Average place.,sangishan,,ui_bubble_rating bubble_20,30-Jan-19,"The mill harldly functions now.Would you be interesting in seeing stored logs of wood and old semi functional machines? 
Not worth a visit.",Jan-19
Colonial Invention That has no place in modern India. Avoid at all costs,ashokj338,"Pune, India",ui_bubble_rating bubble_10,12-Jan-19,"Saving the environment means saving trees. If trees are not cut, this mill has no reason to exist. It should be mothballed or shut down and sold as scrap. It has a huge staff doing nothing because there is nothing to do. They charge Rs 20 per head to visit and do not even have decent toilet facilities for the tourists. A complete waste of taxpayer's money with huge staff living off the government's largesses.",Jan-19
Nothing really to see,Avinash_blr,"Bengaluru, India",ui_bubble_rating bubble_10,04-Jan-19,You may go there only for the history attached to it. Saw mills all over India are better to visit instead.,Jan-19
Chatham Saw Mill. Port Blair.,Mihir B,,ui_bubble_rating bubble_40,03-Jan-19,"A colonial saw mill established by the Britishers on a reclaimed small island ,Chatham, connecting by road with Port Blair. Was bombed by the Japanese & bomb pits are still their Presently under Government of India with a good collection of Woods for construction and development.",Nov-18
Oldest Saw mIll,pankajambulgekar,"Bengaluru, India",ui_bubble_rating bubble_50,12-Dec-18,This is the oldest saw mill built by British on small island. Cab be reach by car. 1 hr time is sufficient to visit this mill. Can buy wood handicraft items at this mill store,Nov-18
Sawmill!!?? Yes but big-one.,Quest819092,,ui_bubble_rating bubble_30,22-Nov-18,"This place is perfectly described how the Port Blair depends on its wood industry for economic movements. You can see a small museum of wood craft, a small pond which is formed by bomb blast during 2nd world war and a small shop of wood showpiece.",Nov-18
Not worth to visit,akshayrathor,"New Delhi, India",ui_bubble_rating bubble_30,20-Nov-18,The handicrafts are so expensive and not worth to buy from there .As it is a travelers place .Donot spend more time in portblai betteris to visist havelock island,Nov-18
Saw mill,qusay007,"Mumbai, India",ui_bubble_rating bubble_30,16-Nov-18,This was a part of our iterinary so we covered it but it can be given a miss. They are not very attractive or relaxing spots or activities especially with young children who would rather prefer a beach.,Nov-18
