title,username,location,rating,review_date,review_text,experience
Spectacular views of islands,GreatAlbatross,,ui_bubble_rating bubble_40,03-May-19,It's a 4km trail(to & fro) with shady trees.the views from various view points are spectacular.Deep gorges & islands can be seen.its serene & beautiful.The sunset point nearby is good.,May-19
Was average place,291273,,ui_bubble_rating bubble_30,25-Apr-19,Known as chidiya tapu bit couldn't find any birds their is a small zoo which has very few animals better zoo is in our Pune. N lastly the sunset point we have better sunset view from our hotel itself in short nothing great n it's far from city nearly 27km. We went Munda beach which has crocodiles alert so not allowed to put it feet also in so total waste trip,Apr-19
good,skroyIND,,ui_bubble_rating bubble_50,15-Apr-19,"nice place to visit, enjoy sun set , beautiful park,clam weather peace full place enjoy the decoration",Apr-19
Evening@ Chidiyatapu Beach,Ojaa1x,,ui_bubble_rating bubble_50,15-Apr-19,This is very peaceful and small beach known for it's sun set view.To reach at this beach you have to drive through dense forest and narrow road which is good experience for nature lovers.Don' miss coconut water at Chidiya Tapu beach.,Jan-19
Beach and a trekking location,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_40,25-Mar-19,The beach is a very good picnic spot. Through the hilly are on one side of the beach one can trek and reach the top point of the hill from where scenic beauty is wonderful.,Apr-18
Gateway to where horizons meet,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,The treck to the tip of Chidiya Tapu was worth the effort. It is a 3 km trek from the beach up till the highest point. One has to cross a tropical jungle and walk. The walk was pleasant as there were so many trees which paved the way and it was shady and cool along the way thanks to those trees. It is totally totally worth it.,Mar-19
OK place,Alka M,,ui_bubble_rating bubble_20,10-Mar-19,Called chidiya tapu but no chidiyas r there...sun set is beautiful...beach is coral beach not very nice...munda pahar there nearby is also OK not very good....only thing is that the road to chidiya tapu is from the beautiful green forest...OK OK place,Mar-19
BEST SUN SET IN PORT BLAIR,Saanjhraman,,ui_bubble_rating bubble_50,05-Mar-19,"This is a serene place and best place to watch sunset if you are in Port Blair. I didnt write Andaman as best place in Andaman is Radha Nagar beach (one of the top beaches in Asia itself). But, if one is in Port Blair, one must travel 27 km to watch this place where sea turns golden during sunset. The beach is clean and water is also superb. Tracking is the other option if you reach well before 3 pm. There are no birds ofcourse as name suggests, but, the place is a must visit.",Jan-19
Must visited place at port blair,Ghoshpapai,"Kolkata, India",ui_bubble_rating bubble_50,01-Mar-19,"Ig is must visited place at port blair. You will get an out standing view of ocean from here, it is a famous sunset point at port blair. Swimming and bathing is strictly restricted here.",Feb-19
Good time spend in evening,contact_mohit33,Gurgaon,ui_bubble_rating bubble_40,26-Feb-19,Spent a good time on chidiya tapu beach followed by sun set views. Though name gives a view of some garden but nothing is related to that. You can enjoy see waves along with some beautiful views from top as well as from beach. Pretty far from Port blair city but worth a visit.Opening time is till 5PM or till Sunset whichever is late.,Jan-19
"You can see a real steep cliff, caves & coves described by Enid Blyton in many of her adventure books.",KSNAR,"New Delhi, India",ui_bubble_rating bubble_50,22-Feb-19,"Chidiya Tapu is a misleading name for this place. It is 27 Kms from Port Blair. 

For starters, there is a small biological garden where you won't find a single bird, aka, chidiya !!! 

Having said that, it is a place from where trekking trail of around 1.50 Kms begin (Munda Pahar), natural path created by flowing water during rains, winding up the hills through reasonable dense forest and sea down there far below. The trail ends on top of a cliff where the sea forms a V shape around the cliff. 
The cliff rises from the sea and is perpendicular to it, with a steep drop. Caves can be seen at the point where the cliff rises from sea. 

You could even see a spectacular sunset from this point, but unfortunately you are not allowed to remain there after 5 pm, without getting the forest guards come and search for you. 

There is a separate sunset point nearby and a good view can be had from there. 

All in all, a good place for trekkers and nature lovers. 

Worth visiting. 

:-) More",Feb-19
Nice Beach,sahilbanker,"Ahmedabad, India",ui_bubble_rating bubble_40,18-Feb-19,A beach with facility of tracking and has small fishes to which you can feed some snacks. Overall nice beach with romantic sunset point.,Feb-19
Chidiya tapu - trek to nature,GautamM251,"Noida, India",ui_bubble_rating bubble_40,13-Feb-19,This is a place just 90 mins away from Port Blair. There is a place where Crocs breeding happens n are available . Then there is a trek right up to the hilltop . Last time to enter the forest is around 3pm.the trek has natural steps which is formed by the tree roots. Forest is quite sense and rarely you get sunlight on your way to the top. But once you reach the top the view is absolutely stunning. We were lucky to see a double there. It's quite relaxing . It's about 1.5-2 KMS trek but worth it. On your way back you can enjoy the sunset . Must visit if you are at Port Blair. More,Sep-18
Less Crowded. Good Beach. Lot to walk,vk_203,"Nizwa, Oman",ui_bubble_rating bubble_40,05-Feb-19,"Beach is ok. The sunset view is great here. We had a long walk beside the beach. It was prohibited to swim due to salt water crocodile warning. 
Beautiful place for beach Photoshoot or Photoshoot in the woods etc.",Apr-18
Best sun set point in andaman,shovanosneha,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,31-Jan-19,Chidiya tapu is a beach and best sunset point in andaman. A must visiting destination for tourists. Its just half an hour drive from port blair.,Jan-19
Great sunset beach in Andaman,arun_creek93,"Chennai, India",ui_bubble_rating bubble_50,28-Jan-19,"Went there after lunch. The clear waters and the hill views across gave a spectacular sunset. A good location to click photos as well. 

Tip - It'll take at least 30 mins to reach from Port Blair. So, be sure of the timings to not miss the sunset",Jan-19
