title,username,location,rating,review_date,review_text,experience
Tiny and Cute beach,AP1729,,ui_bubble_rating bubble_50,28-Apr-19,"A bit far from the main city, Corbyn's cove is an amazing beach. Its a small stretch of land with coconut trees. Some water activities like Jet ski happen here. Nice place to chill. 

Came here by auto and returned by a govt AC bus. Bus was much cheaper and would recommend looking into these bus timings to travel.",Apr-19
Enjoyed,291273,,ui_bubble_rating bubble_40,25-Apr-19,It's the only beach where u can take bath on Port Blair. So we all along with the kids enjoyed. Their people selling souvenir r much cheaper compare to other places.,Apr-19
We ENJOYED the beach,tamannarashid,Bangladesh,ui_bubble_rating bubble_30,24-Apr-19,"The Beach: small, crowded, not so clean. Water sports activities available. 
The speed boat riding was great but a little bit pricey (RS 400/2018) per person. 
The Floating Path was COOL!",Nov-18
Quiet beach with jet ski on offer,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,Nice sunset views on this beach. Not so crowded. Food stalls available. Jet ski ride available. Water is clear.,Apr-19
good,skroyIND,,ui_bubble_rating bubble_50,15-Apr-19,"nice place to visit, enjoy the beach , beautiful park,clam weather peace full place enjoy the decoration",Apr-19
Avoidable,Ashok N,,ui_bubble_rating bubble_30,15-Apr-19,"If you have lots of time, you may. If on a tight schedule, avoid this beach. Not comparale to the beaches in Havlock and Neil. This is for the locals to spend their evenings.",Apr-19
Nice place to visit,debarpans,,ui_bubble_rating bubble_40,13-Apr-19,It's really good to spend time in afternoon. Beach is not clean . But you can sit in beach side area .( Made of concrete ) .,Feb-19
Only good for activities,Jhakastraveller,"Noida, India",ui_bubble_rating bubble_30,08-Apr-19,Not so clean beach. The quality of the water and sand is not that great. Only for some who is looking for water activities in Port Blair,Mar-19
Average beach,raviqumar,,ui_bubble_rating bubble_30,04-Apr-19,It is a large beach. Averagely clean. Carry food because you will only get coconut water and some spicy snacks there.,Mar-19
A nice beach on Port Blair for activities,Gurdev,Bangalore,ui_bubble_rating bubble_40,30-Mar-19,There are a lot of activities on this beach to do like jet ski. There are a lot of snack outlets that you can partake in. We had a frisbee and we had good time playing with it on the beach. Very nice and fine sand too.,Mar-19
Alright beach... slightly muddy,Devendra G,,ui_bubble_rating bubble_30,29-Mar-19,Corbyn's Cove beach is in Port Blair city. This is definitely no comparison to the other beautiful and clean beaches in Andaman Islands. The beach is not dirty bit too snady to have a bath. Also the water is not as clean as other beaches in andaman. There is a change room and shower at the beach. there are vendors with shops to sell food and refreshments. Can visit if you have spare time.,Mar-19
Okay beach,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_30,25-Mar-19,When we visited probably wrong time of the day. There were no water sports happening. I feel even if you miss it it is okay. The water is clean and swimming is allowed here.,Mar-19
