title,username,location,rating,review_date,review_text,experience
beatiful sandy beach with water wondefully warm,grretabau,,ui_bubble_rating bubble_40,03-May-19,If you are not looking for snorkelling or diving the beach is just perfect. Mind the strong streams!,Mar-19
Lots of water sports activity !,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_50,26-Apr-19,"Great place to visit for water sports! we could not do snorkeling, as it was closed by the authority, but we used glass boat and banana boat riding. views are just awesome. Very friendly service by the water sports operators.",Apr-19
Quirky beach,katiep319,,ui_bubble_rating bubble_50,24-Apr-19,"We trekked here at about 4pm to catch the sunset. Ignore the signs that it’s shut from 3pm - the beach is still there it’s just empty! Quaint little trek past big trees and through almost marshy open spaces that look perfect for crocodiles! Everything shut when we went at 4, so can’t comment on activities there, but the deserted beach was a great find for sunset! Getting taxis away was really hard as no empty taxi or tuk tuk stops there, so book in advance!",Apr-19
Wonderful beach,thanaelakshmanaramv,"South Andaman Island, India",ui_bubble_rating bubble_50,23-Apr-19,"The beach can be accessed by boat from jetty at Havelock or by trekking. Chose to take the boat as there was swamp at the end of trekking path before reaching the beach. There are lot of activities like jet ski, parasailing and speed boat. Unfortunately seawalking and snorkeling was stopped due to some accident when we visited the beach. The beach is scenic. Once you hire a boat three hours are givem once you reach the beach. Then you have to go back to the jetty by the same boat.",Apr-19
India .. wow .. fun place in Andaman,Kumararaj,"Bengaluru, India",ui_bubble_rating bubble_50,21-Apr-19,"This is a great beach for all beach activities - Snorkelling, Ocean walk, swimming, parasailing, Water scooters, banana boat ride... 

The place is reached by a speed boat. Wear comfy shirts, T-shirt, hat, sun screen, sun glasses. Carry a pair of change clothes. The rates charged for all these activities are controlled and hence very reasonable - no bargaining. They also have snorkel kit for rent. 

Snorkelling with full mask is an event sold like crazy here. They charged us Rs.1000 for this activity - which lasted only for 5 minutes. If you have done scuba diving or snorkel elsewhere, then skip this full mask snorkelling. You will be fine with the complimentary snorkel which uses the traditional face mask and the snorkel. More",Mar-19
Not worth visiting at the moment!,VikAndSap,"Bengaluru, India",ui_bubble_rating bubble_10,19-Apr-19,"It is a nice beach. But, the government has banned all activities that involve getting into water. So, no scuba diving or snorkelling or even swimming in the water is allowed. You can only do para-sailing or jet-ski. These are very expensive compared to other places like Goa. I do not understand why the government should do this when people are visiting this place from so far !!! Really ruined the experience for me.",Apr-19
very good place,PriyankaArja,,ui_bubble_rating bubble_50,19-Apr-19,"the beach is good. but the problem is when I visited Andaman, the beach was prohibited for scuba diving due to a person's death.",Apr-19
Best beach in Havelock,EshiTravelTalker,"Mumbai, India",ui_bubble_rating bubble_50,18-Apr-19,"A must visit for everyone visiting Havelock. 
You have multiple options for water sports and fun. 
You can do deep sea snorkeling and other water activities",Feb-19
Decent beach,pacmybags,"London, United Kingdom",ui_bubble_rating bubble_30,17-Apr-19,There are better beaches on the island and this was my least favourite. Maybe if I had seen the elephant I would have rated it higher - otherwise it is a crowded beach. We arrived at about 8am which was the best time because by 10am it was packed with boats brining people to the beach. My advice is to go early.,Mar-19
It was too crowded,Adivik,"Mumbai, India",ui_bubble_rating bubble_30,13-Apr-19,Its a beautiful beach but needs to be regulated. It can end up being too crowded and you may end up waiting for long for any activity. The guides can be rude. The area behind the sports counters and eating places is really dirty.,Mar-19
Overrated!!,vinay2310,,ui_bubble_rating bubble_20,10-Apr-19,Beach is over rated. Very expensive to get to and recently they do not even let anyone in the water due to a recent accident. Avoid. Even the water sports out there is really expensive.,Apr-19
