title,username,location,rating,review_date,review_text,experience
Unique Natural thing of Neil,Kazi Rashidul H,Bangladesh,ui_bubble_rating bubble_30,27-Apr-19,We enjoyed a lot to visit this unique place of Neil Island when coral made this famous natural bridge. You have to visit this place base on tide timing,Sep-18
Good place in laxmanpur neil island,zamakb,"Bangalore District, India",ui_bubble_rating bubble_50,19-Apr-19,Good place in laxmanpur neil island worth for marine life so many marine life which can be visible by not going underwater,Apr-19
Beautiful,AnjanaNarayan,,ui_bubble_rating bubble_50,15-Apr-19,"This place is really beautiful. the coral rock formation is unreal! 
and many species of fish can be spotted in the small ponds created by the ocean during low tides. 
Tip- reach there in the morning to avoid tourist crowds. we reached there at around 8 in the morning it was empty when we reached but we saw the crowd grow by 10am. 
You do not need a tour guide- which you can find as soon as you reach the place, but you can opt for one anyway!",Nov-18
Good not great Bridge,KAUSHAL G,"Mumbai, India",ui_bubble_rating bubble_30,07-Apr-19,"It's called a natural bridge, one has to walk on the corals and stone to reach there. Its a struggle to do so during sunny day. One can get to see good fishes and corals during the visit. Guide will charge 400 Rs which is waste.",Apr-19
Natural rock formation in Laxmanpur beach,Devendra G,,ui_bubble_rating bubble_50,29-Mar-19,This rock bridge is a natural rock formation in Laxmanpur beach number 2. This is a rocky beach with coral formations which are clearly visible during low tide. It is best to visit the place with a guide which is easily available at the beach so that one can understand the place in greater detail. Please check before visiting whether it is high tide or low tide as this cannot be visited during high tide.,Mar-19
Loved it,KhyatiK15,"Vapi, India",ui_bubble_rating bubble_40,29-Mar-19,Beautiful rock formation plus you can see beautiful marine life which makes it more exciting.. little Rocky the place is to walk but nice..,Jun-18
Natural stunning beauty,Global207427,,ui_bubble_rating bubble_50,26-Mar-19,"See what nature can create....Also take a guide who can lead you to the location while explaining about the creation and beauty of this location. Also they will show you the different creatures, types of corals etc... Beautiful location !!",Mar-19
FOR SUNSSET -EXCELLENT POINT,travelpassion007,,ui_bubble_rating bubble_30,25-Mar-19,"Nice place to visit specially for sunset, located on laxmanpur beach, track is little rocky , but it is worth to see howrah bridge , natural rock formation.",Mar-19
Beautiful,Ankit1981,"Secunderabad, India",ui_bubble_rating bubble_50,24-Mar-19,"Natural all the way, it’s a dead coral beach with a lot of marine life visible with naked eye. Truly a must see place",Mar-19
Natural Formation in Bridge shape Form due to sea floods,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_50,21-Mar-19,"The place is very Natural with flora and fauna (like fishes, live corals, star fish, anemone, sea cucumber seen in shallow waters. The Bridge can be crossed underneath during low tide. There are local boys available to guide you for small remuneration, who are well versed in explaining the sea creatures and they also speak good English, though illiterate.",Apr-18
Laxmanpur 2 beach,contact_mohit33,Gurgaon,ui_bubble_rating bubble_30,20-Mar-19,"Another laxmanpur beach known as beach 2. After some staircase and walk, you will reach to beach and then have to walk over rocks and corals to see the bridge and other marine life. Because of coral and black rock, beach doesn't look beautiful in first see but you will be amazed to see the marine life composed there on this beach.",Jan-19
Nice natural bridge,redcanopy,"New Delhi, India",ui_bubble_rating bubble_30,15-Mar-19,"It's in laxmanpur 2 beach. Rocky beach. U have to walk over rocks n corals to reach this place.there r small puddles of water where u can see crabs, blue fishes, zebra fishes, snakes. Lovely dead corals. It's a sunset point.",Mar-19
Amazing bridge formationa,navi908,,ui_bubble_rating bubble_50,14-Mar-19,while you walk to the bridge you would see an amazing stone formation which looks like a bridge. This is a good spot for taking photos and enjoying sea life which you see while walking towards the bridge. Its convenient to visit this during low tide.,Mar-19
A nice place to visit,Ghoshpapai,"Kolkata, India",ui_bubble_rating bubble_50,01-Mar-19,It is also called the root bridge or laxmanpur II beach. My suggestion will be to take a guide from entry point. They will charge around Rs -300-400/- . The guide will help you to show live coral and other marine lives without any sea activity.,Mar-19
The place is Gem of an attraction,joydpb,"Bengaluru, India",ui_bubble_rating bubble_50,25-Feb-19,"Accessible only during low tide, the location is Gem of an attraction. It is advisable to take a guide who will point out to the various interesting and intriguing flora and fauna (like fishes, corals, star fish, anemone, sea cucumber etc.) present at various nooks and corners.",Nov-18
Mesmerizing to say the least . Must visit.,Rengi R,"Goa, India",ui_bubble_rating bubble_50,23-Feb-19,"Extremely beautiful palce . You will have to walk for a km or so to reach the beach from the closest taxi drop off . 

bUT every bit of walk that you did is worth the effort once you reach the rock formation . A nature lover can spend 3 -5 hrs easily . And if case you are visitng , dont miss the sunset . We arrived ter at 3 .3p m and left at 5.40 pm . 

Guides are available at 300 INR. Although not needed but if you are , interested in seeing some marine life they do show. Their knowledge is very limited and keep BS ing you . I will never recommend taking one . It is a money making mechanism of the local people . More",Jan-19
