title,username,location,rating,review_date,review_text,experience
Andaman Emerald Holidays,rajkumar557,"Port Blair, India",ui_bubble_rating bubble_50,25-Apr-19,"we are visit at Jolly buoy Island , Really best Beach at Andaman .coral is amazing, red coral , colorful fish , enjoy aslo snorkling . we are visit through Andaman Emerald Holidays at Andaman Local Expert agent . really good agency at Andaman . recomanded my family and office friends",Apr-19
"According to the staff, it is home to the second best coral in south asia",ridaarefin,"Kolkata, India",ui_bubble_rating bubble_30,19-Apr-19,"Only 60 people are allowed to enter this island in a day. Due to prevent more damage, when the Jolly Buoy is accessible, Red Skin remains closed and vice versa. One needs to rely on travel agents or taxi driver to get the entry permit. It was for Rs. 850 pp, I had to pay Rs. 1100/- per person. The drive from portblair is hardly 40min and once you reach the island, you will find that the free glass bottom ride is nothing but a bait to squeeze more money. The free ride is over in 10 min and they won't show you much. Shell out more to see more! The boat which took us to Jolly buoy had middlemen who were forcing us to pay more for spending more time and seeing varied underwater life. The slabs were Rs. 300, Rs. 600 and Rs. 1000 not to mention higher rates for individual boat rides. The higher the amount, the more time you get to spend in a glass bottom boat and the more you get to see. So for a group of 7, excluding the car ride, we spent almost 16k for the entry permit, boat tickets and glass bottom ride. I was a little disappointed as I was expecting much due to the statement by the staff ""it is home to the second best coral in South Asia"". Most of the corals were damaged and we could see... Only 60 people are allowed to enter this island in a day. Due to prevent more damage, when the Jolly Buoy is accessible, Red Skin remains closed and vice versa. 
One needs to rely on travel agents or taxi driver to get the entry permit. It was for Rs. 850 pp, I had to pay Rs. 1100/- per person. The drive from portblair is hardly 40min and once you reach the island, you will find that the free glass bottom ride is nothing but a bait to squeeze more money. The free ride is over in 10 min and they won't show you much. Shell out more to see more! The boat which took us to Jolly buoy had middlemen who were forcing us to pay more for spending more time and seeing varied underwater life. The slabs were Rs. 300, Rs. 600 and Rs. 1000 not to mention higher rates for individual boat rides. The higher the amount, the more time you get to spend in a glass bottom boat and the more you get to see. 

So for a group of 7, excluding the car ride, we spent almost 16k for the entry permit, boat tickets and glass bottom ride. 

I was a little disappointed as I was expecting much due to the statement by the staff ""it is home to the second best coral in South Asia"". Most of the corals were damaged and we could see some here and there. Different shapes and colours and a variety of fishes among others. More",Mar-19
The Most Beautiful Island in India,EshiTravelTalker,"Mumbai, India",ui_bubble_rating bubble_50,18-Apr-19,"If you are going to Andaman, then you must visit this beautiful island called Jolly Buoy. 
World's 2nd best corals after Australia are found here. This beach will surprise you with it's crystal clear water and natural beauty. However, this island is closed for 6 months so that the corals grow. So plan your visit during November - March.",Feb-19
Must see place in Andaman,Deepthi D,India,ui_bubble_rating bubble_50,11-Apr-19,"If you visit Andaman, you should definitely plan to visit this place. You need to get permit and buy tickets the previous day itself. You should plan well ahead if you plan to visit this place. You can see beautiful corals, star fishes, sea anemones etc in this place. The jetty's start at 7 in the morning. You have to pack breakfast and come to this place. You cannot carry plastic bottles or plastic covers to this place. So plan and pack the food accordingly. 
There was one auto driver who helped us a lot in booking the tickets, his name is Gopal and his number is 9531918600/9933202151. He arranged for taxis to reach this place and also bought tickets. Any one planning to visit Andaman, can contact him. He will provide end to end travel plan and also help in booking government ferry tickets and sight seeing. He made our Andaman trip memorable. More",Apr-19
Cleanest beach,Jhakastraveller,"Noida, India",ui_bubble_rating bubble_50,08-Apr-19,White sandy beach with clear blue water. A must place to visit in andamans. The beach nice for swimming.,Mar-19
Must must must visit,Devendra G,,ui_bubble_rating bubble_50,29-Mar-19,"During our last day on visit to andaman islands, we had an option to visit either bartang, or jolly buoy islands. We opted for Jolly buoy island and bartang travel was too tiring. However, what was to come was a real surprise. 

Jolly Buoy island is one of the 15 preserved islands in andaman. One can visit the island after obtaining necessary permit a day before the travel. Only very limited number of tourists can visit the island daily. One has to first visit wandoor jetty which is an hour drive from port blair. From jetty, one has to take a shared boat which takes more than an hour to reach Jolly Buoy island. 

This is a very small and beautiful island with clearly the best coral formation and cleanest water in andaman. The only activity available here is glass boat ride. However, it is way better to a glass bottom boat in havelock or Neil island. The coral formation and natural beauty is much much better than any other island. One can easily site star fishes, corals of different types, turtles and oysters. 

If you have a spare day in port blair, there is no other match to Jolly Buoy island. Must visit. More",Mar-19
Hidden gem,tee2traveller,,ui_bubble_rating bubble_50,28-Mar-19,"Jolly buoy Island is a must visit place to explore the untouched marine creatures fishes and live coral reefs. 
Our auto rickshaw driver cum guide Sadai Gopal cell no. 9933202151 an honest and trustworthy person took care of everything right from getting the permit to taking us to Wandoor beach to board the jetty for Jolly bouy. Glass bottom boat ride of 1 hour per person 1K rupees is absolutely amazing. Not to be missed under any circumstances.",Mar-19
Mesmerizing Island,SINGLA77,,ui_bubble_rating bubble_50,27-Mar-19,The excellent and cleanest beach one can visit is the Jolly Beach. Everyone visiting Andaman should include the place in its itinerary. The water there is clear like glass.,Mar-19
EXPERIENCE CORAL LIFE THRU' GLASS BOTTOM RIDE,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_40,21-Mar-19,Prior permission/Permit is needed from Tourist Office located near Air India Office in Port Blair to go to this Island. Boat Tickets also can be had from here. One has to travel to Wandoor Ferry to catch the boat to go to Jolly Buoy/Red Island. Since water is crystal clear and shallow children can go for swimming without any risk. Under water corals/fishes can be viewed thru' Glass Bottom Boat ride by paying extra. Not much crowded due to Permit and restrictions.,Apr-18
Corals and the Bay,MVPkumar,"Mumbai (Bombay), India",ui_bubble_rating bubble_40,16-Mar-19,"If you are interested in seeing virgin beaches and amazed by marine life and growth, visit to Jolly Buoy islands is a must. The place is open only 6months a year. It's a national marine park and Govt permission is required to visit. Don't have to give up the idea of visit hearing the permission requirement; it's a simple application at tourism department office along with photo copies of identity card of all the members who are visiting. It cost INR 75. Apart from this you need to buy a ferry ticket which is INR 885. This also has to be pre purchased from the same office. Basically remember that you can't just walk onto the island on the same day of your landing in portblair. The ferry point to Jolly Buoy is 32km out of City at Wandoor. They don't allow disposable plastic bottles on the island. So carry a metallic bottle or you can rent one at ferry point. They will give the bottle on deposit of INR 200. The cost of renting is only INR 5. No it's not a typo, it's just five rupees. Pay INR 5 and take the 200 back when you return the bottle. The boat ride from Wandoor to Jolly Buoy islands is 60min. On reaching the island, just before you disembark, your boat crew will make their pitch for taking a glass bottom boat ride with them for viewing corals. It's... If you are interested in seeing virgin beaches and amazed by marine life and growth, visit to Jolly Buoy islands is a must. The place is open only 6months a year. It's a national marine park and Govt permission is required to visit. Don't have to give up the idea of visit hearing the permission requirement; it's a simple application at tourism department office along with photo copies of identity card of all the members who are visiting. It cost INR 75. Apart from this you need to buy a ferry ticket which is INR 885. This also has to be pre purchased from the same office. Basically remember that you can't just walk onto the island on the same day of your landing in portblair. The ferry point to Jolly Buoy is 32km out of City at Wandoor. They don't allow disposable plastic bottles on the island. So carry a metallic bottle or you can rent one at ferry point. They will give the bottle on deposit of INR 200. The cost of renting is only INR 5. No it's not a typo, it's just five rupees. Pay INR 5 and take the 200 back when you return the bottle. 

The boat ride from Wandoor to Jolly Buoy islands is 60min. On reaching the island, just before you disembark, your boat crew will make their pitch for taking a glass bottom boat ride with them for viewing corals. It's offered in 3 tiers of INR 300,INR 600 and INR 100O for varying duration of 15, 30 and 60 min. 
If you skip this, you get dropped on to island straight away from the ferry on the same glass bottom boat. But there's nothing else to do on the island other than gaze at emerald blue waters and the jungle, with thatched seating areas. 

Corals can be viewed only if you take the boat ride. The collection of corals and marine species you will witness is better than what you get to see during Scuba diving. The boat man will be a localite giving running commentary on corals in hindi. So non Indians will rely only on what they see and not hear. 

All in all you will get two hours on the island. There's no watersports or any such activity there. No food stalls or water point. A washroom and changing room is all that is there in the name of amenities. 

You can swim in the sea in a small cordoned of area. The water will beat the swimming pool of any five star hotel. More",Mar-19
Mesmerising corals,Shalini S,,ui_bubble_rating bubble_50,22-Feb-19,"The azure blue crystal clear waters surrounding Jollybuoy are simply perfect for snorkelling. One can see a wide variety of corals, water lilies, sea cucumbers and diverse marine life. Schools of ‘Nemo’ and ‘Dory’ fish never fail to mesmerise children. For those who don’t want to snorkel, glass bottomed boats are available. One can see the corals from these boats. There is a swimming area where one can swim in the perfectly clear waters. If one is lucky, one may be able to see baby fish also. It is indeed a fascinating sight..... 

This pristine island can be reached by ferry from Wandoor jetty, which is about 45 minutes away from Port Blair by car. A special visiting pass is required as this island is in protected marine reserve area and only a restricted number of visitors are allowed per day. The visit timing is also restricted. Since it gets really hot during the day, an early visit is advisable. 

No plastic is allowed on the island, hence one may carry water in flasks. Also, there are no shops or eating joints on the island so it is advisable to get a picnic lunch packed from the hotel and carry it especially if one has young kids. 

A must visit place for seeing undersea marine life. More",Feb-19
India's own Great Barrier Reef,Bala_Coimbatore,,ui_bubble_rating bubble_40,13-Feb-19,"You must include in your Andaman Island program. Best in marine life, corals or just play in the water with your family and friends.",Oct-18
Crystal clear Turquoise water. Plastic entry restricted,vk_203,"Nizwa, Oman",ui_bubble_rating bubble_50,05-Feb-19,"The boat from wandoor will take approximately an hour to reach the jolly buoy. There is a great coral reef surrounding the island. 
There are restrictions to bring plastic covers due to environmental issues and protection to coral reefs. 
Scuba diving and snorkeling facilities are available for some few charges. 
Glass boat ride is astonishing with superb coral reef viewing.",Apr-18
So much to keep this island clean !,Jean francois C,"Pontoise, France",ui_bubble_rating bubble_30,10-Jan-19,"You cannot take a water bottle and you have to rent a gourd and no plastic bag allowed obviously. After a nice boat trip in the national park, you reach Jolly Buoy Island to find garbage and plastic bottle. In addition to that, there is a shop which sells ships wrapped in plastic bag. Otherwise the island is very nice but no free snorkling as usual in Andaman Islands.",Dec-18
Second to the great barrier reef,oneprashanth,"Pune, India",ui_bubble_rating bubble_50,31-Dec-18,A must visit to this island to see the marine life and corals that you cannot see anywhere else other than Australia. Kids loved it too!,Dec-18
The scuba diving in the Jolly Buoy reef is a heavenly experience,Kalyan P,"Guwahati, India",ui_bubble_rating bubble_40,30-Dec-18,"The scuba diving in the Jolly Buoy reef is a heavenly experience among the amazing array of coloured corals and fishes playing with themselves. From the reefs lots of beautiful dry sea shells of creatures and emeralds can be collected, which comes with the waves.",Jun-18
Beautiful Corals and very clear water,Travel-Bangalore07,"Bengaluru, India",ui_bubble_rating bubble_40,30-Dec-18,"This island is only for Corals and playing in water with no tides. They have reserved an area to play as it is maintained by forest department. This island is part of 15 islands of mahatma Gandhi marine park. Out of those 15 islands, only two islands are open for public. Jolly buoy is open for 6 months from 16 Nov to 15 May. And from 16 May to 15 Nov, red skin island is operational. 
It has India's best coral and world's second best coral. Glass boat is only activity here. 
We could spot sea turtle and many star fish. We had taken one hour glass boat which became bit repeatative in the end.. 
Due to one hour glass boat we got very less time to play in the water. 
It needs 3/4 day to cover jolly buoy island. 
Complimentary glass boat is for 5 minutes. More",Dec-18
Place worth for marine life to see,sweetharry,"New Delhi, Delhi, India",ui_bubble_rating bubble_50,27-Dec-18,It is worth to visit the place and learn and experience marine life in glass bottom boat ride. It was a wonderful experience to see corals of different types and clear waters,Dec-18
Paradise island,nkadagarwal,"New Delhi, India",ui_bubble_rating bubble_50,24-Dec-18,This island is like paradise on earth. You have to do advance booking for this place. There is limited sit for this place. You get ferry from Wandoor jetty. Place is very beautiful. I enjoyed Snokeing. Best coral place.,Nov-18
Must visit: Painted by Nature,ddbamotra,,ui_bubble_rating bubble_50,13-Dec-18,"This is a ABSOLUTELY must go place. You can see 3 colors of water in 20 meter span so you can assume the beauty of this place. This has no beach, no beach activities to be done but still its worth it. It opens only 6 months so make sure you plan accordingly. Coral reefs are beautiful and you can see more than 40 feet clearly with glass bottom boats. It is at par to Maldives and Lankawi in terms of water quality. Light green, turquoise, blue, dark green: All shades of water are clearly visible which is mesmerizing. How to reach: Ask your travel agent/ hotel owner to take permits for you in advance. Cost of them in 880 with GST. Ship sail to Jolly Buoy from Wandoor at 7:30 AM although they mention at 7AM. No good place to eat in Wandoor so bring your own food if possible. Plastic is not allowed on island so you have to give Rs 200 for each milton water bottle (Rs 195 is refundable after coming back). Charges: 880 including GST for reaching Jolly Buoy and 5-7 min complementary glass bottom ride. Extra charges: Rs 1000 for 1 hour 10 min for seeing all 3 coral reefs. Rs 600 for 2 reefs and 400 for single reef for 20 mins. But everyone goes for full ride cuz shelling few extra bucks at this place doesn't hurt. Reefs descriptions: First one is... This is a ABSOLUTELY must go place. You can see 3 colors of water in 20 meter span so you can assume the beauty of this place. This has no beach, no beach activities to be done but still its worth it. It opens only 6 months so make sure you plan accordingly. Coral reefs are beautiful and you can see more than 40 feet clearly with glass bottom boats. It is at par to Maldives and Lankawi in terms of water quality. Light green, turquoise, blue, dark green: All shades of water are clearly visible which is mesmerizing. 

How to reach: Ask your travel agent/ hotel owner to take permits for you in advance. Cost of them in 880 with GST. Ship sail to Jolly Buoy from Wandoor at 7:30 AM although they mention at 7AM. No good place to eat in Wandoor so bring your own food if possible. Plastic is not allowed on island so you have to give Rs 200 for each milton water bottle (Rs 195 is refundable after coming back). 

Charges: 880 including GST for reaching Jolly Buoy and 5-7 min complementary glass bottom ride. 
Extra charges: Rs 1000 for 1 hour 10 min for seeing all 3 coral reefs. Rs 600 for 2 reefs and 400 for single reef for 20 mins. But everyone goes for full ride cuz shelling few extra bucks at this place doesn't hurt. 

Reefs descriptions: First one is the biggest and most beautiful. All the colorful fishes, star fish etc are in this place. 
Second one contains mollusk and third one is similar. More",Dec-18
sea time,mehtarakeshkumar56,"New Delhi, India",ui_bubble_rating bubble_50,10-Dec-18,its an preserved island which is opened for only six months in a year . the island is surrounded by corals and marine life . the island hold second position in world after Australia great barrier reef,Dec-18
