title,username,location,rating,review_date,review_text,experience
Beautiful Beach,Soppa_0312,"Pune, India",ui_bubble_rating bubble_50,05-May-19,"We visited the Kalapathar beach as an option to the Elephant Beach as the same was closed due to rainfall. Kalapathar beach was a surprise to us and we thoroughly enjoyed our visit there. Though it was raining but we still enjoyed being in water. Due to rainfall the patthar (stones) had submerged in water & we had to be cautious while in water to avoid any injuries. 

Our biggest surprise were the Dolphins which we could see while swimming on the beach. The dolphins had come near the shore due to torrential rainfall and the sight was soothing. The food served there is also good and the locals are very helpful. They volunteered to keep our bags in their shops without charging anything. More",May-19
Heaven for sea lovers,7044454440,"Kolkata, India",ui_bubble_rating bubble_50,04-May-19,"This is one of the most beautiful beach in Havelock. The colour of the water is beautiful, green coloured and when it meets the blue sky its amazing. The water is crystal clear which makes it perfect for pictures.",May-19
Sunrise Point,travelmemos,"Kolkata, India",ui_bubble_rating bubble_50,02-May-19,I loved this beach more than Radhanagar beach due to its water clarity and its less crowded when visited early morning. If you wish to see the sunrise the you should be here early in the morning!,Apr-19
Great place to see mesmerizing sunset !,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_40,27-Apr-19,"The beach is indeed rocky but the rocks are not black, the literal meaning of the beach ! Great place to see the sunset and for wonderful awesome location photography!",Feb-19
Great Andaman Sunset Beach,Kazi Rashidul H,Bangladesh,ui_bubble_rating bubble_50,27-Apr-19,It was a nice evening for us to passing time at this famous beach of Andaman. During our visit it was less crowded. SO we enjoy the evening with a wonderful sunset,Sep-18
Kalapathar beach,Andamanemerald,"Port Blair, India",ui_bubble_rating bubble_50,21-Apr-19,"kalapather beach also good, this specially for sun rise at Havelock Island, special for photo shooting place for touriest, more attraction for mooring time",Apr-19
Kalapathar beach,Suvresh,"Bengaluru, India",ui_bubble_rating bubble_40,21-Apr-19,You can name it the sunrise beach. This might be best place to jump into the water. As the many bigs rocks around as the name suggests. But again clean beach nice shades along the beaches. You should carry a camera to capture the epitome of nature.,Apr-19
Just wow,291273,,ui_bubble_rating bubble_50,21-Apr-19,Why to go maritus came in mind when I saw the beach it's clean teal blue beach where u can sit for hours,Apr-19
Beautiful place,Jhakastraveller,"Noida, India",ui_bubble_rating bubble_40,08-Apr-19,Its only 20 mins drive from the jetty. The beach has natural stones along were one can stand and take picture. Good place to swim during high tide. During low tide its filled with rocks. .,Mar-19
Scenic Beach at Havelock,KAUSHAL G,"Mumbai, India",ui_bubble_rating bubble_40,07-Apr-19,Ride to Kalapathar is awesome. Driving on the shore line to reach there is very scenic. Beach is peaceful and less crowded.,Apr-19
Must watch sunrise,rajforyou2003,"Bengaluru, India",ui_bubble_rating bubble_50,02-Apr-19,Make sure you are visiting the kalapathar beach at 10-15 minutes before sunrise. The rodes are good.,Mar-19
Very Quite and peaceful beach.,sweetzainu34,"Mumbai, India",ui_bubble_rating bubble_50,01-Apr-19,This beach is silent and has some amazing shopping stalls just outside the beach. It also has small food stalls serving good food.,Mar-19
Picture perfect beach,866gdv,"London, United Kingdom",ui_bubble_rating bubble_50,31-Mar-19,"Picture perfect beach 
Clear blue waters, soft sand and a great sunrise everyday. We trailed away from the main beach area and the crowd and then felt like we had our own private beach. 
The waters are just amazing and you can see through them. You will find a huge number of local tourist but they mind their own business. 
We were swimming and also noticed few people snorkel. When we spoke to them they informed that the fish ain't that many but are visible time to time.",Mar-19
One time visit,Rahul K,,ui_bubble_rating bubble_50,29-Mar-19,Just to explore Havelock island you can visit at this beach...People who likes photography they will get nice views..,Mar-19
Perfect to play in water,aasheeshk2014,"Panchkula, India",ui_bubble_rating bubble_40,28-Mar-19,"Many secluded nooks for a private beach frolicking session.clean and pristine.as with everything else,don’t head directly to the entrance but keep looking for suitable spots along the road..u won’t be disappointed.",Mar-19
Swimming in the sea,ranjanchou,"Guwahati, India",ui_bubble_rating bubble_40,27-Mar-19,Very nice beach to relax and swim in the sea waters which are clean and calm . However the area is small and can get a bit crowded. Has some shacks on the road side serving snacks and tea / coconut water..,Mar-19
