title,username,location,rating,review_date,review_text,experience
Sunset Beach,DebaratiS22,"Kolkata, India",ui_bubble_rating bubble_50,29-Apr-19,"Vertical and stony beach.Its Not ideal for swimming or any water activities.Enjoy mesmerizing sunset at the most west corner of the beach. 
Beach is full of colorful dead corals and shells but unfortunately you are not allowed to take them with you.",Jan-19
Amazing view of Natural Bridge and live coral and colorful fishes !,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_50,27-Apr-19,"My advice to all is please take a guide to show you live corals and explore the beach. We took Mr Rahul as our guide in the beach, suggested by our driver Mr Sushanta Bairagi. On hindsight that was the best decision that we took - Rahul took us in every nook & corner to show us so many live corals, fishes, sea cucumber, conchs, jelly fish. Lastly he took wonderful photographs for me with my wife! It was our one of the best experience in Neil Island.",Apr-19
Wonderful Evening,Kazi Rashidul H,Bangladesh,ui_bubble_rating bubble_50,27-Apr-19,It was a wonderful experience to time pass the whole evening at this famous beach of Neil Island & enjoying the scenic sunset.,Sep-18
Wonderful scenic beauty,zamakb,"Bangalore District, India",ui_bubble_rating bubble_50,19-Apr-19,"This beach is awesome for sunset must visit in neil island neat and clean beach, wonderful time spent on the beach",Apr-19
Clean and serene beach - ideal for sunset,BGUPTA2018,"Chandigarh, India",ui_bubble_rating bubble_50,16-Apr-19,"We visited Neil Island in March 2019 and had the opportunity to enjoy a wonderful sunset at Laxmanpur Beach. Though it was cloudy, the sunset was worth seeing.. going behind clouds and then emerging as a round ball of orange. It was amazing. The beach is clean, sandy and it is wonderful to enjoy a walk on the seaside. 
Moreover, the small shops selling knickknacks on the sea shore were very tourist friendly. 
We really enjoyed the beach and I am sure others would too!! 
another beach again called Laxmanpur 2... was full of corals and had an amazing natural bridge.. that is water was very high at some point in history. We hired a guide who showed us so many live and dead corals all along the rocky beach.... and the water level kept rising. We all really enjoyed the trip. More",Mar-19
Must visit,Devendra G,,ui_bubble_rating bubble_50,29-Mar-19,"Firstly, there are two different Laxmanpur beach, No.1 and No. 2. Both beaches are a must visit. Now focusing on each of the beaches: 

Beach number 2 is were Howrah bridge and other natural rock formations can be seen. The beach has both live coral and dead coral. You must visit the beach along with a guide which you would easily get outside the beach. The guide would tell you the property of all the variety of corals and sea creatures which are easily visible on the rocky beach due to low tide. Beach number 2 is a must visit and is very different from any other beach in andaman islands. 

Beach number one is famous as a sunset point. It is a also a rocky beach but unlike beach number 2, there is sand on the shore and you can sit and enjoy the wind and the view. These beaches are a must visit if you are in Neil Island. More",Mar-19
Calm and peaceful,KhyatiK15,"Vapi, India",ui_bubble_rating bubble_30,29-Mar-19,Sunrise or sunset if planned accordingly during your visit to this beach will make it more worth.. overall nice beach and place..,Jun-18
A beautiful sunset point,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,This place was beautiful at sunset. You should see this place close to the sunset. A point to keep on mind is that at Andaman the sunset happens earlier than usual.,Mar-19
rocky beach,travelpassion007,,ui_bubble_rating bubble_20,25-Mar-19,"not good for swimmilng , u can also encounter snake there , this beach is famous for howrah bridge a natural rock formation for sunset",Mar-19
Very Good Beach in Neil Island,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_40,21-Mar-19,"If in A & N, one has to visit Havelock and Neil Islands. Laxmanpur beach is very good beach in Neil Island. Though not over crowded like Radhanagar or elephanta it has lenghthy sandy beach. Small stalls are seen in one side, who prepare hot maggie, Omlete, Pav Bajji on request.",Apr-18
