title,username,location,rating,review_date,review_text,experience
Exotic mangrove forest and caves,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,From Port Blair it takes around 3 to 4 hrs to reach Baratang Port from where you will have to take a speedboat ride through mangrove forest and then a 10 mins hike through forest. Naturally formed limestone caves which is believed to be under the sea at one point of time.,Apr-19
Naturally formed Limestone CAVES,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_50,21-Mar-19,The caves are near Baratang. This is accessible only through a speed boat from Baratang (A&N). The sea journey in speed boat is really enjoyable since it covers thick mangrove growths on eitherside and narrow waterways amongst these dense Mangrove forest formations. Really eco friendly surroundings. On reaching There is wooden erected platforms to enable tourists to cross over Mangroves and reach the land. About 1.5KM walk is really worth once you reach the Limestone caves. This is naturally formed Caves and there are lime formations which is unique and really amazing. Various lime formations give us similarity to real models like lion's paw. Never miss the cave if you happen to go to A & N. More,Apr-18
Natural caves made up of lime,contact_mohit33,Gurgaon,ui_bubble_rating bubble_50,20-Mar-19,"Lime caves are natural caves made up of lime stone. After reaching baratang island, a speed boat with take you to mangrove forest and then after a walk of 1.5 KM, you will reach this amazing place. The stone of cave is of different color due to impact of light and sun rays as entering into cave from small holes. Differnt shapes has been created naturally in these caves.",Jan-19
Superb,ms14_delhi,"Mumbai, India",ui_bubble_rating bubble_50,12-Mar-19,The long journey to baratang that starts at 3 in the mornings is worth the pain of the travel passing the reserved forests of Jarawa tribes on the way the gates of which open only at regulated tons few times a day. The road journey is followed by a public ferry then private motor boat through the mangroves followed by a trek. The natural caves with a variety of naturally formed figures are a delight,Mar-19
Baratang Trip,KapoorSakshi,"Noida, India",ui_bubble_rating bubble_20,01-Mar-19,Limestone caves have deteriorated and hardly any left to view. The boat ride ad investing 1 complete day is not worth it for the place . Though the mangrove forest boat ride will be good and gazing at the river side you might spot a crocodile. The guides will rush you through the trip. This area is too warm due to special trees around so make sure to carry your cap and sun creams along.,Jan-19
Title,KSNAR,"New Delhi, India",ui_bubble_rating bubble_50,12-Feb-19,"Awesome experience. Boat ride through dense mangroves on the way to Limestone caves is really, really awesome. 

:-)",Feb-19
Pretty much a journey worth remembering,SambeetM4,"Bengaluru, India",ui_bubble_rating bubble_50,09-Feb-19,"A visit to Limestone Caves located in Baratang Island is one of its kind . The journey is worth it . You have to start at 2 am at night from Port Blair in order to reach the checkpost . After obtaining the permit , you need to go through Jarawa tribal forest area to reach Bartang Pier . From there you will have to take a boat to reach the Limestone caves. 

Limestone caves have naturally forming Limestone figures of different shapes and sizes. 

Highly recommended 
Notes : Do wear proper shoes .",Dec-18
Journey is more exciting than the destination.,sangishan,,ui_bubble_rating bubble_40,09-Feb-19,"A visit ti Baratang islands and the limestone caves there is full of adventure. This is a classic case of the phrase ""journey is better than the destination'. This journey involes both land and sea transfers. The only difficult part of the journey is that it starts very eary in the morning ,around 2.30 am or latest by 3am. The first part is the transfer from your hotel to the checkpoint before the Jharawa Forest Reserve, about 50 Km. Then there is a long wait till 6am and filling in of forms for permits etc.One can have a simple breakfast of fresh idly ,tea or coffee here,though I will suggest that you carry packed food from your hotel.There is a public toilet but it is not very clean .Seeing the number of tourists that visit this place the administration needs to build better toilets and rest rooms here. At 6am all cars and busses enter the Jharawa Forest Reserve in a convoy,with armed policemen. One cannot overtake, nor exceed 40km speed limit. The forest is very very dense.There are Jharawa tribals living in this forest and it is not uncommon to see them along side the highway.Ocassionaly they may even try to stop your car and ask for food.Dont worry , your driver will handle that. At the end of the forest reserve your vehile is loaded onto a vehicle ferry and after 20 minutes reaches Baratang Jetty.From here one... A visit ti Baratang islands and the limestone caves there is full of adventure. 
This is a classic case of the phrase ""journey is better than the destination'. 
This journey involes both land and sea transfers. 
The only difficult part of the journey is that it starts very eary in the morning ,around 2.30 am or latest by 3am. 
The first part is the transfer from your hotel to the checkpoint before the Jharawa Forest Reserve, about 50 Km. 
Then there is a long wait till 6am and filling in of forms for permits etc.One can have a simple breakfast of fresh idly ,tea or coffee here,though I will suggest that you carry packed food from your hotel.There is a public toilet but it is not very clean .Seeing the number of tourists that visit this place the administration needs to build better toilets and rest rooms here. 
At 6am all cars and busses enter the Jharawa Forest Reserve in a convoy,with armed policemen. 
One cannot overtake, nor exceed 40km speed limit. 

The forest is very very dense.There are Jharawa tribals living in this forest and it is not uncommon to see them along side the highway.Ocassionaly they may even try to stop your car and ask for food.Dont worry , your driver will handle that. 

At the end of the forest reserve your vehile is loaded onto a vehicle ferry and after 20 minutes reaches Baratang Jetty.From here one gets into a powerful motor boat.This takes you along the mangrove forest for 30minutes to a creek.After a 15 minute journey in the creek you reach an elevated woodden walkway ,bulit over the mangrove roots.The scenic beauty of this place is spectacular. 

Then after a 2 km walk one reaches the limestone cave.At best the cave is average,but the spectaular and adventure filled journey more than makes up for this. More",Jan-19
Nature in innovation,tirthabhatt08,"Kolkata, India",ui_bubble_rating bubble_50,31-Jan-19,"The Mangrove walkway,the jungle trek trail,the awe inviting cave with dripping water,and the ever changing limestone formations is worth seeing.Hire a speed boat from baratang jetty to the limes stone cave.the best part of the travel apart from the limes stone formation is the boat ride through the thick mangrove forest.your boat man will be your guide.",Jan-19
Mangrove forest..limeatone caves..,CharooNegiJ,,ui_bubble_rating bubble_40,30-Jan-19,"The day started too early ..2.30m we started from portblair to reach the spot from where the convoy starts. The reserved forest area which you move through for an hour and a half, under security and in a convoy if about 25 vehicles . so there are 2 slots 6am and 9am. We reached around 4.30am and waited till 6...the roads are bumpy. We could see few tribals on the way. Then a ferry took ua to the other side(15min ride). From there, speed boat to the mangrove forest(amazing ), approx 20min ride. From there, a 3km trek to the limestone caves. The caves are a beautiful creation of nature, formed under the right mix of rainfall and heat. It was exhausting but totally worth it. Be prepared for long day.. keep-sunscreen/snacks/hat/mosquito repellant and lots of patience. More",Jan-19
