title,username,location,rating,review_date,review_text,experience
"Efficient, on-time, easy",Neelie C,,ui_bubble_rating bubble_50,06-May-19,"Even though it's at a premium fare, taking a Makruzz ferry between the gorgeous islands of Andamans is totally worth it. It's the quickest option and very relaxed. From checking in to claiming baggage, it's all very simple. We also got a chance to meet Capt. Bobby and First Officer Karan on our trip. They are great gentlemen and I felt pretty safe knowing our journey was in their hands. Well done, Makruzz. Great team and great experience!",Apr-19
Best in Business,Soppa_0312,"Pune, India",ui_bubble_rating bubble_40,05-May-19,"The Makruzz ferry services are probably best in the business when it comes to inter-island commuting. The staff is highly professional which makes the ride much more better. The in-house café is also great with some nice variety of food. However, there is no proper deck and therefore no one is allowed on the deck which is like a turnoff. 

We boarded MAK 2 for travelling to Neil island and then to Port Blair from Neil. MAK 2 has tainted glass or rather black windows which doesn't allow the view of the sea. The sea ride to Neil and Port Blair from Neil is very, very choppy and a lot of travelers experienced nausea and sea sickness. 
All in all a good experience. More",Apr-19
Luxury sailing,jewelynroy,,ui_bubble_rating bubble_50,05-May-19,We as a family of 6 visited Andaman last month all excited to know what the beautiful island had in store for us. Cruising away to the gorgeous Neil in Makruzz Gold was on of the highlights of the trip. The ship offers smooth travel with luxury at very affordable prices. The staff are extremely helpful and polite and are very courteous in managing some super excited travellers . The icing on the cake for us was being able to cruise with the captain himself Mr. Bobby Giles and Chief officer Karan Narang. Super helpful with giving us the right information we needed to go about with our adventures at Neil to letting us witness the trill of sailing along with them. Strongly recommend that you use Mak for ur cruising while in Andaman. Go witness it urself. Its breathtaking. Cheers! More,Apr-19
Vacation,199mohammedn,"Bengaluru, India",ui_bubble_rating bubble_40,02-May-19,"Nice experience, but we not allowed outside to enjoy the atmosphere, otherwise it was nice and short journey",Apr-19
My Ride on the Makruzz,Shabana K,"Mumbai, India",ui_bubble_rating bubble_40,30-Apr-19,"Professionally Managed, Clean Ambience , punctual and great experience. 
Would sure like to recommend!",Apr-19
Great service from port Blair to havelock,ShakeOnVacay,,ui_bubble_rating bubble_50,29-Apr-19,"We took the makruzz from port Blair to havelock and back. 

We were on the upper deck (delux) class, but there wasn’t much difference. The entire ship is air conditioned and very comfortable. The seats are clean and well maintained. Every journey was on time. You can purchase snacks and beverages on board as well. 

We needed to change the time on our trip back to port Blair, had to get it the tickets changed at the havelock jetty but it was a quick and easy process. 

Great way to get around the islands.",Apr-19
Excellent Service,AP1729,,ui_bubble_rating bubble_50,28-Apr-19,"Traveled from Port Blair to Havelock at back. The ferries were around 1450Rs per person per journey. [1450 Rs for PB -> Havelock and 1450Rs back]. The jetty for Makruzz at Port Blair is Hadoo Jetty, near Chatham [NOT Phenoix Bay (only for govt)]. Reach Hadoo Jetty atleast one hour prior. It is like an airport with security , check-in (where they assign seat nos) and then boarding. Surprisingly on the return journey there was none of this and direct boarding was present. 

The boats were quite nice and punctual. Would recommend bringing your own food- as the food they sell on the boat is more expensive. Only main complaint was couldn't see outside very well - as the windows were very dirty. More",Apr-19
Facility could be better !,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_30,26-Apr-19,"I went to Havelock Island from Port Blair by availing Makruzz boat service. The windows were covered hence no view for about 1.5 hours ride. Loud music playing on the TV was the only mode of entertainment. Food on board, I found a bit costly.",Apr-19
Clean and quick ferry,Vanepar,"San Jose, Costa Rica",ui_bubble_rating bubble_40,25-Apr-19,"The quickest way to travel within the Andaman Islands. It was punctual and staff was friendly. 
Our ferry from Port Blair to Havelock island was very fast and stable. 

Safety precautions could be taken more seriously. The emergency exit on the stern was blocked with all the luggage. If there had been an emergency, this would have been very bad. 

You have to show up 1 hour before the departure time. You have to go through security and then make a line to “check in”. Make sure you have your printed ticket. Once you check in you must wait in a hot waiting room with the whole ferry load until it’s time to board. 

The seats were comfortable but did not recline. The windows have a film so you cannot see out. It’s a bit claustrophobic. You have no sense of direction and you miss out on the outside scenery. There are onboard TV’s looping Indian music videos at full blast. 

Our return ferry did have windows so we could enjoy the island scenery. 

Travel tip: print your tickets beforehand. Small Hand luggage can be taken with you. No need to check it in with luggage. If you check in early you get better choice of seats. The bad side is you need to spend more time waiting in hot waiting rooms. If you are claustrophobic this is not the ferry for you. More",Apr-19
Its Really a Cruise...Awesome...Equal to Flight cockpit,Balaji-Bhava,,ui_bubble_rating bubble_50,25-Apr-19,"It was a great experience. The cost which they are charging for the cruise is very moderate and it is worth payable. Ambience, staffs and all are great!!!",Apr-19
Excellent vessel but regret,plgrteam,,ui_bubble_rating bubble_40,25-Apr-19,Makruzz has excellent facilities and cabin is clean as well. But one of regret point is their reservation system that they will not refund when we cancel it.,Apr-19
Nice trip without any problems,291273,,ui_bubble_rating bubble_50,25-Apr-19,Many reviews we saw people say they were puking n all but the ride was really smooth when we travelled from Port Blair to Havelock n from Havelock to Neil. Tip one should travel in morning ferry as the sea is silent that time.,Apr-19
My experience,bndbrahma,"Bangalore District, India",ui_bubble_rating bubble_50,22-Apr-19,"I booked Deluxe suit. Go little early to d check in counter and request for window seat. Ground staffs are gud. Ladies did a gud crowd control. On board staff wer very polite very helpful. Serves u free water bottle. I booked my food. So d sandwich which dey served was okay. I asked dem lot of questions. Spoke to the captains also. Dey showed me the control room. Dey don't allow people in d deck area bcz of safety reasons. 
Only problem was that few windows wer not clean which did not give a clear view. dey shud take care of dat. Overall experience was gud. Definitely recommend Makruzz.",Apr-19
Very good facility and service,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,"We took makruz from port Blair to Havelock, Havelock to Neil and Neil to Port Blair. Check in was hassle free and on board facilities were very good. Good music and cafe is available.",Apr-19
Luxury cruise with quality service,EshiTravelTalker,"Mumbai, India",ui_bubble_rating bubble_50,21-Apr-19,"I traveled in this cruise from Port blair to Havelock and from Havelock to Neil Island and back to Port blair. The seat numbers need to be taken on check-in counters. 
It can accommodate large number to people through various class like Premium, First etc. 
It also has it's own small cafeteria for food and beverages.",Feb-19
Quality service,DrRajib81,,ui_bubble_rating bubble_40,18-Apr-19,"Availing service from mackruzz is worth... comfortable, luxurious,cozy,,,but loopholes also,1)closed environment- no chance to go to open deck,so you will miss flying fish which is amazing to experience,, green ocean has the facility,2)some cruises have dirty window glass,so you have no option left to see outside clearly,3) during online booking,options to choose seat should be there like flights,but green ocean has the option..",Mar-19
An Awesome Experience.,Rahil1101,"Ahmedabad, India",ui_bubble_rating bubble_40,17-Apr-19,"I booked Ferry for Havelock, Neil & Portblair which was totally worth. Overall, It was a good experience to travel from one Island to another island. I strongly recommend this.",Apr-19
not recommending,skroyIND,,ui_bubble_rating bubble_20,15-Apr-19,"the cruse shows and issue ticket in various time slots but actually runs 1 or twice a day and force u to accept in their changed time and offer odd seats. no one to hear ur issue, rude staff,book after proper query",Apr-19
Excellent experience,KAJALTEJUJA,"Mumbai, India",ui_bubble_rating bubble_40,14-Apr-19,"The service & facility is excellent. Comfortable and enjoying cruise. If only they can provide see through glass window, online seat selection and better port and baggage handling facilities. The jetty road at Neil island is under repairs, hence damage to your baggage wheels is expected.",Mar-19
Beautiful and comfortable experience,VINEETS19,Chandigarh,ui_bubble_rating bubble_50,12-Apr-19,"We travelled from Havelock to Neil Island on a Makruzz Gold. It's quite a new, clean and beautiful ship. Some pointers: 
1) I didn't find any difference in economy or luxury seats. Only that one is one a higher deck but once you are in - the deck or floors in Makruzz doesn't matter. All seats are same and there is no view as all glass windows are convered with thick dark blue tinted sheet. 
2) Seats are better than a domestic flight in India. 
3) Small canteen is available on board. 
4) AC is really good and strong. 
5) Very punctual.",Apr-19
Bad Baggage Handling Facilities.,tejujaa,"Maharashtra, India",ui_bubble_rating bubble_40,07-Apr-19,"The cruise experience is excellent. Only if they the dark window glasses, passengers can enjoy the ride. Further the biggest disaapointment was the baggage handling. Although the screening happens like at airport, you are not sure that your baggage is safe. No baggage tags are issued to confirm. Neither you are allowed to wait and watch your baggage being boarded. All guests are asked to leave their baggage near one end of the cruise and asked to board at the other end. Further we were shocked to find our baggage kept in the open on board while cruising. So if it rains or with big waves your baggage is definitely going to get wet. They also do not secure your bags on board risking of the same getting dropped in the sea. Further at none of the jetties they have shade to offload the baggage if it rains. While reaching port blair from neil island it was raining heavily. The only shade provided was a common plastic sheet around 20*15 feet with some holes which was to be caught by the passengers themselves for creating a covered shade for paasengers and baggage. Just imagine around 100 people standing under this sheet waiting for their baggage and a mad scramble to search for your baggage in the rain. If we are charged a good amount why not provide a decent facility. The neil island jetty is also not user friendly with... The cruise experience is excellent. Only if they the dark window glasses, passengers can enjoy the ride. Further the biggest disaapointment was the baggage handling. Although the screening happens like at airport, you are not sure that your baggage is safe. No baggage tags are issued to confirm. Neither you are allowed to wait and watch your baggage being boarded. All guests are asked to leave their baggage near one end of the cruise and asked to board at the other end. Further we were shocked to find our baggage kept in the open on board while cruising. So if it rains or with big waves your baggage is definitely going to get wet. They also do not secure your bags on board risking of the same getting dropped in the sea. Further at none of the jetties they have shade to offload the baggage if it rains. While reaching port blair from neil island it was raining heavily. The only shade provided was a common plastic sheet around 20*15 feet with some holes which was to be caught by the passengers themselves for creating a covered shade for paasengers and baggage. Just imagine around 100 people standing under this sheet waiting for their baggage and a mad scramble to search for your baggage in the rain. If we are charged a good amount why not provide a decent facility. The neil island jetty is also not user friendly with an under construction bridge to be crossed to reach the cruise. The bridge road is so pathetic that your strolley wheels may break. And thats why they have local men making money by providing hand carts to ferry your baggage to the cruise. More",Mar-19
Best way to travel between Island,drvineetmish,"Jaipur, India",ui_bubble_rating bubble_50,07-Apr-19,Nice cruise with all basic amenities...used premium services..neat and clean and well managed...however luggage delivery service cud be improved,Mar-19
Excellent,Mansi J,,ui_bubble_rating bubble_50,06-Apr-19,What more can you ask for. Absolutely spic n span. Air conditioner at its best. On time service. Great crew. Only thing it's best to book it Online to avoid big ques and also at the counter tickets sold are expensive. It's best to buy online,Apr-19
Well maintained ferry,ranjanchou,"Guwahati, India",ui_bubble_rating bubble_50,04-Apr-19,"The best part of this ferry is that it is on time and very well maintained. The seats are comfortable and the air conditioning is good. The crossing to Havelock takes about 1 and 1/2 hour . Great clean toilets..Only improvement is if they allow the attendants to get you the hot drinks like tea and coffee from the stall on the lower deck as walking around for senior citizens on a moving ship may be a little difficult. Excellent staff , cordial and helpful...",Mar-19
Excellent,348sumitm,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,03-Apr-19,Excellent ride. Very well maintained. Clean. Very helpful and ever smiling staff. AC went problematic from Neil to Port Blair but the way the staff handled everything is commendable. Must include in your andaman trip.,Mar-19
"Excellent way to commute between Port blair,Havalock & Neil Island...",Vaibhav K,"Raigarh, India",ui_bubble_rating bubble_50,02-Apr-19,"Traveled by Makruzz-Deluxe class from 
a) Port blair to Havalock 
b) Havalock to Neil island 
c) Neil island to Port blair. 

The sailing was smooth & comfortable.We were provided snacks (only in Deluxe class).No sea-sickness experienced. 
Makruzz -Gold class type ships are more comfortable. 

Travelers luggage should be handled by Makruzz staff in more professional way.saw them throwing the baggages & 1-2 co-passengers had complained about damaged bags.But they were compensated by the staff,thats the good part.....",Mar-19
Relaxing and faster ride,Rohitaggarwal2807,,ui_bubble_rating bubble_40,01-Apr-19,"The experience for the cruz was brilliant. It was on time. 
But if you want to go on deck of cruize and wanna see some dolphins and all then go via government ferry or green ocean cruize.",Mar-19
Very professional,Gurdev,Bangalore,ui_bubble_rating bubble_50,30-Mar-19,We had taken the green ocean before we took this ferry service. We were very pleased by the professional level of service we found on this ferry. Most importantly the economy level passengers are not treated like animals.,Mar-19
Very comfortable journey,Devendra G,,ui_bubble_rating bubble_50,28-Mar-19,"During our visit to andaman islands, we boarded the Makruzz thrice. From Port Blair to Havelock; Havelock to Neil island; and Neil island to Port Blair. Very neat and clean cruise, the best available option for travel between islands in Andaman. It has tickets available in multiple options. We booked the deluxe category tickets. I would not recommend travellers to book tickets above the deluxe level as it would not be worth the money. Breakfast and eating options are available onborad, however would recomment to take breakfast from hotel before onboarding.",Mar-19
Convinient travel,ajaya737,,ui_bubble_rating bubble_40,25-Mar-19,"for a comfortable and faster travel. A stable vehicle so less seasickenss, well maintained and clean.",Apr-18
Good boat and nice cruise experience,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,The vessel is very good quality. We enjoyed the experience in Makruzz. We traveled from Havelock to Neil Island in Makruzz and it was a nice experience.,Mar-19
Memorable Ship journey to Havelock,mnrkrishnan,"Kochi (Cochin), India",ui_bubble_rating bubble_40,25-Mar-19,MAK Passenger cruise ship was ferrying between Port Blair and Havelock. The ship is air conditioned and fresh cakes/snacks/soft drinks/coffee-Tea are available inside. Viewing the sea travel is difficult from the seat and one has to come side the sitting area and view the sea from windows available in the rear portion.,Apr-18
Port Blair to Havelock,arsunspiks,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_40,24-Mar-19,Used this ferry for the to & fro journey between port Blair and havelock. Looks very slick. Speed seemed fine. However the whole setting area is enclosed and no one is allowed on the main deck. That's a bit disappointing. Also doesn't seem to handle choppy waters too easily. On the way back to port Blair the grey was tossed about by some decent sized waves. Overall good fun.,Mar-19
Loved everything but the windows,Krismurphy01,"Miami, Florida",ui_bubble_rating bubble_50,23-Mar-19,"The ferry was clean and there were no issues. My only complaint, if I had one, would be that the dark windows prevent you from seeing the sights.",Mar-19
Beautiful cruze,UbedK4,"Jhansi, India",ui_bubble_rating bubble_40,21-Mar-19,"Beautiful cruze with very comfortable seats, it also sell snax and beverages. The glassce are laminated with very dark black film so you can't enjoy the beauty of the ocean while cruising.",Mar-19
Highly Recommended,NitinV244,,ui_bubble_rating bubble_50,20-Mar-19,On time arrivals and departure followed by a seamless boarding experience. Staff was courteous and professional!,Mar-19
Fun ride,redcanopy,"New Delhi, India",ui_bubble_rating bubble_50,20-Mar-19,We had a very nice trip . We traveled from Port Blair to Neil island & Neil island to Havelock. Nice staff . Good seats. Fun ride.U have to confirm seats one day prior. Reach jetty one hour earlier than sailing time. It's a catamaran ship made in Singapore. Sails fast. Snack bar in the ship is boring. Overall a very nice experience. Wud like to do it again when I travel next time.,Mar-19
Nice ferry,astonish77,"Mumbai, India",ui_bubble_rating bubble_30,13-Mar-19,Of all the cruise and ferry I travelled in Andaman this was their best as it was faster than cruise. More,Mar-19
very nice experience,Mukesh02feb,"Allahabad, India",ui_bubble_rating bubble_50,13-Mar-19,"I used Makruzz for travelling from port blair to Neil, Neil to Havlock, Havlock to Port Bair. Overall journey with Makruzz was very nice. But while travelling from port blair to neil almost 30% of people vomit due to waves it is better to take some mouth freshener while travelling. More",Jan-19
Fast and comfortable way to get from Port Blair to Havelock/Neil,Ubrit,,ui_bubble_rating bubble_50,12-Mar-19,Clean vessel with a great crew. The journey was comfortable and no sea-sickness was felt at all. Very courteous staff. The fastest way to get from Port Blair to Havelock which takes about 1:15 hours. More,Mar-19
Royal class is totally worth the money,apoorvau2017,,ui_bubble_rating bubble_50,12-Mar-19,Extremely clean and efficient boats. Royal though at 1.5 times the price was totally worth it. Were a pleasant surprise compared to the green ocean ones. More,Mar-19
The fastest service,ms14_delhi,"Mumbai, India",ui_bubble_rating bubble_50,12-Mar-19,Pics about 90 minutes as compared to 3 to 4 hours taken nice clean and spacious best pet but tickets must be booked in advance More,Mar-19
Nothing like a ferry !,Vaishnavee,Bangalore,ui_bubble_rating bubble_50,11-Mar-19,"I was compelled to write this review because Makruzz is nothing like a ferry ! It is more like a luxury jet which takes you island hopping ! I booked my ticket online on their website itself! We need to carry a print out of all the ticket because most of the times the phone network is awful ! 
We took the ferry thrice and it was always on time! The seats are super comfortable and staff is more than willing to help you ! 
Mr. Karan onboard was kind enough to give us all pro tips about diving and fishing! It is interesting to know how they operate and carry more than 1000 people everyday from one island to another ! Nimmi was assisting us with snacks and seating was ever smiling ! If you are looking to book a ferry in Andamans it has to be Makruzz! Live the island life completely! More",Mar-19
"Fast, prompt ferry.",Prasad2478,,ui_bubble_rating bubble_40,10-Mar-19,"Makruzz is probably the best ferry in Andaman. Food is served inside the ferry & is good in taste & reasonably priced. The travel is comfortable, smooth, quick. It can be bit cleaner (saw some cokroaches) More",Feb-19
Enjoyable cruises,Alka M,,ui_bubble_rating bubble_50,10-Mar-19,Punctuality...5 stars Cleanliness...5 stars Interiors.........5stars Entertainment.5 stars only negative point is that u r not allowed to come to the deck n so can't see outside scenery otherwise highly recommended More,Mar-19
