title,username,location,rating,review_date,review_text,experience
Well maintained park,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,28-Apr-19,"Very well maintained park with children play facilities, memorials, joggers area, garden, etc. Very clean and by the sea.",Apr-19
"Great Park , decent aquarium",AP1729,,ui_bubble_rating bubble_50,28-Apr-19,"The park is a really nice place to chill where you can see the ocean and sit in the park benches. The "" I love Port Blair"" sign is here and there are some activities for kids here. 

Aquarium costs only Rs 10 to enter. There is a whale skeleton outside. The aquarium has lots of preserved marine species, some corals and some fish. It can be skipped and there isn't too much to see here.",Apr-19
Beautiful Park,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,"This is a beautiful park well maintained, neat, well lit, and they have nicely made this park on the sea. Worth a visit to this place. Especially it was a full moon so it looked even more beautiful than usual.",Mar-19
Small but well kepy,sangishan,,ui_bubble_rating bubble_30,15-Feb-19,"Nothing great,but if you have time one can visit.The park is not big ,but it is well maintained and a stroll in the evening is plesant.",Jan-19
Good sports complex,nkadagarwal,"New Delhi, India",ui_bubble_rating bubble_40,24-Dec-18,This place is famous for sports activites. You can take ferry for North bay and Ross island from this place. This is one of the famous place in Port blair.,Nov-18
More of a Biology Lab about Marine Lives.,anamikaanny,"New Delhi, India",ui_bubble_rating bubble_30,11-Dec-18,"Expect to see so many fishes, crabs, saw fish, corals, big shells, pearls in clam shells, lobster ,guitar fish some of them dead and some alive. That's it. Took around 20 minutes. Must take 50/rupees tickets for video by phone .. stills are not allowed.",Dec-18
Not a must watch but you see it anyways.,Pramod J,"Mumbai, India",ui_bubble_rating bubble_30,03-Dec-18,"I wont vouch for this place as something special. But you have to come here to go to Ross Island and North Bay, as you get your speedboat from here itself. Nothing great.",Nov-18
WORTH A VISIT: AREA NEEDS TO BE CLEANED,chow69,"Bhopal, India",ui_bubble_rating bubble_30,13-Nov-18,"Visited this place twice when we were in Port Blair recently. This particular park is made on reclaimed land, which is supposed to have been reclaimed by dumping the extra soil got from the evacuation for the construction of the Cellular Jail. The area has been done beautifully and is adjacent to the Rajiv Gandhi Water Sports Complex, the Andaman Water Sports Complex and the Netaji Subhash Bose Stadium. 
In and around the Marina Park is the Statue of Netaji Subhash Chander Bose, the PVC Memorial, the Tsunami Memorial, the Aberdeen Memorial (In honour of the battle of Aberdeen, between the Great Andamanese and the Brits). Unfortunately all the memorials and the area around them need to be maintained and cleaned. The sorry state of the PVC Memorial and the Netaji Memorial is primarily because of people littering the place and sitting all over the memorials. The Army has placed a tank close to the Netaji Memorial. 
There is a clear view of Ross Island visible from this Park. The Marine Aquarium is closer to the Cellular Jail and has a good collection of fish, corals and skeletons of sea creatures. Unfortunately the same is poorly maintained. More",Nov-18
Lot of Specimens,som71cal,India,ui_bubble_rating bubble_30,30-Oct-18,"Fisheries Department's Aquarium is located by the side of Water Sports Complex and closed on Wednesday. The daily lunch time is from 1300 hrs to 1400 hrs. Museum has decent specimens of dead marine funa. However, it's 'live aquarium part' is badly managed with sub-optimal collection of live marine fishes. Infact, the aquarium part of Samudrika Naval Museum is far superior then this place. There's a small souvenir shop run by a local self help group at its main Entrance Door; where one can find various gift items made of sea shells. This outlet is one of the cheapest selling joint of such product in Port Blair. Infact, cost of similar items are cheaper here than Government controlled ""Sagarika"" Selling Outlet. Ofcourse, to get the optimum price one has to use his/her 'Bargaining' skill upto the hilt. Overall, it is worth spending half hour at this Aquarium of Department of Fisheries. More",Oct-18
Don't waste time on this!,AnamikaS128,,ui_bubble_rating bubble_30,24-Oct-18,"Although Port Blair is beautiful, a local trip within Port Blair is not worth it given the high cost of accommodation here! Within Port Blair, only Cellular Jail is worth the time.",Oct-18
"Aquarium shows a number of fishes, corals and skeleton remains of the area",Sidhant_Sharma,"Chandigarh, India",ui_bubble_rating bubble_40,22-Oct-18,"The Aquarium is a beautiful and educative destination to be in. It has 3-4 rooms filled with all the biodiversity of sea fishes, corals and other artefacts pertaining to the area inside it. One must definitely pay a visit. Photography is not allowed.",Sep-18
Andaman First Resort Tour Travel s,Imranfirstresort,"South Andaman Island, India",ui_bubble_rating bubble_50,10-Oct-18,"It's the water sports area 
Snorkelling Jetskey drive scuba diving etc can do & enjoy a lots 
A real time fun Rs 950 per person 
Love to visit more time....",Oct-18
May visit at night if you are in leisure,Zaman B,"Dhaka, null, Bangladesh",ui_bubble_rating bubble_20,30-Aug-18,"At night the Marina Park of Port Blair is a nice Place for time pass.There is a small canteen at the gate.It's free. Near by Rajib Gandhi water sports complex is also beautiful at night,you may sit and enjoy the breeze from across the sea. 
A children park is there.",Aug-18
Fun and frolic,Shalini S,,ui_bubble_rating bubble_50,26-Aug-18,"Located along the sea,it is the place to visit in the evenings. One can stroll on the walkway or sit on the benches watching the waves. There's a performance by the Police band on some weekends. The women band is unique..... 
The children can play on the swings in the play area or cycle in the traffic park while learning traffic rules. 
There's an open air gym where a lot of youngsters can be seen working out. It is a free WiFi zone also. 
There's a jetty for water sports and some restaurants selling fast food. 
A great place for a family outing.",Aug-18
Its a delight,SaiyadRasikh,"New Delhi, India",ui_bubble_rating bubble_50,12-Jul-18,"I stayed near this park, visited here morning and in evenings. It is well within the city and decently crowded at all the times. Water is blue and very clear. The whole park including lightings and cleanliness is very well maintained.",Mar-18
Good for sea life lover,TOURIST P,"Gwalior District, India",ui_bubble_rating bubble_50,28-May-18,"It is one of the best museum to understand the different type of sea creatures. In it you can see the rearer species of sea. It include skeleton of shark, saw fish and different type of fish, coral etc. 
Photography is not allow.",May-18
Evening time acivity,abhay60,"Udaipur, India",ui_bubble_rating bubble_40,23-May-18,Good to visit in the evening and enjoy sunset. If you are going to Ross and North Bay Islands than you have to catch boat from nearby Rajiv Gandhi Water Sports Complex.,May-18
Start your trip from here,PekayNoida,Noida,ui_bubble_rating bubble_40,22-May-18,"The aquarium gives you a detailed insight to what you encounter at havelock or Neil islands. If you see this before you proceed to the islands your experience will be heightened. 

All the fishes, corals which you encounter are fully explained and you appreciate how rich this island is.",May-18
Tourist atraction,smborole,"Pune, India",ui_bubble_rating bubble_40,01-May-18,Very crowdy in the evenings. Must enjoy ride in Nicobar Hodi. A very nice view in the evening. A boat ride also can be availed,Apr-18
Aquarium must visit with kids,ersdsiva,,ui_bubble_rating bubble_40,27-Apr-18,"The Aquarium is well maintained has good collection of fish and other species. Kids will have fun learning here. Adults can have some joy time too here. 

Boats for Ross Island and North Bay leaves from this jetty.",Apr-18
Famous jetty for island,advance1984,"New Delhi, India",ui_bubble_rating bubble_40,21-Apr-18,This is one of the famous jetty. There is also sports activity in day time. This place is jetty for Ross island and North Bay island.,Jan-18
Worth visiting in Evening,Bharat_Tank,"New Delhi, India",ui_bubble_rating bubble_40,25-Mar-18,"Please take out time and take a long walk, worth visiting. the India map all illuminated in the back drop, cool winds, beautiful clean park is worth spending time out there",Mar-18
leisure,sudeep912,bangalore,ui_bubble_rating bubble_40,11-Mar-18,"this aquarium is not very big but houses several species of fish,turtle. sea is close by.It is well maintained 
nice to spent some time here.children will enjoy this.",Feb-18
small aquarium,papinr2017,"Bengaluru, India",ui_bubble_rating bubble_30,10-Mar-18,Good small aquarium. Few rare species are there. kids will love. Rs 10 entry fee. It is near the jail.,Mar-18
Nice view,ravi_vee,Galaxy,ui_bubble_rating bubble_50,18-Feb-18,"You can easily walk to this park from Aberdeen Bazaar / Clock Tower area. Located adjacent to Rajiv Ghandhi water sports complex. Nice sea view and a view of Ross Island. There is a sea food restaurant - though we did not try it - seems popular with tourists. Good seating. Clean environment. Statue of Nethaji Subash Chandra Bose and a Vijayantha Tank on display. There is a memorial for the heroes who participated in the 1857 national revolution who were 'deported' to Andaman islands. A kids park with some basic play equipment is there. As you walk down the pier you can observe Crabs and sea urchins on the left hand side. The pier is well lit on both sides making it a good place for walk. You can view the map of India with the title I Love India clearly visible all through as it is well lit in the evenings also. 
Nice place to spend a relaxing hour or two. More",Feb-18
Relaxing,RitikaC63,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,21-Jan-18,"Good place to spend your evening. Basically, a family place.There is a restaurant where you get all chatpata food items. Can give it a try.",Dec-17
beautiful view,naturelover0911,kanpur,ui_bubble_rating bubble_50,17-Jan-18,it is great to spend an evening over here. you love its keep. the park is well maintained. a good place to enjoy,Jan-18
