title,username,location,rating,review_date,review_text,experience
Serenely,720madhavv,"Bangalore, India",ui_bubble_rating bubble_50,11-May-19,"One of the cleanest beaches on Earth. 
Nice white sand & greenish waves. If you love surfing this is the place. 
Though it's extremely humid, if you Game to get tanned, just go for it. 
No local disturbance, no crime, great place to be who you are without any fears.",May-19
The best beach I have ever seen in my life,HeliosAdi,"Chennai, India",ui_bubble_rating bubble_50,10-May-19,We stayed at the Barefoot Resort which is on Radhanagar Beach and to make our way to the beach we'd pass through a patch of forest with really old trees with thick trunks. The beach in itself is rated to be one of the best in the world and from all the beaches I have ever seen in my life this was indeed the best ever. The water is pristine and the scenery is picturesque.,Apr-19
True to its identity,gaurav j,"Jaipur, India",ui_bubble_rating bubble_50,09-May-19,"Most spectacular beach seen till date, Humongous in size and gentle waves increases the beauty of the sea. Jogging on the shore in the morning with cool breeze shouldn't be missed. Temperature of sand around Oct is favourable for kids to play. Road leading to the beach is also very photogenic. Would love to visit the place if ever get a chance.",Oct-18
Wow!,gargi28,"Navi Mumbai, India",ui_bubble_rating bubble_50,09-May-19,One of the most beautiful beaches I have ever been to. Clean & welcoming water. Spent many hours here.,May-19
Enjoy some coral reefs,Rojmira_india,"Jaipur, India",ui_bubble_rating bubble_40,08-May-19,"Such a beautiful tropical place to enjoy natural coral beauty, we loved it such a pretty things to acknowledge but we overlooked most of the time.",Jun-18
Serene,Soppa_0312,"Pune, India",ui_bubble_rating bubble_50,04-May-19,"The beach did not disappoint! It is a huge, huge beach with restricted area access to people entering the water for swimming or having fun. It has white sand and the water is turquoise blue which makes it the most sought to beach in the Havelock island. One can easily spend over 2-3 hours at this beach enjoying the beauty. 
The beach has a locker facility and also a changing room facility which makes it easier to enjoy over the beach without worrying about belongings. The food stalls outside the beach premises over price almost everything especially mineral water, So it is advisable to carry your own water to avoid buying water from the beach. 
It's a must visit !! More",Apr-19
SUNSET,7044454440,"Kolkata, India",ui_bubble_rating bubble_40,04-May-19,This is a place where you should go during sunset. The sea gives you clean big waves ideal for sea bathing. You can enjoy with your partner or family. Remember to carry towels so that you can change your clothes in public. The changing room closes at 4pm - 5pm (depending upon the mood of the authorities) which is not justified whereas the beach closes at 5.30pm. So if you are in the water till 5.30 then you may fall in trouble.,May-19
Radhanagar Beach,travelmemos,"Kolkata, India",ui_bubble_rating bubble_30,02-May-19,"The beach closes by 5 pm in the evening. A good place if you want to play with the sea! The only con about this place is that the ""Changing room "" , gets closed by four and the staff people are least bothered to provide you any help even if you try to explain them that "" you are a woman! """,Apr-19
The best beach in Havelock,Anirudh_Anand,"Bengaluru, India",ui_bubble_rating bubble_50,02-May-19,"Radhanagar beach, thanks to the efforts of the locals and the resorts around, is pristine to say the least. The clear blue seas coupled with a clean and reasonably empty beach makes it an idyllic location to spend time.",Apr-19
Extraordinary delights!!,MIIZ_Traveller,"Hyderabad, India",ui_bubble_rating bubble_50,02-May-19,"On a full sunlit day - this beach is literally heaven! Beautiful wooded entrance (with massive Padauk trees), superb white sands and a complete range of mesmerizing blue and green sea - with flush green trees and hills all around. And yeah - waves to die for - constant rightly proportioned waves on a beach that's shallow for 100-200 mts, its a adrenaline ride without a ticket!",Apr-19
One of the most beautiful beach,NJain_10,"Kolkata, India",ui_bubble_rating bubble_50,28-Apr-19,"White sand. Soothing waves. Scenic sunset. 
Very clean beach. This is a beach to relax and enjoy. Different from the beaches on the other areas with no corals.",Apr-19
Wonder Natural beach,Kazi Rashidul H,Bangladesh,ui_bubble_rating bubble_40,27-Apr-19,We passed a great time in this white natural beach in the core of mother nature during our stayed in Havlock. It was wonderful Experience for us.,Sep-18
Awesome memory,AmitabhChakraborty,"Mumbai, India",ui_bubble_rating bubble_50,26-Apr-19,"The most famous tourist destination in Havelock offers miles of unpolluted experience of walking on the beach, great sight of flora and fauna, and a magnificent view of the sunset.",Apr-19
Serene and Peaceful white sand beach,Rahul G,Delhi,ui_bubble_rating bubble_50,25-Apr-19,The best beach I have ever visited. Very clean and very very fine white sand with crystal clear waters. Very calm without any shacks or commercial activities on the beach. Just enjoy the surroundings and sunset here,Apr-19
THE nicest beach of Havelock!,Vanepar,"San Jose, Costa Rica",ui_bubble_rating bubble_50,25-Apr-19,"Beautiful beach with powder white sand. You can spend the full day here and admire the blue ocean or the huge trees. 
Walk the entire beach and explore the patterns created by crabs. 
Caution: Sometimes the waves get big, so go in only if you are a good swimmer.",Apr-19
The best beach in india,ps_selvakumar,,ui_bubble_rating bubble_50,24-Apr-19,Needless to say this the best beach in india. The road leading to the beach itself is wonderful. The narrow road leads have both sides the supari plantation. There are shacks near to the beach where they sell snacks and meal and tender coconuts.the beach is enjoyed best during low tide. You can swim in the beach as it is safe unlike other Andaman beaches which will be rocky. The beach is soo surreal that the entrance is guarded by tall trees which is typical of Andaman. The whole stretch of the beach is covered by dense forest and forms a cove. The place where you see the dense forest and the turquoise water.. its one of best beaches in the world and i never have visited a such a beautiful beach till now. There are lockers dress change bath restaurant available. It is a sunset beach so plan your trip in the afternoon so that you can watch sun setting among the tall trees. More,Apr-19
Stunning,katiep319,,ui_bubble_rating bubble_50,24-Apr-19,Beautiful beach. Head far west to avoid crowds and snorkel by the coral. Book taxi back in advance as they get booked up.,Apr-19
Best beach for family but needs dacilitues,thanaelakshmanaramv,"South Andaman Island, India",ui_bubble_rating bubble_50,23-Apr-19,The beach is fantastic. Pristine blue water with very less waves. The depth is very shallow so good for families to take bath. Sunset at the beach was a treat to the eyes. Life guards available there and monitoring the guests. So no worry. A bit crowded and facilities for bath and change rooms are really pathetic. Since stayed near the beach we could bathe and change clothes at the resort itself.,Apr-19
Breathtaking,DDLG,Costa Rica,ui_bubble_rating bubble_50,21-Apr-19,"I come from a country with beautiful beaches and this one is up there near the top due to its natural beauty, dimensions, contrasting colors and Privacy. I am only aware of two hotels on it, and a public beach entrance that gets overcrowded. It’s a secluded beach to admire and enjoy the ocean.",Apr-19
Surely 'The Best Beach of India',Suvresh,"Bengaluru, India",ui_bubble_rating bubble_50,21-Apr-19,"We visited Radhanagar beach in the first beach of April. We could surely say that this is the best beach of India. The beach is clean as it can be. The water is very very clean with a clear visibility. The beach also has a separate showering place and multiple restaurants to fulfill your appetite. 
If you have not visited this beach, you surely must have been missing something.",Apr-19
Truly one of the best beach in Asia,jackraphael,"Dhaka City, Bangladesh",ui_bubble_rating bubble_50,21-Apr-19,Nice and clean beach. Not so crowded that’s definitely I prefer when I go somewhere. Recommend place to visit.,Mar-19
Swaraj Dweep and Radhanagar Beach,dhoomketu,"Hyderabad, India",ui_bubble_rating bubble_50,21-Apr-19,"Holidays at the Andamans cannot be considered complete without a visit to the Swaraj Dweep, also known more popularly as the Havelock island. After checking in at the hotel we hired two Scooters from a local shop(Rs 500 per day) and drove on to see for ourselves the much talked about, Radhanagar beach. While we are at it, I would like to say that hiring a two wheeler not only solves the problem of expense but also helps in enriching your experience in the island. The long drive to Radhanagar beach is a joyous one as you pass through dense foliage of the tropical island interspersed with coconut trees. The distance is about 12 km from the circle in the centre of the island, and you cannot get lost on the way, because there are only two roads on the island. And what can be said about the beach… it is an ideal beach wallpaper come to life sort of thing. The beach is shaped like a crescent with white sand(And I mean this, do not compare this even with the one you see in Goa, it makes Goa’s sand look several shades duller) sandwiched between the multiple shades of blue on one side and multiple shades of green on the other. Only eyes can capture such a view and keep it in memory for posterity. The evening was quick as time flies when you relax at the beach, go... Holidays at the Andamans cannot be considered complete without a visit to the Swaraj Dweep, also known more popularly as the Havelock island. 

After checking in at the hotel we hired two Scooters from a local shop(Rs 500 per day) and drove on to see for ourselves the much talked about, Radhanagar beach. 

While we are at it, I would like to say that hiring a two wheeler not only solves the problem of expense but also helps in enriching your experience in the island. The long drive to Radhanagar beach is a joyous one as you pass through dense foliage of the tropical island interspersed with coconut trees. The distance is about 12 km from the circle in the centre of the island, and you cannot get lost on the way, because there are only two roads on the island. And what can be said about the beach… it is an ideal beach wallpaper come to life sort of thing. 

The beach is shaped like a crescent with white sand(And I mean this, do not compare this even with the one you see in Goa, it makes Goa’s sand look several shades duller) sandwiched between the multiple shades of blue on one side and multiple shades of green on the other. Only eyes can capture such a view and keep it in memory for posterity. The evening was quick as time flies when you relax at the beach, go in for a swim in the waters, wade across the beach or just sit down watching the calmer part of the Indian Ocean. 

The evening ended with the amber circle of light slowly setting into the sea. More",Mar-19
Awesome,rakeshgs2017,,ui_bubble_rating bubble_40,19-Apr-19,We've visited the beach in April and it's such a clean beach and Waves are not so big so that children also can play. So many photospots are also there,Apr-19
The Best Beach in Asia,Mohan K,"Bengaluru, India",ui_bubble_rating bubble_50,19-Apr-19,"One of the Best Beach in Asia, It's a Pristine beach with white sands and Green waters... No big tides and its a Calm beach. This is the best beach in India, and Times Traveller has rated this as the Best Beach in Asia... Truly the best!",Apr-19
Amazing beach,zamakb,"Bangalore District, India",ui_bubble_rating bubble_50,19-Apr-19,we had visited this beach in april 19 neat and clean untouched beach. It is the best beach on the island and a must visit,Apr-19
Sunset is beautiful,ridaarefin,"Kolkata, India",ui_bubble_rating bubble_40,19-Apr-19,"We had gone in the end of March and it was very crowded here. Nevertheless, the sunset was beautiful. Beach was clean, but there are other cleaner beaches in Havelock. also, it is quite far (around 20km) from where we stayed. We were put at Dolphin Resorts.",Mar-19
Loved it,pacmybags,"London, United Kingdom",ui_bubble_rating bubble_50,17-Apr-19,I loved this beach - it is beautiful. It is the best beach on the island and a must visit. It was voted Asia's best beach in 2005 by Time magazine and I can see why.,Mar-19
Stunning beach,Seems24,,ui_bubble_rating bubble_50,15-Apr-19,"The most amazing beach I have been too, walk at night under the stars is a must. This beach is lined with rainforest on one side and the sunset is mesmerising",Mar-19
Nice Beach!,Adivik,"Mumbai, India",ui_bubble_rating bubble_50,13-Apr-19,Beached in Andamans are pretty and nice but not maintained. This is the one exception on Havelock Island. Nice Blue waters and white sand. Safe for bathing.,Mar-19
Splendid Sea Beach For All Traveler,tourtravelworld111,"New Delhi, India",ui_bubble_rating bubble_50,11-Apr-19,Perfect beach for Adventurous activities. Honeymooners can enjoy the great pleasure moment without any obstacle.,Feb-19
Excellent Beach,Joydeep M,"Kolkata, India",ui_bubble_rating bubble_50,10-Apr-19,Excellent is the one word for describing this beach.. This is the best Beach in AN island. The beauty is mesmerizing. Spotless clean and so is the sea water. Enjoyed to the fullest.,Apr-19
The best beach ever!!!,vinay2310,,ui_bubble_rating bubble_50,10-Apr-19,"You can go anywhere in the world but this is the best beach I have ever been to. Weather was hot but if you go in the evening, i doubt there are many beaches that can compete with this one",Apr-19
Nice Beach in Havelock,STABAK C,"Abu Dhabi, United Arab Emirates",ui_bubble_rating bubble_40,08-Apr-19,"Beach shall be visited during early hour in the morning or during evening. It is a nice beach with crystal clear water. The garden of sea Mehogony Trees are really beautiful. But as a famous beach of Asia, still this needs a lot of improvement.",Mar-19
Amazing Beach in Havelock,KAUSHAL G,"Mumbai, India",ui_bubble_rating bubble_40,07-Apr-19,"Must visit during evening hours. Water is clean and clear. Tides are awesome to have fun. Changing facilities and washrooms needs lot of maintenance. There is no water and electricity in washroom causing lot of inconvenience. Lot of mosquito also.. Bike ride would be advised, its more joyful",Apr-19
Beach Time,foreverhungrysince94,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,06-Apr-19,"Mesmerizing Sunset at the Radhanagar Beach, Havelock! The drive to this beach is really amazing, with lush greenery.",Apr-19
Emarald blue waters,redcanopy,"New Delhi, India",ui_bubble_rating bubble_50,05-Apr-19,It is one of the best beaches I have been to. Water was so blue. Nice to swim. Saline in water is less. White sands...rest under the shades of trees. U can spend hours n hours there.,Mar-19
Must visit,smapte,"Pune, India",ui_bubble_rating bubble_50,04-Apr-19,"Superb, clean beach, with soft white sand. 
Go there for the sunset. 
Go soon before it becomes too commercial.",Apr-19
Large beach but ordinary,raviqumar,,ui_bubble_rating bubble_30,04-Apr-19,Pretty clean but boring. Carry your own snacks and food. You'll only get coconut water and spicy snacks there.,Mar-19
Pristine,spandandhar,"Kolkata, India",ui_bubble_rating bubble_50,04-Apr-19,Extremely peaceful and relaxing and enjoyable. Clean and very well maintained. Parking and life guard services available.,Mar-19
Beautiful ??????,rajforyou2003,"Bengaluru, India",ui_bubble_rating bubble_50,02-Apr-19,"The most wonderful beach in whole Andaman. Water is so transparent, you can clearly see the fishes around you. The beach has change room facility.",Mar-19
Amazing Beach,sweetzainu34,"Mumbai, India",ui_bubble_rating bubble_50,01-Apr-19,White sand & rain forest trees lend is the best vibe . The beach is very clean and best for swimming.,Mar-19
Pristine,Rajasab2014,"Arail, India",ui_bubble_rating bubble_50,31-Mar-19,"Clear waters, gentle waves, fine powder sand & a shore line studded with Jurassic trees from the lost world - a MUST experience if you are a sea lover",Mar-19
Don't know why this is rated so high,866gdv,"London, United Kingdom",ui_bubble_rating bubble_30,31-Mar-19,"Don't know why this is rated so high 
This is just an average beach. The waters are not as blue as other beaches in Havelock. 
The only compensating factor is that the sand is super soft. I'd say the softest I've been on so far. 
The sunsets are good and it is an enjoyable experience just like any other beach.",Mar-19
Beautiful,AMPoddar,,ui_bubble_rating bubble_50,30-Mar-19,Gorgeous blue waters!!! One of the most clean and calm beaches I have ever been to. Could not find any litter on the entire stretch.,Mar-19
Clean & Peaceful Beach,Rahul K,,ui_bubble_rating bubble_50,29-Mar-19,One of the best beaches...Very much clean...In case of emergencies rescue team also available at beach.....,Mar-19
great beach ... greater water,dsdsouza,,ui_bubble_rating bubble_40,28-Mar-19,nice clean beach .. lovely soft white sand .. greater water .. not much of shaded areas so get ready for a tan.,Mar-19
Best beach.. by far,Devendra G,,ui_bubble_rating bubble_50,28-Mar-19,"We visited Radhanagar beach at 3.00 pm in the afternoon and stayed till 5.30 pm. Radhanagar beach is 11 kms from Havelock Jetty. It is a very clean and fine sand beach. The beach is very large and crowded too. when we visited, the music was on till the sunset. The authorities have a change room and a shower for the visitors. There are no vendors in the beach area. Once once you move outside the beach, you will find the vendors for street food. It is one of the best beaches in India and a must visit is you are planning a trip to andaman. I can go back to Andaman only to visit Radhanagar beach. More",Mar-19
