title,username,location,rating,review_date,review_text,experience
Very nostalgic place to spend a good time,GlobeTrottersClub,,ui_bubble_rating bubble_40,07-May-19,We went towards the evening and our children thoroughly enjoyed watching the numerous deers and peacocks in the open. The extensive roots of the trees over the ruins of the old buildings is definitely a sight to watch.,May-19
Beautiful ruins with natural flora & fauna,GreatAlbatross,,ui_bubble_rating bubble_40,03-May-19,"It's a beautiful island with ruins from British era.its renamed as Subhash Chandra Bose dweep.you can spot deers, peacocks,rabbits,birds. Majestic trees have grown over dilspitaed buildings.The roots are humongous & create a mystic experience. Nature supercedes man's creation.a stroll around the island is nice.There is a buggie for Rs80 for the tour but I would not recommend as you will miss the fun.",Apr-19
Amazing Light and Sound show,AP1729,,ui_bubble_rating bubble_50,28-Apr-19,"In my opinion the best time to go there is in the evening. I went to Ross island from Port Blair. The ferry is from Aberdeen jetty at the Rajiv Gandhi water Sports Complex(close to cellular Jail). Private ferries charge 350 Rs per person and there is a 30Rs entry fee per person to enter Ross island. They let you explore there for an hour.The island has a lot of ruins from the british era as well as a beach, a pond and a monument to sailors. If you are going in the morning take enough water from Port Blair. I went at around 10.30 am and it was quite hot. However, the best time to go is not in the morning, but rather in the evening. There is a light and sound show at Ross island at 4.30 pm. Tickets must be bought from the Andaman tourism department office for Rs100 per person. Apart from this, one must book a ferry for Rs300 and also pay island fee of Rs 30. I went twice- once in morning and evening and would recommend going in evening only. Not only would you save money, but you will have a much better experience. It is best to get on the first ferries which starts at around 4pm to spend maximum time on Ross island before the start of the light and sound show. The island is quite empty in evening and you... In my opinion the best time to go there is in the evening. 

I went to Ross island from Port Blair. The ferry is from Aberdeen jetty at the Rajiv Gandhi water Sports Complex(close to cellular Jail). Private ferries charge 350 Rs per person and there is a 30Rs entry fee per person to enter Ross island. They let you explore there for an hour.The island has a lot of ruins from the british era as well as a beach, a pond and a monument to sailors. If you are going in the morning take enough water from Port Blair. I went at around 10.30 am and it was quite hot. 

However, the best time to go is not in the morning, but rather in the evening. There is a light and sound show at Ross island at 4.30 pm. Tickets must be bought from the Andaman tourism department office for Rs100 per person. Apart from this, one must book a ferry for Rs300 and also pay island fee of Rs 30. I went twice- once in morning and evening and would recommend going in evening only. Not only would you save money, but you will have a much better experience. It is best to get on the first ferries which starts at around 4pm to spend maximum time on Ross island before the start of the light and sound show. 

The island is quite empty in evening and you can see all deer,rabbits and peacocks running around which were not there in the morning. Further, the island is cooler and so easier to walk around. Lastly, the light and sound show is of a very high production value with lots of famous names working on it (like Gulzar,Shabana azmi , resul pookutty etc). I felt it was much better than the one at Cellular Jail. More",Apr-19
Wow,291273,,ui_bubble_rating bubble_50,25-Apr-19,As we arrive on Ross island we were welcomed by dears n when moved further we started hearing the voice of peacock. Then we saw them n the while island was so nice but that boat people give less time to covering the island as still many things to see.,Apr-19
Pre Independence British colony,shresthanjann,"Guwahati, India",ui_bubble_rating bubble_50,21-Apr-19,Deputy commissioner and Secretariat of British colony lying in ruins as bombed by the Japanese during WWII. Ferar beach and peak point is worth a visit. Tuk tuk drive cost is 80 per person. Lots of deers and peacock in this island.,Apr-19
Over-rated place,VikAndSap,"Bengaluru, India",ui_bubble_rating bubble_10,19-Apr-19,"There is not much to see here. The ruined buildings from British era are not that special. 
There are some interesting sign boards explaining how the colony was established. But, it gets very hot and makes walking around the buildings very tiring. Worth the trouble only if you are a big history buff. 
Did not get to see the light show.",Apr-19
Colonial ruins,ridaarefin,"Kolkata, India",ui_bubble_rating bubble_50,19-Apr-19,"The island gives a clear picture of the bygone British rule and the ruins (bakery, stores, water treatment plant, church, tennis court, printing press, secretariat, hospital, cemetery, swimming pool and more) are being eaten up by nature. Boat ride to Ross Island was for Rs. 200/- pp (our driver said that it was Rs. 300 pp and at the gate, I found a guy who offered it for Rs. 200/-. Moral: approach service providers directly, if not always bargain!) Entry ticket was for Rs. 30/- and the island was to be covered in an hour. We realised that it was difficult to walk up and down and all around in an hour. Very conveniently, there were large rickshaws for ferrying visitors up and down the island. They charged Rs. 640/- for an 8 seater and the ride was for 20 min. It doesn't go towards the cemetery due to the poor condition of the road. So we got off near the Chruch, walked up to the Cemetery and back to the entrance gate. We couldn't walk down to the lighthouse due to lack of time. The boat which took us to the island was to pick us in 1hr 15 min. There were peacocks and deers roaming around as if they don't care. This was a time well spent. Carry water and food as you won't get to buy anything here. And the sun was killing us in March with... The island gives a clear picture of the bygone British rule and the ruins (bakery, stores, water treatment plant, church, tennis court, printing press, secretariat, hospital, cemetery, swimming pool and more) are being eaten up by nature. 

Boat ride to Ross Island was for Rs. 200/- pp (our driver said that it was Rs. 300 pp and at the gate, I found a guy who offered it for Rs. 200/-. Moral: approach service providers directly, if not always bargain!) Entry ticket was for Rs. 30/- and the island was to be covered in an hour. We realised that it was difficult to walk up and down and all around in an hour. Very conveniently, there were large rickshaws for ferrying visitors up and down the island. 
They charged Rs. 640/- for an 8 seater and the ride was for 20 min. It doesn't go towards the cemetery due to the poor condition of the road. So we got off near the Chruch, walked up to the Cemetery and back to the entrance gate. We couldn't walk down to the lighthouse due to lack of time. The boat which took us to the island was to pick us in 1hr 15 min. 
There were peacocks and deers roaming around as if they don't care. 

This was a time well spent. Carry water and food as you won't get to buy anything here. And the sun was killing us in March with just 33 deg! More",Mar-19
Must visit,DrRajib81,,ui_bubble_rating bubble_50,18-Apr-19,Must visit Ross... specially the evening light and sound show..it will give immense pleasure...only thing is you will have prebook the show which is of high demand... online booking is unavailable,Mar-19
Optional place to Visit,Rahil1101,"Ahmedabad, India",ui_bubble_rating bubble_30,17-Apr-19,"You can skip this place, As there is not much attraction except deer & rabbits. At this place some old forts & homes available which were created in 80s.",Apr-19
good,skroyIND,,ui_bubble_rating bubble_50,15-Apr-19,"nice place to visit, good for senior citizen, deer r there please do not disturb animals avoid vendors",Apr-19
