title,username,location,rating,review_date,review_text,experience
Nice museum,GreatAlbatross,,ui_bubble_rating bubble_30,03-May-19,It's a small museum & decent one.can be completed in 30mins.the sovneir store is little expensive.well maintained museum.,Apr-19
Decent Museum,AP1729,,ui_bubble_rating bubble_40,28-Apr-19,"This museum showcases 5 rooms - 1) history and culture of Andaman, 2) Aquarium , 3) Corals ,4) Shells and 5) Anthropology 

Its a small museum and can be easily done in an hour. Be mindful of timings as they are closed in lunch break. The entry fee was a bit high(Rs 50) compared to other museums. 

Don't go just to see the whale skeleton ( can be seen for free outside Aquarium).",Apr-19
Nice place,291273,,ui_bubble_rating bubble_50,25-Apr-19,We went their on last of our trip. Every thing was nicely presented their. Their whole time on TV the video was on which give information regarding entire Andaman n their tourist places which was very informative,Apr-19
good,skroyIND,,ui_bubble_rating bubble_40,15-Apr-19,"nice place to visit, ,clam weather peace full place enjoy the marine life, corals, shells and many more",Apr-19
Nice attraction,soha09,,ui_bubble_rating bubble_40,11-Apr-19,"Nice place to know about the marine life of Andamans. The place has good info on shells , corals etc. It would take 45 min to max 1 hr to explore the museum. Good for kids as well.",Apr-19
Great intro to marine life of the Andamans,WayfarerIndia,"Bengaluru, India",ui_bubble_rating bubble_40,01-Apr-19,"Has some very good information of Marine life around Andaman and Nicobar Islands. Has a lot of shells, corals and well as skeleteons on display apart from some live display specimens. Meuseum gives a lot of background information about the islands and its original inhabitants. Great place to take kids. A visit would take about 1-1.5hrs and its situated in the center of Port Blair",Mar-19
Worth a visit,Varun K,"Kochi (Cochin), India",ui_bubble_rating bubble_40,28-Mar-19,Nice museum on marine life and tribes. Well maintained. You can spend abt 1 hour depending on you interests. It has a lounge where you can watch documentary on andaman and nicobar ecology. You can also shop for handicrafts/souvenirs here,Mar-19
Very nice place to take school going children,neelc580,,ui_bubble_rating bubble_40,22-Mar-19,"School going children will get fascinated because they can relate straight with what they study in books. Excellent collection of sea animals and objects. Though some rooms are over stuffed with exhibits, it is worth spending at least two hours in the museum to do justice to the exhibits. Nice souvenir store inside the complex with reasonable priced local items.",Dec-18
Must visit place,UbedK4,"Jhansi, India",ui_bubble_rating bubble_50,20-Mar-19,Beautiful place in port Blair.People can see the beauti of marine life in this wonderful naval marine museum.,Mar-19
Wholesome information about the Islands,ms14_delhi,"Mumbai, India",ui_bubble_rating bubble_50,12-Mar-19,This is a nice museum located short distance from the hydrogen as well as the airport it covers the entire information from the history of Islands show the tribes to the tribes marine life and tourist attractions,Mar-19
Wonderful...must watch,Alka M,,ui_bubble_rating bubble_50,10-Mar-19,Small museum but so many species of fishes n other marine animals...so many exhibits of different types of corals...fishes etc..1 to 2 hrs to visit if u read about exhibits...I saw a blue star fish for the first time,Mar-19
Marine Aquarium,nagpalsunil80,"Gurugram (Gurgaon), India",ui_bubble_rating bubble_50,21-Feb-19,"Beautiful Aquarium specially if you have kids with you. They will love to see colour full fishes. 
Beautiful and colourful fishes you would love to see kept in clean environment. 
Shells which have never seen you will see here. 
Jarawa tribals well described here. 
With 50 rs ticket you can enjoy this. 
Within port Blair city , 10 min drive from most of the hotels in portblair, you can enjoy this beauty. 
A must place to visit.",Feb-19
Unique marine musium,dnshinde,"Pune, India",ui_bubble_rating bubble_40,19-Feb-19,"Visited samudrika marine museum with family on 14/2/19. One of the best museum I have seen. Very informative and nice museum. Shells, fish types, marine life everything was explained very well. Must visit place with 1/2 hours spare time.",Feb-19
excellent,Subha Lakshmi N,,ui_bubble_rating bubble_50,18-Feb-19,It is very beautiful and has many collections of corals and fishes.Maintaining neat and has beautiful paints/ idols of Jarawas,Dec-18
great place,snymjain,"New Delhi, India",ui_bubble_rating bubble_50,03-Feb-19,it was a great place to visit. Everyone in the group really liked it. I will recommend everyone to visit the place,Apr-18
Not woth visiting,sangishan,,ui_bubble_rating bubble_20,30-Jan-19,"Only visit if you have plenty of time and nothing better to do.Apart from the few corals in glass cages ,nothing else is worth seeing.Not very big too. 
I did not find any museum in Port Blair worth visiting.",Jan-19
Nice Museum to know the history,SimplyAmit,"Indore, India",ui_bubble_rating bubble_40,27-Jan-19,Very nice museum to know about the history of islands and at the same time you can have look to a good and small aquarium,Jan-19
Samudra Museum,Raja_Dut,"Guwahati, India",ui_bubble_rating bubble_40,21-Jan-19,Nice little place where you can see the skeletons of various marine animals and also the different types of corals. Kids can enjoy the different live fishes displayed at the museum.,Feb-18
Samudrika Marine Museum,cosmopolitan719353,,ui_bubble_rating bubble_40,17-Jan-19,Samudrika is a marine life museum. Its small but has good collection of marine life which will be mostly liked by your kids. There is also informative charts and dead coral structures which give really good knowledge to individuals who don't know much about marine life. Will take 30 min for one to go through the museum.,Feb-18
Avoidable if you have come to Andamans for a holiday,ashokj338,"Pune, India",ui_bubble_rating bubble_20,12-Jan-19,Avoidable museum with some dead specimens and some live aquariums. Ended up here because we were stuck on Port Blair island because of a storm Avoidable Avoidable Avoidable !,Jan-19
Must visit specially with kids,dabboo,"Bhopal, India",ui_bubble_rating bubble_40,07-Jan-19,Very well informed. Quite a good information and collection of sea fishes...not seen before..you would love it,Jan-19
Not worth a visit,indrajit1405,"Mumbai, India",ui_bubble_rating bubble_20,07-Jan-19,this is a complete waste of time and not worth a visit. They have nothing worth spending time on and the 15 minutes one spends is also not justified,Dec-18
Small but unique,Avinash_blr,"Bengaluru, India",ui_bubble_rating bubble_40,04-Jan-19,"A small museum, but a unique one. Different sections - Anthropological, Sea Shells, Corals Fishes, Island Geology etc. Worth a visit. Keep 30-40 minutes",Dec-18
Good place,Ravsh482,,ui_bubble_rating bubble_40,02-Jan-19,"A good small place in Port Blair to enrich your knowledge about Andaman and nicobar islands- tribes, islands, flora and fauna, etc. Takes around one hour to cover. Display rooms-around 6-7 have AC. They also show a very good movie with similar theme.",Jan-19
Small Marine Museum,DaneshZaki,"Chennai, India",ui_bubble_rating bubble_40,28-Dec-18,"This museum gives a good glimpse of the history of Andamans and the marine life. It has details on various types of corals, the native peoples and a small aquarium. It can be added to your itinerary if you have time left from visiting the other attractions.",Dec-18
Beautiful museum,nkadagarwal,"New Delhi, India",ui_bubble_rating bubble_40,24-Dec-18,This is also famous attraction to visit in Port blair. There are some beautiful coral/ whale skulten and pearl cub be here.,Nov-18
Decent,sidsiddhant,"Kolkata, India",ui_bubble_rating bubble_40,17-Dec-18,"A good place for museum buffs. They are a gateway to what Andaman islands offer. This place is ideal to spend 1-2 hours at Max. They also sell artefacts at decent price (negotiable). They have good display of corals, live fishes and few military equipments.",Dec-18
Samudrika,manishmalaviya,"Mira Bhayandar, India",ui_bubble_rating bubble_50,09-Dec-18,"This place should not missed, This is very near by & all around port blare this can take mostly 1 hour to roam around.",Dec-18
Should not miss this.,Pramod J,"Mumbai, India",ui_bubble_rating bubble_40,03-Dec-18,"This place is really full of information, with lots of corals, different colourful fishes and other marine life. Especially kids will enjoy this place.",Nov-18
Nice collection,Scenic46368685847,,ui_bubble_rating bubble_50,27-Nov-18,It provides a quick glimpse of marine life and island culture which is must for any itinery.GO FOR IT. Collection is large and enlightening,Nov-18
City of museums,Quest819092,,ui_bubble_rating bubble_20,22-Nov-18,Port Blair is the city of museums. Most are shows sea creatures. After some you bored to visit one after another. Samudrika not an exception.,Nov-18
Good museum covering all aspects of Andaman islands,kaunash,"Surat, India",ui_bubble_rating bubble_40,14-Nov-18,"An hour for this museum...Navy maintaining it...Would get all sort of information regarding Andaman and Nicobar islands,sea life,corals,shells,tribes everything u are looking for...go there and enjoy it...",Nov-18
Good,advaitkothurkar,"Pune, India",ui_bubble_rating bubble_50,14-Nov-18,It's like any other museum... aquatic life to see in glass cages.. children would like to see. The introduction film to Andaman by Tom Alter is standard. The corals and shells are lovely,Nov-18
Good collection of marine history and island culture,1403gunjan,"Ahmedabad, India",ui_bubble_rating bubble_40,13-Nov-18,"Good collection of marine history and island culture. If you have extra 1-2 hours in Port Blair, you may visit",Dec-17
GREAT PLACE TO START VISIT TO THE EMERALD ISLES,chow69,"Bhopal, India",ui_bubble_rating bubble_50,12-Nov-18,"This Museum, looked after by the Indian Navy is an outstanding place to commence one's tour of the Andaman & Nicobar Islands. A small but beautifully laid out museum, it is worth a visit of a couple of hours. Though there is no guide available in the place, you could walk through the five display halls (the fifth is under renovation as of now) and get a first hand view of the History of the Isles, Marine Life, Corals and Tribes. There is the skeleton of a whale in the courtyard and a couple of huts of the Nicobarese. A souvenir shop is available, surprisingly reasonably priced, to buy small knick knacks to remind you of your trip. A must visit location. More",Nov-18
Good organized collections...,103sudhir,,ui_bubble_rating bubble_40,10-Nov-18,Its having good collection of marine life exibited nicely in four rooms. One hour is sufficient to visit. The Blue whale skeleton is also good. it has lunch break 1:00 to 2:00 pm. You should not skip the said place from your Port Blair itinerary,Oct-18
A very well maintained marine museum A must visit.,81anupamm,"kolkata, India",ui_bubble_rating bubble_50,08-Nov-18,"Very informative,well presented,audio-visual presentation,all ages of tourists will be awe struck to visit the museum.Concentrate on the presentations on underwater life ,coral reef,fish etc,and only then you will enjoy the scuba diving,sea walking,snorkelling etc .",Nov-18
Very informative about Andaman and marine life.,sumantrad5,,ui_bubble_rating bubble_50,05-Nov-18,"This place will not take more than 1 hour.It is very informative and must visit.It will give you very detailed information about Andaman islands,marine life and also corals.Also a nice documentary by Tom Alter is shown in here,you can enjoy the same if you have some spare time.",Nov-18
Small museum,anju_10,"New Delhi, India",ui_bubble_rating bubble_30,05-Nov-18,It is a very tiny museum. You can visit If you have some extra time. Their specimens reminded of the school biology lab. you can spend maximum half an hour there.,Nov-18
