title,username,location,rating,review_date,review_text,experience
Gateway to Jolly buoy and red skin islands,Devendra G,,ui_bubble_rating bubble_30,29-Mar-19,Wandoor beach is at an hours drive from Port Blair. This is the place from were one can get a ferry to visit jolly buoy and red skin island. The beach is clean however one cannot go to the water as there is a risk of crocodile attack. Only visit if you plan to go to Jolly buoy island.,Mar-19
Emrald Green Water,TapasyaKaulRajaram,"Bengaluru, India",ui_bubble_rating bubble_50,25-Mar-19,"This beach was relatively untouched by regular tourists, as it is a little far flung from the main town. Also, it has a crocodile scare plus swimming in here is not allowed. On the whole a positive and calming experience at this Wandoor Beach. I loved this beach.",Mar-19
Sunset at Wandoor beach,dnshinde,"Pune, India",ui_bubble_rating bubble_30,19-Feb-19,Visited wandoor beach with family to see sun set on 8/2/19. Fortunately there were no clouds. Sun set was really memorable experience.,Feb-19
Good beach with a dangerous reputation,sangishan,,ui_bubble_rating bubble_40,18-Feb-19,Wandoor beach is one of the better beaches close to Port Blair.However the recent death of a local worker due to a crocodile attack has kept most tourista away.Check with local travel agents whether it is safe to visit.,Jan-19
Beach,kisalaykumar,"Ghaziabad, India",ui_bubble_rating bubble_30,12-Jan-19,"Its a nice beach at portblair, very clean. Scenic place but u cannot take bath as it is not allowed due to crocodile fear.",Jan-19
There are strong currents on the beaches,Kalyan P,"Guwahati, India",ui_bubble_rating bubble_40,30-Dec-18,"There are strong currents on the beaches here and everyone is not allowed in the beaches. Many coral reefs can also be found here. Part of the Wandoor national park, Red Skin and Jolly Buoy islands boast a stunning array of over 50 varieties of coral and fish.",Jun-18
Not worth an hrs drive from Port blair,Hariprasad2910,"Chennai, India",ui_bubble_rating bubble_20,29-Dec-18,The beach is OK. But you cant get into waters as its crocodile infested. the far corner of the beach is fine to spend an hr in the evening. And this place is full of locals coming for some rituals or picnic. Overall its not worth an hrs driver from Port blair.,Dec-18
Nice clam and clean beach !,mayureshm177,India,ui_bubble_rating bubble_30,27-Dec-18,"its a Nice, clam and clean beach ! entering water is not allowed due to crocodiles existence. Visit if you have enough time else you can skip and visit other beaches.",Dec-18
Crocodile Alert,Shubs24,"Pune, India",ui_bubble_rating bubble_40,26-Dec-18,"If you are planning to visit Wandoor Beach which is located in outskirts of Port Blair (approx. 20 kms ) please avoid going in water. A young boy lost his life as he was killed by a crocodile. The authorities of Andaman have put up a warning board mentioning the dates when the crocodiles have appeared near the shores. The beach is beautiful & not the commercialized one and you will find more village crowd around with some shop setups selling T-shirts, shell items, local chaats and of course coconut water.",Jan-18
Good clean beach,nkadagarwal,"New Delhi, India",ui_bubble_rating bubble_50,24-Dec-18,This beach is very clean. There is also safety board here because of crocodile. Water is very clean. Surrounding is also very beautiful.,Nov-18
